fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,results_buckk,results_mccorklei,results_griffithb,results_irelandl,results_absentee_buckk,results_absentee_mccorklei,results_absentee_griffithb,results_absentee_irelandl,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
08063,Kit Carson,3693,0,11,13,Other,85,4368,85%,85% reported,edison,2,unknown,3093,513,54,33,0,0,0,0,2020-11-11T03:25:21Z,69.8619,R+70,Buck +70,republican,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",468809,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,507,528,96% reporting,96%,99,475000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:54Z,TRUE,23.65142,110880,R+24,Buck +24,republican,"","",0,0,1604459787450
08071,Las Animas,7794,0,16,16,Other,97,8016,97%,97% reported,edison,2,unknown,4227,3319,151,97,0,0,0,0,2020-11-11T03:25:30Z,11.64999,R+12,Buck +12,republican,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",468809,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,507,528,96% reporting,96%,99,475000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:54Z,TRUE,23.65142,110880,R+24,Buck +24,republican,"","",0,0,1604459787450
08073,Lincoln,2584,0,12,13,Other,90,2874,90%,90% reported,edison,2,unknown,2121,380,49,34,0,0,0,0,2020-11-11T03:25:22Z,67.37616,R+67,Buck +67,republican,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",468809,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,507,528,96% reporting,96%,99,475000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:54Z,TRUE,23.65142,110880,R+24,Buck +24,republican,"","",0,0,1604459787450
08075,Logan,10190,0,14,16,Other,89,11472,89%,89% reported,edison,2,unknown,8040,1836,200,114,0,0,0,0,2020-11-11T03:25:22Z,60.88322,R+61,Buck +61,republican,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",468809,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,507,528,96% reporting,96%,99,475000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:54Z,TRUE,23.65142,110880,R+24,Buck +24,republican,"","",0,0,1604459787450
08087,Morgan,13128,0,17,18,Other,93,14113,93%,93% reported,edison,2,unknown,9444,3235,269,180,0,0,0,0,2020-11-11T03:25:23Z,47.29586,R+47,Buck +47,republican,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",468809,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,507,528,96% reporting,96%,99,475000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:54Z,TRUE,23.65142,110880,R+24,Buck +24,republican,"","",0,0,1604459787450
08089,Otero,9326,0,16,17,Other,94,9973,94%,94% reported,edison,2,some,5892,3142,151,141,0,0,0,0,2020-11-11T03:25:23Z,29.48745,R+29,Buck +29,republican,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",468809,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,507,528,96% reporting,96%,99,475000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:54Z,TRUE,23.65142,110880,R+24,Buck +24,republican,"","",0,0,1604459787450
08095,Phillips,2403,0,7,8,Other,87,2752,87%,87% reported,edison,2,unknown,1953,392,46,12,0,0,0,0,2020-11-11T03:25:24Z,64.96047,R+65,Buck +65,republican,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",468809,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,507,528,96% reporting,96%,99,475000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:54Z,TRUE,23.65142,110880,R+24,Buck +24,republican,"","",0,0,1604459787450
08099,Prowers,5380,0,12,13,Other,91,5919,91%,91% reported,edison,2,unknown,3976,1269,77,58,0,0,0,0,2020-11-11T03:25:25Z,50.31599,R+50,Buck +50,republican,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",468809,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,507,528,96% reporting,96%,99,475000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:54Z,TRUE,23.65142,110880,R+24,Buck +24,republican,"","",0,0,1604459787450
08115,Sedgwick,1404,0,4,5,Other,87,1610,87%,87% reported,edison,2,unknown,1127,238,22,17,0,0,0,0,2020-11-11T03:25:26Z,63.31909,R+63,Buck +63,republican,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",468809,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,507,528,96% reporting,96%,99,475000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:54Z,TRUE,23.65142,110880,R+24,Buck +24,republican,"","",0,0,1604459787450
08121,Washington,2914,0,5,6,Other,90,3225,90%,90% reported,edison,2,unknown,2547,299,47,21,0,0,0,0,2020-11-11T03:25:27Z,77.14482,R+77,Buck +77,republican,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",468809,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,507,528,96% reporting,96%,99,475000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:54Z,TRUE,23.65142,110880,R+24,Buck +24,republican,"","",0,0,1604459787450
08123,Weld,160417,0,156,156,Other,100,159805,>98%,>98% reported,edison,4,all,97836,57104,3914,1563,0,0,0,0,2020-11-11T03:25:28Z,25.39132,R+25,Buck +25,republican,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",468809,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,507,528,96% reporting,96%,99,475000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:54Z,TRUE,23.65142,110880,R+24,Buck +24,republican,"","",0,0,1604459787450
08125,Yuma,4781,0,12,14,Other,85,5653,85%,85% reported,edison,2,unknown,4089,598,64,30,0,0,0,0,2020-11-11T03:25:28Z,73.0182,R+73,Buck +73,republican,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",468809,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,507,528,96% reporting,96%,99,475000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:54Z,TRUE,23.65142,110880,R+24,Buck +24,republican,"","",0,0,1604459787450
