fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_perrys,results_depasqualee,results_absentee_perrys,results_absentee_depasqualee,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,nyt_race_description_race,race_rating_race,nyt_key_race_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
42041,Cumberland,115534,0,96,98,Merged into voters' home precincts and released with cumulative results,98,118213,98%,98% reported,edison,4,none,10347,63967,51567,0,0,2020-11-11T03:25:22Z,10.73277,R+11,Perry +11,republican,PA-G-H-10-2020-11-03,pa-house-general-district-010-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-10.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 10,U.S. House,H,"Representative Scott Perry, a Republican who is an Iraq war veteran and a strong Trump supporter, faces a challenge from a Democrat, Eugene de Pasquale, Pennsylvania’s auditor general and a former state representative, in a district whose boundaries were redrawn in 2018 after the Pennsylvania Supreme Court ruled that it had been illegally gerrymandered.",tossup,TRUE,10,District 10,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",383979,37857,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,327,346,95% reporting,95%,95,405000,edison,95%,95% reported,edison,republican,FALSE,2020-11-11T03:26:25Z,TRUE,6.76782,25987,R+7,Perry +7,republican,"","",3,0,1604620354661
42043,Dauphin,141794,37857,147,159,Merged into voters' home precincts and released with cumulative results,100,140837,>98%,>98% reported,edison,6,all,8061,67782,74012,8123,29734,2020-11-11T03:25:23Z,4.3937,D+4,DePasquale +4,democrat,PA-G-H-10-2020-11-03,pa-house-general-district-010-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-10.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 10,U.S. House,H,"Representative Scott Perry, a Republican who is an Iraq war veteran and a strong Trump supporter, faces a challenge from a Democrat, Eugene de Pasquale, Pennsylvania’s auditor general and a former state representative, in a district whose boundaries were redrawn in 2018 after the Pennsylvania Supreme Court ruled that it had been illegally gerrymandered.",tossup,TRUE,10,District 10,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",383979,37857,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,327,346,95% reporting,95%,95,405000,edison,95%,95% reported,edison,republican,FALSE,2020-11-11T03:26:25Z,TRUE,6.76782,25987,R+7,Perry +7,republican,"","",3,0,1604620354661
42133,York,126651,0,84,89,Merged into voters' home precincts AFTER election night,95,133613,95%,95% reported,edison,4,some,12789,73234,53417,0,0,2020-11-11T03:25:24Z,15.64694,R+16,Perry +16,republican,PA-G-H-10-2020-11-03,pa-house-general-district-010-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-10.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 10,U.S. House,H,"Representative Scott Perry, a Republican who is an Iraq war veteran and a strong Trump supporter, faces a challenge from a Democrat, Eugene de Pasquale, Pennsylvania’s auditor general and a former state representative, in a district whose boundaries were redrawn in 2018 after the Pennsylvania Supreme Court ruled that it had been illegally gerrymandered.",tossup,TRUE,10,District 10,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",383979,37857,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,327,346,95% reporting,95%,95,405000,edison,95%,95% reported,edison,republican,FALSE,2020-11-11T03:26:25Z,TRUE,6.76782,25987,R+7,Perry +7,republican,"","",3,0,1604620354661
