fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_clineb,results_bettsn,results_absentee_clineb,results_absentee_bettsn,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
51009,Amherst,16906,8416,11,12,"As a subtotal in the FIRST cumulative report, along with regular precincts",94,17921,94%,94% reported,edison,2,unknown,1222,11740,5166,4893,3523,2020-11-11T03:26:40Z,38.8856,R+39,Cline +39,republican,VA-G-H-6-2020-11-03,va-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",381537,206374,19,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,240,249,96% reporting,96%,98,405000,edison,98%,98% reported,edison,republican,FALSE,2020-11-12T04:11:20Z,TRUE,29.19062,111373,R+29,Cline +29,republican,"","",3,0,1604453733570
51015,Augusta,41896,20836,26,26,Released separately AFTER election night,99,42285,>98%,>98% reported,edison,4,all,2612,32375,9521,13872,6964,2020-11-11T03:26:41Z,54.54936,R+55,Cline +55,republican,VA-G-H-6-2020-11-03,va-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",381537,206374,19,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,240,249,96% reporting,96%,98,405000,edison,98%,98% reported,edison,republican,FALSE,2020-11-12T04:11:20Z,TRUE,29.19062,111373,R+29,Cline +29,republican,"","",3,0,1604453733570
51017,Bath,2416,737,7,8,Released as a precinct in the middle of the night,100,2404,>98%,>98% reported,edison,6,all,202,1886,530,436,301,2020-11-11T03:26:41Z,56.12583,R+56,Cline +56,republican,VA-G-H-6-2020-11-03,va-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",381537,206374,19,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,240,249,96% reporting,96%,98,405000,edison,98%,98% reported,edison,republican,FALSE,2020-11-12T04:11:20Z,TRUE,29.19062,111373,R+29,Cline +29,republican,"","",3,0,1604453733570
51019,Bedford,21728,11029,14,14,Released as a precinct at the end of tabulation,100,21211,>98%,>98% reported,edison,4,unknown,3722,16704,5024,7401,3628,2020-11-11T03:26:41Z,53.75552,R+54,Cline +54,republican,VA-G-H-6-2020-11-03,va-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",381537,206374,19,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,240,249,96% reporting,96%,98,405000,edison,98%,98% reported,edison,republican,FALSE,2020-11-12T04:11:20Z,TRUE,29.19062,111373,R+29,Cline +29,republican,"","",3,0,1604453733570
51023,Botetourt,20501,11205,10,11,"As a precinct in the FIRST cumulative report, along with regular precincts",100,20581,>98%,>98% reported,edison,2,unknown,1719,15685,4816,7655,3550,2020-11-11T03:26:42Z,53.01693,R+53,Cline +53,republican,VA-G-H-6-2020-11-03,va-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",381537,206374,19,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,240,249,96% reporting,96%,98,405000,edison,98%,98% reported,edison,republican,FALSE,2020-11-12T04:11:20Z,TRUE,29.19062,111373,R+29,Cline +29,republican,"","",3,0,1604453733570
51530,Buena Vista,2744,1784,3,3,Merged into voters' home precincts and released with cumulative results,100,2741,>98%,>98% reported,edison,6,unknown,2407,2061,683,1248,536,2020-11-11T03:26:38Z,50.21866,R+50,Cline +50,republican,VA-G-H-6-2020-11-03,va-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",381537,206374,19,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,240,249,96% reporting,96%,98,405000,edison,98%,98% reported,edison,republican,FALSE,2020-11-12T04:11:20Z,TRUE,29.19062,111373,R+29,Cline +29,republican,"","",3,0,1604453733570
51660,Harrisonburg,16522,10960,7,9,Released separately AFTER election night,79,20883,79%,79% reported,edison,2,unknown,1409,6544,9978,3428,7532,2020-11-11T03:26:38Z,20.78441,D+21,Betts +21,democrat,VA-G-H-6-2020-11-03,va-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",381537,206374,19,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,240,249,96% reporting,96%,98,405000,edison,98%,98% reported,edison,republican,FALSE,2020-11-12T04:11:20Z,TRUE,29.19062,111373,R+29,Cline +29,republican,"","",3,0,1604453733570
51091,Highland,1512,477,7,7,Merged into voters' home precincts and released with cumulative results,100,1508,>98%,>98% reported,edison,6,all,1391,1136,376,259,218,2020-11-11T03:26:42Z,50.26455,R+50,Cline +50,republican,VA-G-H-6-2020-11-03,va-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",381537,206374,19,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,240,249,96% reporting,96%,98,405000,edison,98%,98% reported,edison,republican,FALSE,2020-11-12T04:11:20Z,TRUE,29.19062,111373,R+29,Cline +29,republican,"","",3,0,1604453733570
51678,Lexington,2841,2207,2,2,Merged into voters' home precincts and released with cumulative results,100,2723,>98%,>98% reported,edison,6,none,437,1187,1654,742,1465,2020-11-11T03:26:34Z,16.43787,D+16,Betts +16,democrat,VA-G-H-6-2020-11-03,va-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",381537,206374,19,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,240,249,96% reporting,96%,98,405000,edison,98%,98% reported,edison,republican,FALSE,2020-11-12T04:11:20Z,TRUE,29.19062,111373,R+29,Cline +29,republican,"","",3,0,1604453733570
51680,Lynchburg,35247,17592,19,19,"As a precinct in the FIRST cumulative report, along with regular precincts",85,41370,85%,85% reported,edison,4,unknown,2505,18829,16418,6717,10875,2020-11-12T04:11:14Z,6.8403,R+7,Cline +7,republican,VA-G-H-6-2020-11-03,va-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",381537,206374,19,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,240,249,96% reporting,96%,98,405000,edison,98%,98% reported,edison,republican,FALSE,2020-11-12T04:11:20Z,TRUE,29.19062,111373,R+29,Cline +29,republican,"","",3,0,1604453733570
