fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_kima,results_richterd,results_weberm,results_shapiror,results_absentee_kima,results_absentee_richterd,results_absentee_weberm,results_absentee_shapiror,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
34005,Burlington,242422,165806,344,344,Merged into voters' home precincts and released with cumulative results,100,239492,>98%,>98% reported,edison,2,some,31397,150917,89314,1255,936,109465,55151,682,508,2020-11-24T13:23:00Z,25.41147,D+25,Kim +25,democrat,NJ-G-H-3-2020-11-03,nj-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-jersey.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,likely-dem,3,District 3,NJ,new-jersey,New Jersey,N.J.,vertical,0.7,"",FALSE,TRUE,winner,AP,FALSE,"",425804,314569,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,582,583,99% reporting,99%,100,424000,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-24T13:23:41Z,TRUE,8.16291,34758,D+8,Kim +8,democrat,FALSE,"","",7,0,1604467025874
34029,Ocean,183382,148763,238,239,Released as a separate subtotal as first report of the night,100,184186,>98%,>98% reported,edison,4,some,43803,76638,103483,2370,891,63531,82886,1695,651,2020-11-24T13:23:01Z,14.63884,R+15,Richter +15,republican,NJ-G-H-3-2020-11-03,nj-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-jersey.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,likely-dem,3,District 3,NJ,new-jersey,New Jersey,N.J.,vertical,0.7,"",FALSE,TRUE,winner,AP,FALSE,"",425804,314569,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,582,583,99% reporting,99%,100,424000,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-24T13:23:41Z,TRUE,8.16291,34758,D+8,Kim +8,democrat,FALSE,"","",7,0,1604467025874
