fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,results_mcmorris_rodgersc,results_wilsond,results_absentee_mcmorris_rodgersc,results_absentee_wilsond,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
53003,Asotin,11745,0,26,26,None,100,11294,>98%,>98% reported,edison,4,all,8195,3550,0,0,2020-11-24T18:40:53Z,39.54874,R+40,McMorris Rodgers +40,republican,WA-G-H-5-2020-11-03,wa-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-washington.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,WA,washington,Washington,Wash.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",403552,0,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,689,689,100% reporting,100%,100,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-25T00:40:48Z,TRUE,22.81689,92078,R+23,McMorris Rodgers +23,republican,FALSE,Postmarked ballots have until Nov. 23 to arrive.,Postmarked ballots have until Nov. 23 to arrive.,20,0,1604474383651
53013,Columbia,2458,0,13,13,None,97,2531,97%,97% reported,edison,2,unknown,1893,565,0,0,2020-11-24T13:22:55Z,54.02766,R+54,McMorris Rodgers +54,republican,WA-G-H-5-2020-11-03,wa-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-washington.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,WA,washington,Washington,Wash.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",403552,0,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,689,689,100% reporting,100%,100,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-25T00:40:48Z,TRUE,22.81689,92078,R+23,McMorris Rodgers +23,republican,FALSE,Postmarked ballots have until Nov. 23 to arrive.,Postmarked ballots have until Nov. 23 to arrive.,20,0,1604474383651
53019,Ferry,4258,0,19,19,None,100,4177,>98%,>98% reported,edison,4,some,2966,1292,0,0,2020-11-24T20:50:48Z,39.31423,R+39,McMorris Rodgers +39,republican,WA-G-H-5-2020-11-03,wa-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-washington.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,WA,washington,Washington,Wash.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",403552,0,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,689,689,100% reporting,100%,100,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-25T00:40:48Z,TRUE,22.81689,92078,R+23,McMorris Rodgers +23,republican,FALSE,Postmarked ballots have until Nov. 23 to arrive.,Postmarked ballots have until Nov. 23 to arrive.,20,0,1604474383651
53023,Garfield,1465,0,12,12,None,100,1445,>98%,>98% reported,edison,4,all,1190,275,0,0,2020-11-24T18:30:49Z,62.45734,R+62,McMorris Rodgers +62,republican,WA-G-H-5-2020-11-03,wa-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-washington.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,WA,washington,Washington,Wash.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",403552,0,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,689,689,100% reporting,100%,100,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-25T00:40:48Z,TRUE,22.81689,92078,R+23,McMorris Rodgers +23,republican,FALSE,Postmarked ballots have until Nov. 23 to arrive.,Postmarked ballots have until Nov. 23 to arrive.,20,0,1604474383651
53043,Lincoln,6902,0,46,46,None,100,6627,>98%,>98% reported,edison,4,unknown,5540,1362,0,0,2020-11-24T19:10:49Z,60.53318,R+61,McMorris Rodgers +61,republican,WA-G-H-5-2020-11-03,wa-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-washington.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,WA,washington,Washington,Wash.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",403552,0,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,689,689,100% reporting,100%,100,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-25T00:40:48Z,TRUE,22.81689,92078,R+23,McMorris Rodgers +23,republican,FALSE,Postmarked ballots have until Nov. 23 to arrive.,Postmarked ballots have until Nov. 23 to arrive.,20,0,1604474383651
53051,Pend Oreille,8419,0,27,27,None,100,7890,>98%,>98% reported,edison,2,unknown,6076,2343,0,0,2020-11-24T13:22:58Z,44.34018,R+44,McMorris Rodgers +44,republican,WA-G-H-5-2020-11-03,wa-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-washington.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,WA,washington,Washington,Wash.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",403552,0,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,689,689,100% reporting,100%,100,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-25T00:40:48Z,TRUE,22.81689,92078,R+23,McMorris Rodgers +23,republican,FALSE,Postmarked ballots have until Nov. 23 to arrive.,Postmarked ballots have until Nov. 23 to arrive.,20,0,1604474383651
53063,Spokane,291650,0,362,362,None,100,263605,>98%,>98% reported,edison,4,all,172838,118812,0,0,2020-11-24T13:22:59Z,18.52426,R+19,McMorris Rodgers +19,republican,WA-G-H-5-2020-11-03,wa-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-washington.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,WA,washington,Washington,Wash.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",403552,0,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,689,689,100% reporting,100%,100,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-25T00:40:48Z,TRUE,22.81689,92078,R+23,McMorris Rodgers +23,republican,FALSE,Postmarked ballots have until Nov. 23 to arrive.,Postmarked ballots have until Nov. 23 to arrive.,20,0,1604474383651
53065,Stevens,27972,0,58,58,None,100,26305,>98%,>98% reported,edison,4,some,21112,6860,0,0,2020-11-25T00:40:46Z,50.95095,R+51,McMorris Rodgers +51,republican,WA-G-H-5-2020-11-03,wa-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-washington.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,WA,washington,Washington,Wash.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",403552,0,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,689,689,100% reporting,100%,100,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-25T00:40:48Z,TRUE,22.81689,92078,R+23,McMorris Rodgers +23,republican,FALSE,Postmarked ballots have until Nov. 23 to arrive.,Postmarked ballots have until Nov. 23 to arrive.,20,0,1604474383651
53071,Walla Walla,28014,0,57,57,None,100,26827,>98%,>98% reported,edison,4,some,16945,11069,0,0,2020-11-24T22:30:54Z,20.97523,R+21,McMorris Rodgers +21,republican,WA-G-H-5-2020-11-03,wa-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-washington.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,WA,washington,Washington,Wash.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",403552,0,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,689,689,100% reporting,100%,100,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-25T00:40:48Z,TRUE,22.81689,92078,R+23,McMorris Rodgers +23,republican,FALSE,Postmarked ballots have until Nov. 23 to arrive.,Postmarked ballots have until Nov. 23 to arrive.,20,0,1604474383651
53075,Whitman,20669,0,69,69,None,100,20074,>98%,>98% reported,edison,4,unknown,11060,9609,0,0,2020-11-24T23:50:47Z,7.02018,R+7,McMorris Rodgers +7,republican,WA-G-H-5-2020-11-03,wa-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-washington.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,WA,washington,Washington,Wash.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",403552,0,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,689,689,100% reporting,100%,100,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-25T00:40:48Z,TRUE,22.81689,92078,R+23,McMorris Rodgers +23,republican,FALSE,Postmarked ballots have until Nov. 23 to arrive.,Postmarked ballots have until Nov. 23 to arrive.,20,0,1604474383651
