fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_mcbathl,results_handelk,results_absentee_mcbathl,results_absentee_handelk,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,nyt_race_description_race,race_rating_race,nyt_key_race_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
13067,Cobb,114093,92202,44,44,Merged into voters' home precincts and released with cumulative results,100,114093,>98%,>98% reported,edison,10,unknown,202586,55553,58540,48193,44009,2020-11-24T13:26:07Z,2.61804,R+3,Handel +3,republican,GA-G-H-6-2020-11-03,ga-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,"Representative Lucy McBath, the Democratic gun control and racial justice activist, is favored to win re-election to her suburban Atlanta House seat against Karen Handel, whom she beat in a razor-thin election in 2018.",likely-dem,TRUE,6,District 6,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",397104,342542,3,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,230,230,100% reporting,100%,100,397104,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-24T13:24:08Z,TRUE,9.17795,36446,D+9,McBath +9,democrat,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604471916775
13089,DeKalb,87546,76039,45,45,Released with cumulative results periodically election night,100,87546,>98%,>98% reported,edison,10,unknown,261315,55607,31939,49962,26077,2020-11-24T13:26:07Z,27.03493,D+27,McBath +27,democrat,GA-G-H-6-2020-11-03,ga-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,"Representative Lucy McBath, the Democratic gun control and racial justice activist, is favored to win re-election to her suburban Atlanta House seat against Karen Handel, whom she beat in a razor-thin election in 2018.",likely-dem,TRUE,6,District 6,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",397104,342542,3,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,230,230,100% reporting,100%,100,397104,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-24T13:24:08Z,TRUE,9.17795,36446,D+9,McBath +9,democrat,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604471916775
13121,Fulton,195465,174301,141,141,Released as a precinct as first report of the night,100,195465,>98%,>98% reported,edison,10,unknown,262589,105615,89850,96496,77805,2020-11-24T13:26:07Z,8.06538,D+8,McBath +8,democrat,GA-G-H-6-2020-11-03,ga-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,"Representative Lucy McBath, the Democratic gun control and racial justice activist, is favored to win re-election to her suburban Atlanta House seat against Karen Handel, whom she beat in a razor-thin election in 2018.",likely-dem,TRUE,6,District 6,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",397104,342542,3,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,230,230,100% reporting,100%,100,397104,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-24T13:24:08Z,TRUE,9.17795,36446,D+9,McBath +9,democrat,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604471916775
