fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_grangerk,results_welchl,results_holcombt,results_absentee_grangerk,results_absentee_welchl,results_absentee_holcombt,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
48367,Parker,74496,64549,44,44,Released as a precinct as first report of the night,100,72848,>98%,>98% reported,edison,2,all,50658,61510,10328,2658,53207,9213,2129,2020-11-04T10:44:16Z,68.70436,R+69,Granger +69,republican,TX-G-H-12-2020-11-03,tx-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",365313,319770,3,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,292,293,99% reporting,99%,99,365000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-10T00:54:28Z,TRUE,30.71257,112197,R+31,Granger +31,republican,"","",1,0,1604456441388
48439,Tarrant,279067,245265,238,239,Released as a precinct as first report of the night,100,279844,>98%,>98% reported,edison,4,all,685898,161781,108438,8848,141276,96929,7060,2020-11-10T01:53:26Z,19.11476,R+19,Granger +19,republican,TX-G-H-12-2020-11-03,tx-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",365313,319770,3,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,292,293,99% reporting,99%,99,365000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-10T00:54:28Z,TRUE,30.71257,112197,R+31,Granger +31,republican,"","",1,0,1604456441388
48497,Wise,11750,9956,10,10,Released as a precinct as first report of the night,98,11980,98%,98% reported,edison,2,unknown,19355,9523,1851,376,8103,1569,284,2020-11-04T10:44:16Z,65.29362,R+65,Granger +65,republican,TX-G-H-12-2020-11-03,tx-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",365313,319770,3,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,292,293,99% reporting,99%,99,365000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-10T00:54:28Z,TRUE,30.71257,112197,R+31,Granger +31,republican,"","",1,0,1604456441388
