fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_la_rivag,results_de_la_fuenter,results_blankenshipd,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_la_rivag,results_absentee_de_la_fuenter,results_absentee_blankenshipd,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
12001,Alachua,142604,127597,64,64,Merged into voters' home precincts and released with cumulative results,100,142604,>98%,>98% reported,edison,10,all,,106798,,,50972,89704,1390,302,94,70,52,20,43725,82315,1118,254,77,61,47,0,2020-11-24T13:21:45Z,27.16053,D+27,Biden +27,democrat,-27.16053,130100,-22.3,120418,-17.36,florida,2020-11-28T00:46:50.058793Z
12003,Baker,14059,9978,9,9,Released as a precinct as first report of the night,100,14059,>98%,>98% reported,edison,10,all,,8770,,,11911,2037,93,10,3,4,1,0,8513,1465,0,0,0,0,0,0,2020-11-24T13:21:47Z,70.23259,R+70,Trump +70,republican,70.23259,12705,64.4,11368,58.62,florida,2020-11-28T00:46:50.058793Z
12005,Bay,93024,28654,44,44,Released as a precinct as first report of the night,100,93024,>98%,>98% reported,edison,10,unknown,,82646,,,66097,25614,1004,142,45,54,52,16,15999,12239,296,57,16,16,31,0,2020-11-24T13:21:50Z,43.51888,R+44,Trump +44,republican,43.51888,88222,45.8,79861,43.61,florida,2020-11-28T00:46:50.058793Z
12007,Bradford,13632,11662,14,14,Released as a separate subtotal as first report of the night,100,13632,>98%,>98% reported,edison,10,all,,9374,,,10334,3160,110,11,3,7,6,1,9164,2416,67,3,2,6,4,0,2020-11-24T13:21:52Z,52.62617,R+53,Trump +53,republican,52.62617,12158,49.3,11635,42.06,florida,2020-11-28T00:46:50.058793Z
12009,Brevard,360764,0,171,174,Released as a separate subtotal as first report of the night,100,360764,>98%,>98% reported,edison,10,all,,228190,,,207883,148549,3178,553,164,222,171,44,0,0,0,0,0,0,0,0,2020-11-24T13:21:53Z,16.44676,R+16,Trump +16,republican,16.44676,318141,19.5,285559,12.71,florida,2020-11-28T00:46:50.058793Z
12011,Broward,957672,831693,577,577,Released as a separate subtotal as first report of the night,100,957672,>98%,>98% reported,edison,10,some,,668379,,,333409,618752,3114,1253,417,426,238,63,270318,559844,0,1005,0,335,191,0,2020-11-24T13:21:55Z,29.79548,D+30,Biden +30,democrat,-29.79548,837388,-34.9,756422,-34.93,florida,2020-11-28T00:46:50.058793Z
12013,Calhoun,6526,4663,13,15,Released as a precinct as first report of the night,100,6526,>98%,>98% reported,edison,10,all,,5416,,,5274,1209,29,4,4,4,2,0,3710,925,19,3,3,2,1,0,2020-11-24T13:21:56Z,62.2893,R+62,Trump +62,republican,62.2893,6128,55.7,6152,43.92,florida,2020-11-28T00:46:50.058793Z
12015,Charlotte,116340,100696,68,68,Released as a precinct as first report of the night,100,116340,>98%,>98% reported,edison,10,all,,97168,,,73243,42273,565,129,32,49,45,4,61031,39057,396,104,27,43,38,0,2020-11-24T13:22:00Z,26.62025,R+27,Trump +27,republican,26.62025,97187,27.5,84682,14.28,florida,2020-11-28T00:46:50.058793Z
12017,Citrus,93208,72480,31,31,Released as a separate subtotal as first report of the night,100,93208,>98%,>98% reported,edison,10,some,,76410,,,65352,27092,548,86,30,42,49,9,47888,24071,364,63,22,31,41,0,2020-11-24T13:22:02Z,41.04798,R+41,Trump +41,republican,41.04798,80412,39.4,73935,21.91,florida,2020-11-28T00:46:50.058793Z
12019,Clay,124405,93331,47,47,"Released as first report, then NOT included in cumulative results",100,124405,>98%,>98% reported,edison,10,some,,97059,,,84480,38317,1286,153,55,45,57,12,61945,30409,777,99,34,30,37,0,2020-11-24T13:22:04Z,37.10703,R+37,Trump +37,republican,37.10703,107317,43.9,96589,45.83,florida,2020-11-28T00:46:50.058793Z
