fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_la_rivag,results_kennedya,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_la_rivag,results_absentee_kennedya,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
53057,Skagit,72937,0,121,121,None,100,71802,>98%,>98% reported,edison,8,some,,,,,38252,32762,1492,287,90,54,,0,0,0,0,0,0,,2020-11-24T22:10:43Z,7.52704,D+8,Biden +8,democrat,-7.52704,58059,-3.4,55269,-6.54,washington,2020-11-28T00:46:52.495806Z
53059,Skamania,7268,0,23,23,None,100,7066,>98%,>98% reported,edison,8,all,,,,,3192,3885,153,28,5,5,,0,0,0,0,0,0,,2020-11-24T17:30:49Z,9.53495,R+10,Trump +10,republican,9.53495,5829,11.9,5466,1.08,washington,2020-11-28T00:46:52.495806Z
53061,Snohomish,435582,0,784,784,None,100,434757,>98%,>98% reported,edison,8,all,,,,,256728,166428,9690,2003,485,248,,0,0,0,0,0,0,,2020-11-24T13:22:15Z,20.73088,D+21,Biden +21,democrat,-20.73088,354734,-16.1,329817,-16.83,washington,2020-11-28T00:46:52.495806Z
53063,Spokane,293294,0,362,362,None,100,292680,>98%,>98% reported,edison,8,all,,,,,135765,148576,7147,1297,310,199,,0,0,0,0,0,0,,2020-11-24T21:50:48Z,4.36797,R+4,Trump +4,republican,4.36797,236050,8.3,223830,5.8,washington,2020-11-28T00:46:52.495806Z
53065,Stevens,28283,0,58,58,None,100,27963,>98%,>98% reported,edison,8,some,,,,,7839,19808,527,77,18,14,,0,0,0,0,0,0,,2020-11-25T00:40:46Z,42.31871,R+42,Trump +42,republican,42.31871,23395,40.2,22161,26.75,washington,2020-11-28T00:46:52.495806Z
53067,Thurston,166965,0,284,284,None,100,166293,>98%,>98% reported,edison,8,unknown,,,,,96608,65277,3708,979,282,111,,0,0,0,0,0,0,,2020-11-24T16:50:43Z,18.76501,D+19,Biden +19,democrat,-18.76501,134191,-15,127063,-19.48,washington,2020-11-28T00:46:52.495806Z
53069,Wahkiakum,2972,0,11,11,None,100,2924,>98%,>98% reported,edison,8,unknown,,,,,1165,1741,45,19,0,2,,0,0,0,0,0,0,,2020-11-24T22:20:55Z,19.38089,R+19,Trump +19,republican,19.38089,2429,21.1,2294,1.09,washington,2020-11-28T00:46:52.495806Z
53071,Walla Walla,31055,0,63,63,None,100,29891,>98%,>98% reported,edison,8,some,,,,,13690,16400,769,132,50,14,,0,0,0,0,0,0,,2020-11-24T22:30:54Z,8.72645,R+9,Trump +9,republican,8.72645,26228,15.1,25108,19.44,washington,2020-11-28T00:46:52.495806Z
53073,Whatcom,137660,0,181,181,None,100,137464,>98%,>98% reported,edison,8,some,,,,,83660,50489,2490,726,206,89,,0,0,0,0,0,0,,2020-11-24T13:22:23Z,24.09632,D+24,Biden +24,democrat,-24.09632,113339,-17.4,103029,-13.96,washington,2020-11-28T00:46:52.495806Z
53075,Whitman,20964,0,69,69,None,100,20901,>98%,>98% reported,edison,8,unknown,,,,,11184,9067,549,128,22,14,,0,0,0,0,0,0,,2020-11-24T23:50:47Z,10.09826,D+10,Biden +10,democrat,-10.09826,18028,-4.1,17121,2.75,washington,2020-11-28T00:46:52.495806Z
53077,Yakima,95713,0,173,173,None,100,95670,>98%,>98% reported,edison,8,unknown,,,,,43179,50555,1425,321,154,79,,0,0,0,0,0,0,,2020-11-24T19:20:41Z,7.70637,R+8,Trump +8,republican,7.70637,79741,13.1,76973,11.72,washington,2020-11-28T00:46:52.495806Z
