fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
39001,Adams,12145,0,21,21,Merged into voters' home precincts and released with cumulative results,100,12145,>98%,>98% reported,edison,10,all,,5645,,,9870,2156,92,27,0,0,0,0,0,0,2020-11-27T21:36:31Z,63.51585,R+64,Trump +64,republican,63.51585,11412,55.5,11118,25.98,ohio,2020-11-28T00:47:25.488091Z
39003,Allen,48006,0,88,88,Merged into voters' home precincts and released with cumulative results,100,48006,>98%,>98% reported,edison,10,all,,21147,,,33116,14149,590,138,13,0,0,0,0,0,2020-11-27T22:34:48Z,39.50964,R+40,Trump +40,republican,39.50964,46234,37.2,48341,23.97,ohio,2020-11-28T00:47:25.488091Z
39005,Ashland,26405,16298,39,39,Released as a separate subtotal as first report of the night,100,26405,>98%,>98% reported,edison,10,all,,12763,,,19407,6541,345,105,7,10986,5093,157,62,0,2020-11-27T21:37:31Z,48.72562,R+49,Trump +49,republican,48.72562,24737,47.5,24340,29.74,ohio,2020-11-28T00:47:25.488091Z
39007,Ashtabula,44147,23021,104,104,Released as a separate subtotal as first report of the night,100,44147,>98%,>98% reported,edison,10,all,,17976,,,26890,16497,559,196,5,11458,11246,222,95,0,2020-11-27T21:37:57Z,23.5418,R+24,Trump +24,republican,23.5418,41180,18.8,43200,-12.74,ohio,2020-11-28T00:47:25.488091Z
39009,Athens,26059,15667,56,56,Merged into voters' home precincts and released with cumulative results,100,26059,>98%,>98% reported,edison,10,all,,15184,,,10862,14772,299,115,11,4256,11202,144,65,0,2020-11-27T22:46:40Z,15.00441,D+15,Biden +15,democrat,-15.00441,29709,-16.9,27728,-35.21,ohio,2020-11-28T00:47:25.488091Z
39011,Auglaize,25777,0,39,39,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,25777,>98%,>98% reported,edison,10,all,,9630,,,20798,4651,260,64,4,0,0,0,0,0,2020-11-27T21:38:54Z,62.64111,R+63,Trump +63,republican,62.64111,23794,61.7,23447,48.36,ohio,2020-11-28T00:47:25.488091Z
39013,Belmont,33088,0,70,70,Merged into voters' home precincts and released with cumulative results,100,33088,>98%,>98% reported,edison,10,all,,23979,,,23560,9138,285,98,7,0,0,0,0,0,2020-11-27T21:39:15Z,43.5868,R+44,Trump +44,republican,43.5868,31331,39.3,31688,8.21,ohio,2020-11-28T00:47:25.488091Z
39015,Brown,21096,0,32,32,Released as a separate subtotal as first report of the night,100,21096,>98%,>98% reported,edison,10,all,,7776,,,16480,4380,182,54,0,0,0,0,0,0,2020-11-27T22:31:27Z,57.35684,R+57,Trump +57,republican,57.35684,19682,51.9,19392,24.8,ohio,2020-11-28T00:47:25.488091Z
39017,Butler,186737,0,282,282,Merged into voters' home precincts and released with cumulative results,100,186737,>98%,>98% reported,edison,10,all,,78506,,,114392,69613,2177,493,62,0,0,0,0,0,2020-11-27T22:39:29Z,23.97971,R+24,Trump +24,republican,23.97971,174994,27.6,170530,25.09,ohio,2020-11-28T00:47:25.488091Z
39019,Carroll,14212,7661,23,23,Released as a separate subtotal as first report of the night,100,14212,>98%,>98% reported,edison,10,all,,5890,,,10745,3251,156,56,4,5216,2346,67,32,0,2020-11-27T22:55:54Z,52.73009,R+53,Trump +53,republican,52.73009,13148,46.4,13284,13.34,ohio,2020-11-28T00:47:25.488091Z
39021,Champaign,19972,0,28,28,Released as a separate subtotal as first report of the night,100,19972,>98%,>98% reported,edison,10,all,,9136,,,14589,5062,260,55,6,0,0,0,0,0,2020-11-27T22:34:53Z,47.70178,R+48,Trump +48,republican,47.70178,18243,44.1,18468,21.66,ohio,2020-11-28T00:47:25.488091Z
39023,Clark,64212,40125,90,90,Released as a separate subtotal as first report of the night,100,64212,>98%,>98% reported,edison,10,all,,33222,,,39032,24076,829,245,30,20858,18715,399,153,0,2020-11-27T22:39:51Z,23.2916,R+23,Trump +23,republican,23.2916,61893,19.2,64301,0.81,ohio,2020-11-28T00:47:25.488091Z
39025,Clermont,110480,0,166,166,Released as a separate subtotal as first report of the night,100,110480,>98%,>98% reported,edison,10,all,,46664,,,74570,34092,1513,271,34,0,0,0,0,0,2020-11-27T22:31:38Z,36.63831,R+37,Trump +37,republican,36.63831,99972,40.8,96525,34.97,ohio,2020-11-28T00:47:25.488091Z
39027,Clinton,20527,0,36,36,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,20527,>98%,>98% reported,edison,10,all,,8917,,,15488,4697,270,67,5,0,0,0,0,0,2020-11-27T22:46:52Z,52.56979,R+53,Trump +53,republican,52.56979,18766,52.1,18183,34.2,ohio,2020-11-28T00:47:25.488091Z
39029,Columbiana,49860,22042,87,87,Merged into voters' home precincts and released with cumulative results,100,49860,>98%,>98% reported,edison,10,all,,16355,,,35726,13359,607,162,6,13096,8655,207,84,0,2020-11-27T21:42:22Z,44.85961,R+45,Trump +45,republican,44.85961,46492,41.4,46199,11.75,ohio,2020-11-28T00:47:25.488091Z
39031,Coshocton,16739,11091,23,23,Released as a separate subtotal as first report of the night,100,16739,>98%,>98% reported,edison,10,all,,9803,,,12325,4125,227,62,0,7549,3352,146,44,0,2020-11-27T21:42:38Z,48.98739,R+49,Trump +49,republican,48.98739,15659,43.2,15784,9.19,ohio,2020-11-28T00:47:25.488091Z
39033,Crawford,20686,0,35,35,Merged into voters' home precincts and released with cumulative results,100,20686,>98%,>98% reported,edison,10,all,,10312,,,15436,4916,278,53,3,0,0,0,0,0,2020-11-27T21:42:58Z,50.85565,R+51,Trump +51,republican,50.85565,19329,46.5,19847,21.89,ohio,2020-11-28T00:47:25.488091Z
39035,Cuyahoga,625670,584988,975,975,Released as a separate subtotal as first report of the night,100,625670,>98%,>98% reported,edison,10,all,,431608,,,202699,416176,4593,2031,171,188776,390122,4246,1844,0,2020-11-27T22:50:53Z,34.11974,D+34,Biden +34,democrat,-34.11974,608879,-35.2,645262,-39.77,ohio,2020-11-28T00:47:25.488091Z
39037,Darke,27134,0,43,43,Merged into voters' home precincts and released with cumulative results,100,27134,>98%,>98% reported,edison,10,all,,10557,,,22004,4731,331,62,6,0,0,0,0,0,2020-11-27T22:40:10Z,63.65814,R+64,Trump +64,republican,63.65814,25601,60.7,25430,44.36,ohio,2020-11-28T00:47:25.488091Z
39039,Defiance,19381,13066,33,33,Merged into voters' home precincts and released with cumulative results,100,19381,>98%,>98% reported,edison,10,all,,9581,,,13038,5981,272,78,12,8042,4839,137,48,0,2020-11-27T21:44:24Z,36.41195,R+36,Trump +36,republican,36.41195,18349,34.4,18339,13.33,ohio,2020-11-28T00:47:25.488091Z
39041,Delaware,126070,0,165,165,Released as a separate subtotal as first report of the night,100,126070,>98%,>98% reported,edison,10,all,,62675,,,66356,57735,1630,293,56,0,0,0,0,0,2020-11-27T21:44:44Z,6.83826,R+7,Trump +7,republican,6.83826,105639,15.8,98899,23.16,ohio,2020-11-28T00:47:25.488091Z
39043,Erie,40335,0,62,62,Released as a separate subtotal as first report of the night,100,40335,>98%,>98% reported,edison,10,all,,22709,,,22160,17493,522,153,7,0,0,0,0,0,2020-11-27T22:41:51Z,11.5706,R+12,Trump +12,republican,11.5706,37862,9.5,39500,-12.26,ohio,2020-11-28T00:47:25.488091Z
39045,Fairfield,83311,54802,107,107,Merged into voters' home precincts and released with cumulative results,100,83311,>98%,>98% reported,edison,10,all,,43430,,,50797,31224,1033,223,34,30013,24117,539,133,0,2020-11-27T22:47:16Z,23.4939,R+23,Trump +23,republican,23.4939,73554,26.4,72220,15.43,ohio,2020-11-28T00:47:25.488091Z
