fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_write_ins,results_hawkinsh,results_la_rivag,results_hammonsb,results_blankenshipd,results_de_la_fuenter,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_write_ins,results_absentee_hawkinsh,results_absentee_la_rivag,results_absentee_hammonsb,results_absentee_blankenshipd,results_absentee_de_la_fuenter,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
34001,Atlantic,140141,114510,151,151,Released separately AFTER election night,100,134885,>98%,>98% reported,edison,2,some,,14118,,,73624,64326,956,410,367,176,108,102,72,61032,51884,683,294,274,120,88,84,51,2020-11-24T13:24:21Z,6.63475,D+7,Biden +7,democrat,-6.63475,118041,-7,113344,-16.83,new-jersey,2020-11-28T00:47:51.620189Z
34003,Bergen,497160,428024,522,561,Merged into voters' home precincts AFTER election night,100,482190,>98%,>98% reported,edison,2,some,,45653,,,285811,204277,2849,1611,1374,384,284,327,243,250139,171754,2382,1611,1137,289,245,269,198,2020-11-24T13:24:22Z,16.39995,D+16,Biden +16,democrat,-16.39995,422213,-13.2,385990,-11.32,new-jersey,2020-11-28T00:47:51.620189Z
34005,Burlington,265967,203530,365,365,Merged into voters' home precincts and released with cumulative results,100,251784,>98%,>98% reported,edison,2,some,,31397,,,154577,103326,2206,4507,605,174,130,360,82,126131,74502,1449,538,409,114,85,249,53,2020-11-24T13:24:22Z,19.26968,D+19,Biden +19,democrat,-19.26968,221283,-14.7,216339,-18.02,new-jersey,2020-11-28T00:47:51.620189Z
34007,Camden,264912,0,345,345,Released separately AFTER election night,100,260581,>98%,>98% reported,edison,2,unknown,,59568,,,174575,86024,1876,979,780,200,150,217,111,0,0,0,0,0,0,0,0,0,2020-11-24T13:24:22Z,33.42657,D+33,Biden +33,democrat,-33.42657,229047,-32.3,225949,-37.27,new-jersey,2020-11-28T00:47:51.620189Z
34009,Cape May,57933,49516,127,127,Merged into voters' home precincts and released with cumulative results,100,56030,>98%,>98% reported,edison,4,some,,9231,,,23941,33158,311,219,140,19,59,31,55,21159,27756,215,174,105,10,43,20,34,2020-11-24T13:24:23Z,15.90976,R+16,Trump +16,republican,15.90976,49257,19.7,48093,8.58,new-jersey,2020-11-28T00:47:51.620189Z
34011,Cumberland,62575,17519,92,92,Released separately AFTER election night,98,63586,98%,98% reported,edison,4,some,,5984,,,32742,28952,397,167,139,26,71,32,49,11098,6267,63,28,21,7,15,9,11,2020-11-24T13:24:23Z,6.05673,D+6,Biden +6,democrat,-6.05673,54331,-6.1,55369,-24.2,new-jersey,2020-11-28T00:47:51.620189Z
34013,Essex,345311,0,531,550,Released as a separate subtotal as first report of the night,97,357574,97%,97% reported,edison,2,unknown,,24131,,,266820,75475,1296,,978,278,104,116,244,0,0,0,,0,0,0,0,0,2020-11-24T13:24:23Z,55.41237,D+55,Biden +55,democrat,-55.41237,312884,-56.8,303295,-56.78,new-jersey,2020-11-28T00:47:51.620189Z
34015,Gloucester,173453,149317,229,229,Merged into voters' home precincts and released with cumulative results,100,160473,>98%,>98% reported,edison,4,some,,25391,,,86702,83340,1616,799,446,82,149,122,197,76925,69839,1181,589,349,67,122,98,147,2020-11-24T13:24:23Z,1.93828,D+1.9,Biden +1.9,democrat,-1.93828,141254,0.5,135570,-10.74,new-jersey,2020-11-28T00:47:51.620189Z
34017,Hudson,250458,0,451,454,Released as a separate subtotal as first report of the night,99,252281,>98%,>98% reported,edison,2,some,,14745,,,181452,65698,1252,608,782,205,251,102,108,0,0,0,0,0,0,0,0,0,2020-11-24T13:24:23Z,46.21693,D+46,Biden +46,democrat,-46.21693,220542,-52.1,197693,-56.02,new-jersey,2020-11-28T00:47:51.620189Z
34019,Hunterdon,84673,72648,116,116,Released as a separate subtotal as first report of the night,100,81461,>98%,>98% reported,edison,4,some,,13401,,,39457,43153,985,431,410,44,77,77,39,35318,35808,698,326,314,38,59,57,30,2020-11-24T13:24:24Z,4.36503,R+4,Trump +4,republican,4.36503,71660,13.7,66624,17.73,new-jersey,2020-11-28T00:47:51.620189Z
