fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_markeye,results_oconnork,results_write_ins,results_absentee_markeye,results_absentee_oconnork,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
25001,Barnstable,145282,0,63,65,,,,,"",edison,,,,,,,87798,56768,716,0,0,0,2020-11-04T10:43:43Z,21.35846,D+21,Markey +21,democrat,massachusetts,2020-11-10T19:36:22.120948Z
25003,Berkshire,62860,0,51,59,,,,,"",edison,,,,,,,46803,15768,289,0,0,0,2020-11-05T20:09:31Z,49.37162,D+49,Markey +49,democrat,massachusetts,2020-11-10T19:36:22.120948Z
25005,Bristol,266474,15237,160,172,,,,,"",edison,,,,,,,152261,112269,1944,8686,6439,112,2020-11-04T10:43:28Z,15.00784,D+15,Markey +15,democrat,massachusetts,2020-11-10T19:36:22.120948Z
25007,Dukes,12400,0,6,7,,,,,"",edison,,,,,,,9604,2754,42,0,0,0,2020-11-06T23:28:27Z,55.24194,D+55,Markey +55,democrat,massachusetts,2020-11-10T19:36:22.120948Z
25009,Essex,406795,0,227,240,,,,,"",edison,,,,,,,262624,141338,2833,0,0,0,2020-11-05T18:23:50Z,29.81502,D+30,Markey +30,democrat,massachusetts,2020-11-10T19:36:22.120948Z
25011,Franklin,37387,848,35,40,,,,,"",edison,,,,,,,26768,10149,470,637,211,0,2020-11-05T19:18:45Z,44.45128,D+44,Markey +44,democrat,massachusetts,2020-11-10T19:36:22.120948Z
25013,Hampden,205395,5478,147,166,,,,,"",edison,,,,,,,120254,82569,2572,3459,2019,0,2020-11-04T10:43:35Z,18.34757,D+18,Markey +18,democrat,massachusetts,2020-11-10T19:36:22.120948Z
25015,Hampshire,84137,4853,52,56,,,,,"",edison,,,,,,,61291,22086,760,2409,2390,54,2020-11-04T10:43:31Z,46.59662,D+47,Markey +47,democrat,massachusetts,2020-11-10T19:36:22.120948Z
25017,Middlesex,813287,10596,436,474,,,,,"",edison,,,,,,,581405,226597,5285,7024,3522,50,2020-11-04T10:43:28Z,43.62642,D+44,Markey +44,democrat,massachusetts,2020-11-10T19:36:22.120948Z
25019,Nantucket,7185,4460,1,1,,,,,"",edison,,,,,,,5127,2030,28,3498,957,5,2020-11-04T10:43:41Z,43.10369,D+43,Markey +43,democrat,massachusetts,2020-11-10T19:36:22.120948Z
25021,Norfolk,339889,15760,176,211,,,,,"",edison,,,,,,,224242,113822,1825,12475,3253,32,2020-11-04T22:55:07Z,32.48708,D+32,Markey +32,democrat,massachusetts,2020-11-10T19:36:22.120948Z
25023,Plymouth,253319,40218,114,143,,,,,"",edison,,,,,,,137479,114346,1494,27167,12912,139,2020-11-05T19:19:13Z,9.13196,D+9,Markey +9,democrat,massachusetts,2020-11-10T19:36:22.120948Z
25025,Suffolk,305891,0,294,298,,,,,"",edison,,,,,,,248846,55552,1493,0,0,0,2020-11-05T19:33:54Z,63.19048,D+63,Markey +63,democrat,massachusetts,2020-11-10T19:36:22.120948Z
25027,Worcester,396560,14517,220,242,,,,,"",edison,,,,,,,232213,159393,4954,9390,5034,93,2020-11-04T10:43:28Z,18.36292,D+18,Markey +18,democrat,massachusetts,2020-11-10T19:36:22.120948Z
