fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_hyde_smithc,results_espym,results_edwardsj,results_write_ins,results_absentee_hyde_smithc,results_absentee_espym,results_absentee_edwardsj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
28001,Adams,12242,0,19,19,None,100,12268,>98%,>98% reported,edison,6,all,,1098,,,4969,7133,140,0,0,0,0,0,2020-11-04T10:43:28Z,17.67685,D+18,Espy +18,democrat,mississippi,2020-11-10T19:34:23.009288Z
28003,Alcorn,13581,0,17,17,Merged into voters' home precincts and released with cumulative results,93,14672,93%,93% reported,edison,4,none,,1390,,,10230,2996,346,9,0,0,0,0,2020-11-04T10:43:28Z,53.26559,R+53,Hyde-Smith +53,republican,mississippi,2020-11-10T19:34:23.009288Z
28005,Amite,5920,0,21,21,Merged into voters' home precincts and released with cumulative results,99,5974,>98%,>98% reported,edison,6,all,,466,,,3619,2230,70,1,0,0,0,0,2020-11-04T10:43:28Z,23.46284,R+23,Hyde-Smith +23,republican,mississippi,2020-11-10T19:34:23.009288Z
28007,Attala,8825,0,19,20,Merged into voters' home precincts and released with cumulative results,100,8228,>98%,>98% reported,edison,2,unknown,,476,,,4888,3824,108,5,0,0,0,0,2020-11-06T20:35:34Z,12.05666,R+12,Hyde-Smith +12,republican,mississippi,2020-11-10T19:34:23.009288Z
28009,Benton,4248,0,5,5,Merged into voters' home precincts and released with cumulative results,100,3725,>98%,>98% reported,edison,4,all,,442,,,2306,1848,92,2,0,0,0,0,2020-11-04T10:43:29Z,10.78154,R+11,Hyde-Smith +11,republican,mississippi,2020-11-10T19:34:23.009288Z
28011,Bolivar,11629,0,28,28,None,98,11881,98%,98% reported,edison,4,none,,410,,,3940,7601,86,2,0,0,0,0,2020-11-04T10:43:29Z,31.48164,D+31,Espy +31,democrat,mississippi,2020-11-10T19:34:23.009288Z
28013,Calhoun,6536,0,9,10,Merged into voters' home precincts and released with cumulative results,93,6993,93%,93% reported,edison,4,unknown,,532,,,4311,2112,111,2,0,0,0,0,2020-11-06T18:21:49Z,33.64443,R+34,Hyde-Smith +34,republican,mississippi,2020-11-10T19:34:23.009288Z
28015,Carroll,4494,0,14,14,None,83,5423,83%,83% reported,edison,4,none,,342,,,3069,1354,71,0,0,0,0,0,2020-11-04T10:43:29Z,38.16199,R+38,Hyde-Smith +38,republican,mississippi,2020-11-10T19:34:23.009288Z
28017,Chickasaw,8153,0,15,15,None,100,7695,>98%,>98% reported,edison,4,all,,476,,,3912,4128,112,1,0,0,0,0,2020-11-04T22:32:40Z,2.64933,D+3,Espy +3,democrat,mississippi,2020-11-10T19:34:23.009288Z
28019,Choctaw,4162,0,13,13,Merged into voters' home precincts and released with cumulative results,100,4175,>98%,>98% reported,edison,6,all,,246,,,2785,1301,76,0,0,0,0,0,2020-11-04T10:43:30Z,35.65593,R+36,Hyde-Smith +36,republican,mississippi,2020-11-10T19:34:23.009288Z
28021,Claiborne,2878,0,11,11,Released as a separate subtotal at the end of tabulation,68,4223,68%,68% reported,edison,4,none,,776,,,433,2425,19,1,0,0,0,0,2020-11-04T10:43:31Z,69.21473,D+69,Espy +69,democrat,mississippi,2020-11-10T19:34:23.009288Z
28023,Clarke,8278,1260,23,23,None,100,7469,>98%,>98% reported,edison,2,some,,708,,,5124,3031,122,1,717,529,14,0,2020-11-06T20:05:03Z,25.28388,R+25,Hyde-Smith +25,republican,mississippi,2020-11-10T19:34:23.009288Z
28025,Clay,10115,2007,14,14,Merged into voters' home precincts and released with cumulative results,100,8526,>98%,>98% reported,edison,4,some,,652,,,3966,6030,109,10,822,1164,17,4,2020-11-04T22:46:21Z,20.40534,D+20,Espy +20,democrat,mississippi,2020-11-10T19:34:23.009288Z
28027,Coahoma,7135,0,18,18,Merged into voters' home precincts and released with cumulative results,88,8124,88%,88% reported,edison,4,none,,,,,1625,5466,43,1,0,0,0,0,2020-11-04T10:43:32Z,53.83322,D+54,Espy +54,democrat,mississippi,2020-11-10T19:34:23.009288Z
28029,Copiah,10787,0,19,19,None,99,10876,>98%,>98% reported,edison,4,none,,542,,,5239,5444,99,5,0,0,0,0,2020-11-04T10:43:33Z,1.90044,D+1.9,Espy +1.9,democrat,mississippi,2020-11-10T19:34:23.009288Z
28031,Covington,9306,0,14,15,Merged into voters' home precincts and released with cumulative results,100,8460,>98%,>98% reported,edison,2,unknown,,806,,,5566,3602,128,10,0,0,0,0,2020-11-06T18:51:07Z,21.10466,R+21,Hyde-Smith +21,republican,mississippi,2020-11-10T19:34:23.009288Z
28033,DeSoto,74860,0,41,41,Merged into voters' home precincts and released with cumulative results,100,72373,>98%,>98% reported,edison,4,unknown,,1400,,,42559,30508,1738,55,0,0,0,0,2020-11-05T21:24:13Z,16.09805,R+16,Hyde-Smith +16,republican,mississippi,2020-11-10T19:34:23.009288Z
