fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_merkleyj,results_perkinsj,results_dyeg,results_taheri,results_write_ins,results_absentee_merkleyj,results_absentee_perkinsj,results_absentee_dyeg,results_absentee_taheri,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
41001,Baker,9700,0,16,17,Other,97,10008,97%,97% reported,edison,2,unknown,,,,,2618,6831,174,70,7,0,0,0,0,0,2020-11-11T03:25:48Z,43.43299,R+43,Perkins +43,republican,oregon,2020-11-13T00:42:00.761584Z
41003,Benton,51968,0,22,24,Other,94,55578,94%,94% reported,edison,2,some,,,,,34974,14789,1037,1116,52,0,0,0,0,0,2020-11-11T03:25:34Z,38.84121,D+39,Merkley +39,democrat,oregon,2020-11-13T00:42:00.761584Z
41005,Clackamas,246229,0,120,120,Other,100,244004,>98%,>98% reported,edison,2,some,,,,,132629,104784,4658,3884,274,0,0,0,0,0,2020-11-11T03:25:35Z,11.30858,D+11,Merkley +11,democrat,oregon,2020-11-13T00:42:00.761584Z
41007,Clatsop,23126,0,33,33,Other,100,22417,>98%,>98% reported,edison,2,some,,,,,12871,9425,423,379,28,0,0,0,0,0,2020-11-11T03:25:36Z,14.90098,D+15,Merkley +15,democrat,oregon,2020-11-13T00:42:00.761584Z
41009,Columbia,30954,0,33,33,Other,100,30345,>98%,>98% reported,edison,2,unknown,,,,,14076,15610,739,490,39,0,0,0,0,0,2020-11-11T03:25:36Z,4.95574,R+5,Perkins +5,republican,oregon,2020-11-13T00:42:00.761584Z
41011,Coos,35548,0,18,18,Other,100,35697,>98%,>98% reported,edison,2,some,,,,,14666,19757,655,449,21,0,0,0,0,0,2020-11-11T03:25:37Z,14.32148,R+14,Perkins +14,republican,oregon,2020-11-13T00:42:00.761584Z
41013,Crook,14875,0,17,17,Other,96,15500,96%,96% reported,edison,2,unknown,,,,,4046,10454,237,114,24,0,0,0,0,0,2020-11-11T03:25:37Z,43.07899,R+43,Perkins +43,republican,oregon,2020-11-13T00:42:00.761584Z
41015,Curry,14529,0,27,27,Other,100,14377,>98%,>98% reported,edison,2,unknown,,,,,6136,7950,268,168,7,0,0,0,0,0,2020-11-11T03:25:38Z,12.48537,R+12,Perkins +12,republican,oregon,2020-11-13T00:42:00.761584Z
41017,Deschutes,119378,0,50,50,Other,100,112355,>98%,>98% reported,edison,2,unknown,,,,,63512,51938,2129,1679,120,0,0,0,0,0,2020-11-11T03:25:38Z,9.69525,D+10,Merkley +10,democrat,oregon,2020-11-13T00:42:00.761584Z
41019,Douglas,61532,0,28,28,Other,100,61014,>98%,>98% reported,edison,2,some,,,,,20341,39316,1175,637,63,0,0,0,0,0,2020-11-11T03:25:39Z,30.83761,R+31,Perkins +31,republican,oregon,2020-11-13T00:42:00.761584Z
41021,Gilliam,1167,0,3,3,Other,98,1192,98%,98% reported,edison,2,unknown,,,,,373,765,18,8,3,0,0,0,0,0,2020-11-11T03:25:39Z,33.5904,R+34,Perkins +34,republican,oregon,2020-11-13T00:42:00.761584Z
41023,Grant,4510,0,5,5,Other,99,4574,>98%,>98% reported,edison,6,unknown,,,,,1117,3272,89,27,5,0,0,0,0,0,2020-11-11T03:25:40Z,47.78271,R+48,Perkins +48,republican,oregon,2020-11-13T00:42:00.761584Z
41025,Harney,4377,0,3,3,Other,97,4530,97%,97% reported,edison,2,unknown,,,,,1055,3213,65,38,6,0,0,0,0,0,2020-11-11T03:25:41Z,49.30318,R+49,Perkins +49,republican,oregon,2020-11-13T00:42:00.761584Z
41027,Hood River,12749,0,13,13,Other,100,12437,>98%,>98% reported,edison,2,unknown,,,,,8533,3777,226,206,7,0,0,0,0,0,2020-11-11T03:25:43Z,37.30489,D+37,Merkley +37,democrat,oregon,2020-11-13T00:42:00.761584Z
41029,Jackson,122387,0,44,45,Other,98,124633,98%,98% reported,edison,4,some,,,,,58049,60244,2149,1835,110,0,0,0,0,0,2020-11-11T03:25:44Z,1.79349,R+1.8,Perkins +1.8,republican,oregon,2020-11-13T00:42:00.761584Z
41031,Jefferson,11518,0,15,15,Other,100,10783,>98%,>98% reported,edison,4,some,,,,,4505,6677,197,124,15,0,0,0,0,0,2020-11-11T03:25:44Z,18.85744,R+19,Perkins +19,republican,oregon,2020-11-13T00:42:00.761584Z
41033,Josephine,49948,0,46,47,Other,98,50798,98%,98% reported,edison,2,some,,,,,18587,29557,970,771,63,0,0,0,0,0,2020-11-11T03:25:45Z,21.96284,R+22,Perkins +22,republican,oregon,2020-11-13T00:42:00.761584Z
41035,Klamath,35606,0,43,43,Other,100,34778,>98%,>98% reported,edison,2,unknown,,,,,11109,23350,690,429,28,0,0,0,0,0,2020-11-11T03:25:45Z,34.37904,R+34,Perkins +34,republican,oregon,2020-11-13T00:42:00.761584Z
41037,Lake,4239,0,18,19,Other,95,4480,95%,95% reported,edison,4,all,,,,,903,3242,61,29,4,0,0,0,0,0,2020-11-11T03:25:46Z,55.17811,R+55,Perkins +55,republican,oregon,2020-11-13T00:42:00.761584Z
41039,Lane,216527,0,79,80,Other,99,218823,>98%,>98% reported,edison,4,some,,,,,132611,75377,3826,4480,233,0,0,0,0,0,2020-11-11T03:25:47Z,26.43273,D+26,Merkley +26,democrat,oregon,2020-11-13T00:42:00.761584Z
41041,Lincoln,29940,0,32,32,Other,100,28792,>98%,>98% reported,edison,4,unknown,,,,,17347,11527,530,512,24,0,0,0,0,0,2020-11-11T03:25:47Z,19.43888,D+19,Merkley +19,democrat,oregon,2020-11-13T00:42:00.761584Z
41043,Linn,70493,0,90,90,Other,100,66940,>98%,>98% reported,edison,2,some,,,,,26989,40729,1612,1067,96,0,0,0,0,0,2020-11-12T20:00:46Z,19.4913,R+19,Perkins +19,republican,oregon,2020-11-13T00:42:00.761584Z
41045,Malheur,11449,0,23,24,Other,96,11896,96%,96% reported,edison,2,unknown,,,,,3293,7806,223,120,7,0,0,0,0,0,2020-11-11T03:25:22Z,39.41829,R+39,Perkins +39,republican,oregon,2020-11-13T00:42:00.761584Z
41047,Marion,160691,0,122,122,Other,100,155998,>98%,>98% reported,edison,4,unknown,,,,,79283,75375,3175,2647,211,0,0,0,0,0,2020-11-11T03:25:23Z,2.432,D+2,Merkley +2,democrat,oregon,2020-11-13T00:42:00.761584Z
41049,Morrow,4982,0,5,5,Other,100,4750,>98%,>98% reported,edison,2,unknown,,,,,1537,3295,108,39,3,0,0,0,0,0,2020-11-11T03:25:23Z,35.28703,R+35,Perkins +35,republican,oregon,2020-11-13T00:42:00.761584Z
41051,Multnomah,451844,0,112,113,Other,99,454977,>98%,>98% reported,edison,2,some,,,,,355455,78138,6700,11551,,0,0,0,0,,2020-11-11T03:25:24Z,61.3745,D+61,Merkley +61,democrat,oregon,2020-11-13T00:42:00.761584Z
