fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_reedj,results_watersa,results_absentee_reedj,results_absentee_watersa,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
44001,Bristol,27277,0,16,17,,,,,"",edison,,,,,,,19068,8209,0,0,2020-11-11T03:24:53Z,39.8101,D+40,Reed +40,democrat,rhode-island,2020-11-13T00:42:03.211033Z
44003,Kent,90016,0,69,70,,,,,"",edison,,,,,,,54762,35254,0,0,2020-11-11T03:25:13Z,21.6717,D+22,Reed +22,democrat,rhode-island,2020-11-13T00:42:03.211033Z
44005,Newport,44099,0,31,31,,,,,"",edison,,,,,,,30573,13526,0,0,2020-11-11T03:25:02Z,38.65621,D+39,Reed +39,democrat,rhode-island,2020-11-13T00:42:03.211033Z
44007,Providence,257320,0,237,259,,,,,"",edison,,,,,,,175740,81580,0,0,2020-11-11T03:24:59Z,36.59257,D+37,Reed +37,democrat,rhode-island,2020-11-13T00:42:03.211033Z
44009,Washington,73371,0,44,44,,,,,"",edison,,,,,,,47182,26189,0,0,2020-11-11T03:24:59Z,28.61212,D+29,Reed +29,democrat,rhode-island,2020-11-13T00:42:03.211033Z
