fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_mooreb,results_parryd,results_absentee_mooreb,results_absentee_parryd,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
49003,Box Elder,25447,13966,53,53,Released as a separate subtotal as first report of the night,100,22147,>98%,>98% reported,edison,4,unknown,21942,20794,4653,11075,2891,2020-11-17T19:50:44Z,63.42987,R+63,Moore +63,republican,UT-G-H-1-2020-11-03,ut-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-utah-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-utah.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-utah.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,UT,utah,Utah,Utah,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",342133,81821,3,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,569,571,99% reporting,99%,99,331000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T00:01:01Z,FALSE,39.09415,133754,R+39,Moore +39,republican,"Ballots postmarked by the day before the election must arrive by Nov. 10 to Nov. 17, depending on the county.","Ballots postmarked by the day before the election must arrive by Nov. 10 to Nov. 17, depending on the county.",7,-1,1604461679658
49005,Cache,54179,0,91,91,Merged into voters' home precincts and released with cumulative results,100,51208,>98%,>98% reported,edison,4,all,32212,38148,16031,0,0,2020-11-17T22:00:51Z,40.82209,R+41,Moore +41,republican,UT-G-H-1-2020-11-03,ut-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-utah-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-utah.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-utah.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,UT,utah,Utah,Utah,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",342133,81821,3,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,569,571,99% reporting,99%,99,331000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T00:01:01Z,FALSE,39.09415,133754,R+39,Moore +39,republican,"Ballots postmarked by the day before the election must arrive by Nov. 10 to Nov. 17, depending on the county.","Ballots postmarked by the day before the election must arrive by Nov. 10 to Nov. 17, depending on the county.",7,-1,1604461679658
49009,Daggett,545,0,3,3,Released as a separate subtotal at the end of tabulation,100,533,>98%,>98% reported,edison,2,unknown,562,451,94,0,0,2020-11-16T15:48:37Z,65.50459,R+66,Moore +66,republican,UT-G-H-1-2020-11-03,ut-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-utah-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-utah.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-utah.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,UT,utah,Utah,Utah,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",342133,81821,3,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,569,571,99% reporting,99%,99,331000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T00:01:01Z,FALSE,39.09415,133754,R+39,Moore +39,republican,"Ballots postmarked by the day before the election must arrive by Nov. 10 to Nov. 17, depending on the county.","Ballots postmarked by the day before the election must arrive by Nov. 10 to Nov. 17, depending on the county.",7,-1,1604461679658
49011,Davis,101227,0,140,140,Merged into voters' home precincts and released with cumulative results,100,91626,>98%,>98% reported,edison,2,unknown,123145,72476,28751,0,0,2020-11-16T22:57:48Z,43.195,R+43,Moore +43,republican,UT-G-H-1-2020-11-03,ut-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-utah-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-utah.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-utah.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,UT,utah,Utah,Utah,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",342133,81821,3,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,569,571,99% reporting,99%,99,331000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T00:01:01Z,FALSE,39.09415,133754,R+39,Moore +39,republican,"Ballots postmarked by the day before the election must arrive by Nov. 10 to Nov. 17, depending on the county.","Ballots postmarked by the day before the election must arrive by Nov. 10 to Nov. 17, depending on the county.",7,-1,1604461679658
49013,Duchesne,7883,0,33,34,Released with cumulative results periodically election night,99,7951,>98%,>98% reported,edison,2,unknown,2795,7066,817,0,0,2020-11-16T22:57:48Z,79.27185,R+79,Moore +79,republican,UT-G-H-1-2020-11-03,ut-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-utah-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-utah.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-utah.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,UT,utah,Utah,Utah,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",342133,81821,3,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,569,571,99% reporting,99%,99,331000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T00:01:01Z,FALSE,39.09415,133754,R+39,Moore +39,republican,"Ballots postmarked by the day before the election must arrive by Nov. 10 to Nov. 17, depending on the county.","Ballots postmarked by the day before the election must arrive by Nov. 10 to Nov. 17, depending on the county.",7,-1,1604461679658
49029,Morgan,6255,0,15,15,Released as a separate subtotal as first report of the night,100,5856,>98%,>98% reported,edison,2,unknown,4537,5290,965,0,0,2020-11-18T00:00:52Z,69.14468,R+69,Moore +69,republican,UT-G-H-1-2020-11-03,ut-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-utah-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-utah.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-utah.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,UT,utah,Utah,Utah,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",342133,81821,3,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,569,571,99% reporting,99%,99,331000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T00:01:01Z,FALSE,39.09415,133754,R+39,Moore +39,republican,"Ballots postmarked by the day before the election must arrive by Nov. 10 to Nov. 17, depending on the county.","Ballots postmarked by the day before the election must arrive by Nov. 10 to Nov. 17, depending on the county.",7,-1,1604461679658
49033,Rich,1282,0,5,5,Merged into voters' home precincts and released with cumulative results,100,1269,>98%,>98% reported,edison,2,unknown,670,1078,204,0,0,2020-11-16T15:48:36Z,68.17473,R+68,Moore +68,republican,UT-G-H-1-2020-11-03,ut-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-utah-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-utah.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-utah.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,UT,utah,Utah,Utah,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",342133,81821,3,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,569,571,99% reporting,99%,99,331000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T00:01:01Z,FALSE,39.09415,133754,R+39,Moore +39,republican,"Ballots postmarked by the day before the election must arrive by Nov. 10 to Nov. 17, depending on the county.","Ballots postmarked by the day before the election must arrive by Nov. 10 to Nov. 17, depending on the county.",7,-1,1604461679658
49043,Summit,24439,0,50,50,Released as a separate subtotal as first report of the night,100,23154,>98%,>98% reported,edison,2,unknown,20812,10893,13546,0,0,2020-11-17T18:40:44Z,10.8556,D+11,Parry +11,democrat,UT-G-H-1-2020-11-03,ut-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-utah-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-utah.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-utah.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,UT,utah,Utah,Utah,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",342133,81821,3,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,569,571,99% reporting,99%,99,331000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T00:01:01Z,FALSE,39.09415,133754,R+39,Moore +39,republican,"Ballots postmarked by the day before the election must arrive by Nov. 10 to Nov. 17, depending on the county.","Ballots postmarked by the day before the election must arrive by Nov. 10 to Nov. 17, depending on the county.",7,-1,1604461679658
49047,Uintah,14270,367,25,26,Released as a separate subtotal as first report of the night,98,14515,98%,98% reported,edison,4,all,8700,12666,1604,339,28,2020-11-16T22:57:48Z,77.51927,R+78,Moore +78,republican,UT-G-H-1-2020-11-03,ut-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-utah-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-utah.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-utah.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,UT,utah,Utah,Utah,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",342133,81821,3,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,569,571,99% reporting,99%,99,331000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T00:01:01Z,FALSE,39.09415,133754,R+39,Moore +39,republican,"Ballots postmarked by the day before the election must arrive by Nov. 10 to Nov. 17, depending on the county.","Ballots postmarked by the day before the election must arrive by Nov. 10 to Nov. 17, depending on the county.",7,-1,1604461679658
49057,Weber,106565,67447,154,154,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,94184,>98%,>98% reported,edison,4,all,74882,69061,37504,41402,26045,2020-11-17T17:50:50Z,29.61291,R+30,Moore +30,republican,UT-G-H-1-2020-11-03,ut-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-utah-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-utah.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-utah.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,UT,utah,Utah,Utah,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",342133,81821,3,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,569,571,99% reporting,99%,99,331000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T00:01:01Z,FALSE,39.09415,133754,R+39,Moore +39,republican,"Ballots postmarked by the day before the election must arrive by Nov. 10 to Nov. 17, depending on the county.","Ballots postmarked by the day before the election must arrive by Nov. 10 to Nov. 17, depending on the county.",7,-1,1604461679658
