fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_gravesg,results_williamsd,results_sloans,results_torreganor,results_absentee_gravesg,results_absentee_williamsd,results_absentee_sloans,results_absentee_torreganor,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
22005,Ascension,50618,0,62,63,Released as a separate subtotal as first report of the night,99,51281,>98%,>98% reported,edison,2,unknown,14310,39990,8919,1333,376,0,0,0,0,2020-11-16T15:47:51Z,61.3833,R+61,Graves +61,republican,LA-G-H-6-2020-11-03,la-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",373996,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,565,601,94% reporting,94%,94,396000,edison,94%,94% reported,edison,republican,FALSE,2020-11-16T15:48:30Z,TRUE,45.49915,170165,R+45,Graves +45,republican,-1,-1,1604458802438
22007,Assumption,6854,0,15,18,Released as a separate subtotal as first report of the night,86,7992,86%,86% reported,edison,2,unknown,1998,5594,1074,117,69,0,0,0,0,2020-11-16T15:47:57Z,65.94689,R+66,Graves +66,republican,LA-G-H-6-2020-11-03,la-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",373996,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,565,601,94% reporting,94%,94,396000,edison,94%,94% reported,edison,republican,FALSE,2020-11-16T15:48:30Z,TRUE,45.49915,170165,R+45,Graves +45,republican,-1,-1,1604458802438
22033,East Baton Rouge,165874,0,250,259,Released as a separate subtotal as first report of the night,100,150269,>98%,>98% reported,edison,6,all,54315,101144,58761,4672,1297,0,0,0,0,2020-11-16T15:47:52Z,25.55132,R+26,Graves +26,republican,LA-G-H-6-2020-11-03,la-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",373996,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,565,601,94% reporting,94%,94,396000,edison,94%,94% reported,edison,republican,FALSE,2020-11-16T15:48:30Z,TRUE,45.49915,170165,R+45,Graves +45,republican,-1,-1,1604458802438
22037,East Feliciana,4809,0,10,12,Released as a separate subtotal as first report of the night,85,5645,85%,85% reported,edison,2,unknown,3672,3578,1103,92,36,0,0,0,0,2020-11-16T15:47:52Z,51.466,R+51,Graves +51,republican,LA-G-H-6-2020-11-03,la-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",373996,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,565,601,94% reporting,94%,94,396000,edison,94%,94% reported,edison,republican,FALSE,2020-11-16T15:48:30Z,TRUE,45.49915,170165,R+45,Graves +45,republican,-1,-1,1604458802438
22047,Iberville,5265,0,11,14,Released as a separate subtotal as first report of the night,81,6526,81%,81% reported,edison,2,unknown,4955,3773,1360,84,48,0,0,0,0,2020-11-16T15:47:53Z,45.83096,R+46,Graves +46,republican,LA-G-H-6-2020-11-03,la-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",373996,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,565,601,94% reporting,94%,94,396000,edison,94%,94% reported,edison,republican,FALSE,2020-11-16T15:48:30Z,TRUE,45.49915,170165,R+45,Graves +45,republican,-1,-1,1604458802438
22057,Lafourche,23390,0,37,41,Released as a separate subtotal as first report of the night,89,26148,89%,89% reported,edison,2,unknown,11030,18309,4260,573,248,0,0,0,0,2020-11-16T15:47:57Z,60.06413,R+60,Graves +60,republican,LA-G-H-6-2020-11-03,la-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",373996,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,565,601,94% reporting,94%,94,396000,edison,94%,94% reported,edison,republican,FALSE,2020-11-16T15:48:30Z,TRUE,45.49915,170165,R+45,Graves +45,republican,-1,-1,1604458802438
22063,Livingston,62608,0,77,79,Released as a separate subtotal as first report of the night,98,64080,98%,98% reported,edison,2,unknown,13622,54851,5846,1539,372,0,0,0,0,2020-11-16T15:47:53Z,78.27274,R+78,Graves +78,republican,LA-G-H-6-2020-11-03,la-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",373996,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,565,601,94% reporting,94%,94,396000,edison,94%,94% reported,edison,republican,FALSE,2020-11-16T15:48:30Z,TRUE,45.49915,170165,R+45,Graves +45,republican,-1,-1,1604458802438
22077,Pointe Coupee,11214,0,24,28,Released as a separate subtotal as first report of the night,86,13055,86%,86% reported,edison,2,unknown,3397,7894,3038,189,93,0,0,0,0,2020-11-16T15:47:54Z,43.30301,R+43,Graves +43,republican,LA-G-H-6-2020-11-03,la-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",373996,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,565,601,94% reporting,94%,94,396000,edison,94%,94% reported,edison,republican,FALSE,2020-11-16T15:48:30Z,TRUE,45.49915,170165,R+45,Graves +45,republican,-1,-1,1604458802438
22089,St. Charles,9581,0,15,15,Released as a separate subtotal as first report of the night,97,9891,97%,97% reported,edison,2,unknown,7869,7057,2103,286,135,0,0,0,0,2020-11-16T15:47:58Z,51.7065,R+52,Graves +52,republican,LA-G-H-6-2020-11-03,la-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",373996,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,565,601,94% reporting,94%,94,396000,edison,94%,94% reported,edison,republican,FALSE,2020-11-16T15:48:30Z,TRUE,45.49915,170165,R+45,Graves +45,republican,-1,-1,1604458802438
22091,St. Helena,3995,0,7,8,Released as a separate subtotal as first report of the night,82,4888,82%,82% reported,edison,2,unknown,2034,1822,2022,103,48,0,0,0,0,2020-11-16T15:47:55Z,5.00626,D+5,Williams +5,democrat,LA-G-H-6-2020-11-03,la-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",373996,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,565,601,94% reporting,94%,94,396000,edison,94%,94% reported,edison,republican,FALSE,2020-11-16T15:48:30Z,TRUE,45.49915,170165,R+45,Graves +45,republican,-1,-1,1604458802438
