fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_armstrongk,results_raknerudz,results_petersons,results_absentee_armstrongk,results_absentee_raknerudz,results_absentee_petersons,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
38001,Adams,1255,0,1,1,Released as a separate subtotal as first report of the night,100,1255,>98%,>98% reported,edison,10,some,1677,1010,213,32,0,0,0,2020-11-16T15:47:49Z,63.50598,R+64,Armstrong +64,republican,ND-G-H-1-2020-11-03,nd-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-dakota-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-dakota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-dakota.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,ND,north-dakota,North Dakota,N.D.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",355223,128116,4,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,416,416,100% reporting,100%,99,355223,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-17T03:09:05Z,TRUE,41.45537,147259,R+41,Armstrong +41,republican,"","",6,-1,1604455500497
38003,Barnes,5468,0,15,15,Merged into voters' home precincts and released with cumulative results,100,5468,>98%,>98% reported,edison,10,unknown,3917,3737,1562,169,0,0,0,2020-11-17T03:04:44Z,39.77688,R+40,Armstrong +40,republican,ND-G-H-1-2020-11-03,nd-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-dakota-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-dakota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-dakota.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,ND,north-dakota,North Dakota,N.D.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",355223,128116,4,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,416,416,100% reporting,100%,99,355223,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-17T03:09:05Z,TRUE,41.45537,147259,R+41,Armstrong +41,republican,"","",6,-1,1604455500497
38005,Benson,1931,0,4,4,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,1931,>98%,>98% reported,edison,10,some,3273,1138,738,55,0,0,0,2020-11-17T03:04:49Z,20.71466,R+21,Armstrong +21,republican,ND-G-H-1-2020-11-03,nd-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-dakota-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-dakota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-dakota.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,ND,north-dakota,North Dakota,N.D.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",355223,128116,4,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,416,416,100% reporting,100%,99,355223,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-17T03:09:05Z,TRUE,41.45537,147259,R+41,Armstrong +41,republican,"","",6,-1,1604455500497
38007,Billings,632,0,3,3,Merged into voters' home precincts and released with cumulative results,100,632,>98%,>98% reported,edison,10,some,341,554,64,14,0,0,0,2020-11-17T03:07:36Z,77.53165,R+78,Armstrong +78,republican,ND-G-H-1-2020-11-03,nd-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-dakota-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-dakota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-dakota.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,ND,north-dakota,North Dakota,N.D.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",355223,128116,4,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,416,416,100% reporting,100%,99,355223,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-17T03:09:05Z,TRUE,41.45537,147259,R+41,Armstrong +41,republican,"","",6,-1,1604455500497
38009,Bottineau,3419,0,5,5,Merged into voters' home precincts and released with cumulative results,100,3419,>98%,>98% reported,edison,10,some,4617,2646,692,81,0,0,0,2020-11-17T03:04:57Z,57.15121,R+57,Armstrong +57,republican,ND-G-H-1-2020-11-03,nd-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-dakota-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-dakota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-dakota.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,ND,north-dakota,North Dakota,N.D.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",355223,128116,4,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,416,416,100% reporting,100%,99,355223,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-17T03:09:05Z,TRUE,41.45537,147259,R+41,Armstrong +41,republican,"","",6,-1,1604455500497
38011,Bowman,1644,0,4,4,Merged into voters' home precincts and released with cumulative results,100,1644,>98%,>98% reported,edison,10,some,764,1413,195,36,0,0,0,2020-11-17T03:05:05Z,74.08759,R+74,Armstrong +74,republican,ND-G-H-1-2020-11-03,nd-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-dakota-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-dakota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-dakota.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,ND,north-dakota,North Dakota,N.D.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",355223,128116,4,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,416,416,100% reporting,100%,99,355223,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-17T03:09:05Z,TRUE,41.45537,147259,R+41,Armstrong +41,republican,"","",6,-1,1604455500497
38013,Burke,1134,0,6,6,Merged into voters' home precincts and released with cumulative results,100,1134,>98%,>98% reported,edison,10,some,1757,977,140,17,0,0,0,2020-11-17T02:55:48Z,73.80952,R+74,Armstrong +74,republican,ND-G-H-1-2020-11-03,nd-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-dakota-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-dakota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-dakota.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,ND,north-dakota,North Dakota,N.D.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",355223,128116,4,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,416,416,100% reporting,100%,99,355223,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-17T03:09:05Z,TRUE,41.45537,147259,R+41,Armstrong +41,republican,"","",6,-1,1604455500497
38015,Burleigh,49826,13656,36,36,Merged into voters' home precincts and released with cumulative results,100,49826,>98%,>98% reported,edison,10,some,26229,36122,12111,1593,10708,2507,441,2020-11-17T03:05:13Z,48.1897,R+48,Armstrong +48,republican,ND-G-H-1-2020-11-03,nd-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-dakota-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-dakota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-dakota.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,ND,north-dakota,North Dakota,N.D.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",355223,128116,4,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,416,416,100% reporting,100%,99,355223,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-17T03:09:05Z,TRUE,41.45537,147259,R+41,Armstrong +41,republican,"","",6,-1,1604455500497
38017,Cass,84458,81490,38,38,Merged into voters' home precincts and released with cumulative results,100,84458,>98%,>98% reported,edison,10,all,26127,46877,34055,3526,46738,32404,2348,2020-11-17T03:05:18Z,15.18151,R+15,Armstrong +15,republican,ND-G-H-1-2020-11-03,nd-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-dakota-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-dakota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-dakota.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,ND,north-dakota,North Dakota,N.D.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",355223,128116,4,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,416,416,100% reporting,100%,99,355223,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-17T03:09:05Z,TRUE,41.45537,147259,R+41,Armstrong +41,republican,"","",6,-1,1604455500497
38019,Cavalier,1991,0,1,1,Merged into voters' home precincts and released with cumulative results,100,1991,>98%,>98% reported,edison,10,unknown,3069,1548,400,43,0,0,0,2020-11-16T15:47:56Z,57.65947,R+58,Armstrong +58,republican,ND-G-H-1-2020-11-03,nd-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-dakota-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-dakota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-dakota.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,ND,north-dakota,North Dakota,N.D.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",355223,128116,4,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,416,416,100% reporting,100%,99,355223,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-17T03:09:05Z,TRUE,41.45537,147259,R+41,Armstrong +41,republican,"","",6,-1,1604455500497
