fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,results_velazquezn,results_kellyb,results_midonnetg,results_absentee_velazquezn,results_absentee_kellyb,results_absentee_midonnetg,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
36047,Brooklyn,125381,0,246,318,Merged into voters' home precincts AFTER election night,77,161893,77%,77% reported,edison,2,unknown,105964,18573,844,0,0,0,2020-11-16T15:48:02Z,69.70035,D+70,Velazquez +70,democrat,NY-G-H-7-2020-11-03,ny-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-dem,7,District 7,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",171880,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,325,424,77% reporting,77%,76,225000,edison,76%,76% reported,edison,democrat,FALSE,2020-11-16T15:48:27Z,TRUE,66.85362,114908,D+67,Velazquez +67,democrat,"Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots, which had until Nov. 10 to arrive if postmarked by Election Day, are still being counted. It took weeks to finish counting ballots during the state's June primary.",Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots are still being counted.,7,0,1604458451048
36061,Manhattan,21348,0,35,51,Merged into voters' home precincts AFTER election night,68,31231,68%,68% reported,edison,2,none,17646,3534,168,0,0,0,2020-11-16T15:48:03Z,66.10455,D+66,Velazquez +66,democrat,NY-G-H-7-2020-11-03,ny-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-dem,7,District 7,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",171880,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,325,424,77% reporting,77%,76,225000,edison,76%,76% reported,edison,democrat,FALSE,2020-11-16T15:48:27Z,TRUE,66.85362,114908,D+67,Velazquez +67,democrat,"Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots, which had until Nov. 10 to arrive if postmarked by Election Day, are still being counted. It took weeks to finish counting ballots during the state's June primary.",Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots are still being counted.,7,0,1604458451048
36081,Queens,25151,0,44,55,Merged into voters' home precincts AFTER election night,79,31797,79%,79% reported,edison,2,unknown,19205,5800,146,0,0,0,2020-11-16T15:48:02Z,53.29808,D+53,Velazquez +53,democrat,NY-G-H-7-2020-11-03,ny-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-dem,7,District 7,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",171880,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,325,424,77% reporting,77%,76,225000,edison,76%,76% reported,edison,democrat,FALSE,2020-11-16T15:48:27Z,TRUE,66.85362,114908,D+67,Velazquez +67,democrat,"Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots, which had until Nov. 10 to arrive if postmarked by Election Day, are still being counted. It took weeks to finish counting ballots during the state's June primary.",Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots are still being counted.,7,0,1604458451048
