fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_spanbergera,results_freitasn,results_absentee_spanbergera,results_absentee_freitasn,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
51007,Amelia,7814,4316,6,6,Released as a precinct at the end of tabulation,94,8350,94%,94% reported,edison,4,unknown,822,2542,5272,1771,2545,2020-11-17T20:31:43Z,34.93729,R+35,Freitas +35,republican,VA-G-H-7-2020-11-03,va-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,lean-dem,7,District 7,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",457674,287501,10,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,223,229,97% reporting,97%,98,467000,edison,98%,98% reported,edison,democrat,FALSE,2020-11-16T15:48:34Z,TRUE,1.81701,8316,D+1.8,Spanberger +1.8,democrat,"","",3,0,1604860368500
51041,Chesterfield,149331,108742,58,58,Released as a precinct at the end of tabulation,100,148915,>98%,>98% reported,edison,2,unknown,17975,82151,67180,66498,42244,2020-11-17T20:37:04Z,10.02538,D+10,Spanberger +10,democrat,VA-G-H-7-2020-11-03,va-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,lean-dem,7,District 7,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",457674,287501,10,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,223,229,97% reporting,97%,98,467000,edison,98%,98% reported,edison,democrat,FALSE,2020-11-16T15:48:34Z,TRUE,1.81701,8316,D+1.8,Spanberger +1.8,democrat,"","",3,0,1604860368500
51047,Culpeper,26756,14849,16,16,"As a precinct in the FIRST cumulative report, along with regular precincts",100,26311,>98%,>98% reported,edison,4,unknown,2558,10716,16040,7986,6863,2020-11-16T15:48:30Z,19.89834,R+20,Freitas +20,republican,VA-G-H-7-2020-11-03,va-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,lean-dem,7,District 7,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",457674,287501,10,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,223,229,97% reporting,97%,98,467000,edison,98%,98% reported,edison,democrat,FALSE,2020-11-16T15:48:34Z,TRUE,1.81701,8316,D+1.8,Spanberger +1.8,democrat,"","",3,0,1604860368500
51075,Goochland,16711,10629,11,11,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,16596,>98%,>98% reported,edison,2,unknown,1503,6837,9874,5281,5348,2020-11-17T20:41:31Z,18.17366,R+18,Freitas +18,republican,VA-G-H-7-2020-11-03,va-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,lean-dem,7,District 7,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",457674,287501,10,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,223,229,97% reporting,97%,98,467000,edison,98%,98% reported,edison,democrat,FALSE,2020-11-16T15:48:34Z,TRUE,1.81701,8316,D+1.8,Spanberger +1.8,democrat,"","",3,0,1604860368500
51087,Henrico,132387,79046,63,68,Released as a precinct at the end of tabulation,93,141962,93%,93% reported,edison,2,unknown,17095,80421,51966,56104,22942,2020-11-17T20:43:06Z,21.4938,D+21,Spanberger +21,democrat,VA-G-H-7-2020-11-03,va-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,lean-dem,7,District 7,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",457674,287501,10,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,223,229,97% reporting,97%,98,467000,edison,98%,98% reported,edison,democrat,FALSE,2020-11-16T15:48:34Z,TRUE,1.81701,8316,D+1.8,Spanberger +1.8,democrat,"","",3,0,1604860368500
51109,Louisa,21631,11395,16,16,Released as a precinct in the middle of the night,100,21511,>98%,>98% reported,edison,6,unknown,1893,8611,13020,6195,5200,2020-11-17T20:46:35Z,20.38278,R+20,Freitas +20,republican,VA-G-H-7-2020-11-03,va-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,lean-dem,7,District 7,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",457674,287501,10,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,223,229,97% reporting,97%,98,467000,edison,98%,98% reported,edison,democrat,FALSE,2020-11-16T15:48:34Z,TRUE,1.81701,8316,D+1.8,Spanberger +1.8,democrat,"","",3,0,1604860368500
51135,Nottoway,6976,3871,9,10,None,87,7993,87%,87% reported,edison,4,some,735,3123,3853,2003,1868,2020-11-17T20:51:12Z,10.46445,R+10,Freitas +10,republican,VA-G-H-7-2020-11-03,va-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,lean-dem,7,District 7,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",457674,287501,10,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,223,229,97% reporting,97%,98,467000,edison,98%,98% reported,edison,democrat,FALSE,2020-11-16T15:48:34Z,TRUE,1.81701,8316,D+1.8,Spanberger +1.8,democrat,"","",3,0,1604860368500
51137,Orange,20555,9791,11,11,None,100,20433,>98%,>98% reported,edison,4,some,1498,8255,12300,5568,4223,2020-11-17T20:51:23Z,19.67891,R+20,Freitas +20,republican,VA-G-H-7-2020-11-03,va-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,lean-dem,7,District 7,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",457674,287501,10,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,223,229,97% reporting,97%,98,467000,edison,98%,98% reported,edison,democrat,FALSE,2020-11-16T15:48:34Z,TRUE,1.81701,8316,D+1.8,Spanberger +1.8,democrat,"","",3,0,1604860368500
51145,Powhatan,19604,10020,13,13,"As a precinct in the FIRST cumulative report, along with regular precincts",100,9555,>98%,>98% reported,edison,6,unknown,1526,5749,13855,3950,6070,2020-11-17T20:52:16Z,41.3487,R+41,Freitas +41,republican,VA-G-H-7-2020-11-03,va-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,lean-dem,7,District 7,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",457674,287501,10,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,223,229,97% reporting,97%,98,467000,edison,98%,98% reported,edison,democrat,FALSE,2020-11-16T15:48:34Z,TRUE,1.81701,8316,D+1.8,Spanberger +1.8,democrat,"","",3,0,1604860368500
51177,Spotsylvania,55909,34842,20,20,Released as a precinct in the middle of the night,100,55254,>98%,>98% reported,edison,4,unknown,8867,24590,31319,18607,16235,2020-11-16T15:48:32Z,12.03563,R+12,Freitas +12,republican,VA-G-H-7-2020-11-03,va-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,lean-dem,7,District 7,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",457674,287501,10,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,223,229,97% reporting,97%,98,467000,edison,98%,98% reported,edison,democrat,FALSE,2020-11-16T15:48:34Z,TRUE,1.81701,8316,D+1.8,Spanberger +1.8,democrat,"","",3,0,1604860368500
