fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_butterfieldg,results_smiths,results_absentee_butterfieldg,results_absentee_smiths,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
37015,Bertie,9654,7648,12,12,Merged into voters' home precincts and released with cumulative results,100,9654,>98%,>98% reported,edison,10,all,9773,5871,3783,4933,2715,2020-11-17T04:10:48Z,21.62834,D+22,Butterfield +22,democrat,NC-G-H-1-2020-11-03,nc-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-dem,1,District 1,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",348618,281757,15,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,243,243,100% reporting,100%,99,348618,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-16T23:08:13Z,TRUE,8.35356,29122,D+8,Butterfield +8,democrat,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604457873277
37065,Edgecombe,25262,20180,21,21,Released as a precinct as first report of the night,100,25262,>98%,>98% reported,edison,10,unknown,28931,16138,9124,13669,6511,2020-11-17T12:49:10Z,27.76502,D+28,Butterfield +28,democrat,NC-G-H-1-2020-11-03,nc-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-dem,1,District 1,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",348618,281757,15,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,243,243,100% reporting,100%,99,348618,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-16T23:08:13Z,TRUE,8.35356,29122,D+8,Butterfield +8,democrat,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604457873277
37073,Gates,5861,4320,6,6,Released as a precinct as first report of the night,100,5861,>98%,>98% reported,edison,10,unknown,3654,2585,3276,2163,2157,2020-11-17T12:51:15Z,11.7898,R+12,Smith +12,republican,NC-G-H-1-2020-11-03,nc-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-dem,1,District 1,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",348618,281757,15,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,243,243,100% reporting,100%,99,348618,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-16T23:08:13Z,TRUE,8.35356,29122,D+8,Butterfield +8,democrat,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604457873277
37079,Greene,8685,6623,10,10,Released as a precinct as first report of the night,100,8685,>98%,>98% reported,edison,10,all,7894,3845,4840,3245,3378,2020-11-17T12:52:27Z,11.45653,R+11,Smith +11,republican,NC-G-H-1-2020-11-03,nc-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-dem,1,District 1,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",348618,281757,15,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,243,243,100% reporting,100%,99,348618,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-16T23:08:13Z,TRUE,8.35356,29122,D+8,Butterfield +8,democrat,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604457873277
37083,Halifax,25384,20018,19,19,"As a precinct in the FIRST cumulative report, along with regular precincts",100,25384,>98%,>98% reported,edison,10,some,24816,15446,9938,12624,7394,2020-11-17T12:53:19Z,21.69871,D+22,Butterfield +22,democrat,NC-G-H-1-2020-11-03,nc-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-dem,1,District 1,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",348618,281757,15,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,243,243,100% reporting,100%,99,348618,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-16T23:08:13Z,TRUE,8.35356,29122,D+8,Butterfield +8,democrat,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604457873277
37091,Hertford,10338,8313,13,13,Released as a precinct as first report of the night,100,10338,>98%,>98% reported,edison,10,all,10362,6997,3341,5924,2389,2020-11-17T12:55:22Z,35.36467,D+35,Butterfield +35,democrat,NC-G-H-1-2020-11-03,nc-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-dem,1,District 1,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",348618,281757,15,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,243,243,100% reporting,100%,99,348618,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-16T23:08:13Z,TRUE,8.35356,29122,D+8,Butterfield +8,democrat,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604457873277
37117,Martin,12415,8816,13,13,Released as a precinct as first report of the night,100,12415,>98%,>98% reported,edison,10,all,9738,5988,6427,4843,3973,2020-11-17T13:02:27Z,3.53605,R+4,Smith +4,republican,NC-G-H-1-2020-11-03,nc-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-dem,1,District 1,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",348618,281757,15,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,243,243,100% reporting,100%,99,348618,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-16T23:08:13Z,TRUE,8.35356,29122,D+8,Butterfield +8,democrat,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604457873277
37127,Nash,51679,42428,24,24,Released as a precinct as first report of the night,100,51679,>98%,>98% reported,edison,10,all,50237,25514,26165,21814,20614,2020-11-17T13:04:53Z,1.2597,R+1.3,Smith +1.3,republican,NC-G-H-1-2020-11-03,nc-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-dem,1,District 1,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",348618,281757,15,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,243,243,100% reporting,100%,99,348618,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-16T23:08:13Z,TRUE,8.35356,29122,D+8,Butterfield +8,democrat,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604457873277
37131,Northampton,9996,7600,13,13,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,9996,>98%,>98% reported,edison,10,unknown,9862,6085,3911,4989,2611,2020-11-17T13:05:42Z,21.7487,D+22,Butterfield +22,democrat,NC-G-H-1-2020-11-03,nc-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-dem,1,District 1,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",348618,281757,15,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,243,243,100% reporting,100%,99,348618,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-16T23:08:13Z,TRUE,8.35356,29122,D+8,Butterfield +8,democrat,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604457873277
37147,Pitt,57790,47913,28,28,Released as a precinct as first report of the night,100,57790,>98%,>98% reported,edison,10,unknown,82850,33664,24126,28989,18924,2020-11-17T13:09:11Z,16.50459,D+17,Butterfield +17,democrat,NC-G-H-1-2020-11-03,nc-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-dem,1,District 1,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",348618,281757,15,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,243,243,100% reporting,100%,99,348618,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-16T23:08:13Z,TRUE,8.35356,29122,D+8,Butterfield +8,democrat,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604457873277
