fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_comerj,results_rhodesj,results_absentee_comerj,results_absentee_rhodesj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,results_write_ins,results_absentee_write_ins,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
21001,Adair,8575,0,14,16,Merged into voters' home precincts and released with cumulative results,86,9960,86%,86% reported,edison,4,all,904,7373,1202,0,0,2020-11-14T16:39:15Z,71.96501,R+72,Comer +72,republican,,,KY-G-H-1-2020-11-03,ky-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",328498,45924,9,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,552,633,87% reporting,87%,87,376000,edison,87%,87% reported,edison,republican,FALSE,2020-11-14T16:40:25Z,TRUE,49.92633,164007,R+50,Comer +50,republican,"","",3,0,1604448477069
21003,Allen,9175,6427,12,13,"As a subtotal in the FIRST cumulative report, along with regular precincts",94,9790,94%,94% reported,edison,4,all,661,7703,1472,5253,1174,2020-11-14T16:39:17Z,67.91281,R+68,Comer +68,republican,,,KY-G-H-1-2020-11-03,ky-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",328498,45924,9,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,552,633,87% reporting,87%,87,376000,edison,87%,87% reported,edison,republican,FALSE,2020-11-14T16:40:25Z,TRUE,49.92633,164007,R+50,Comer +50,republican,"","",3,0,1604448477069
21007,Ballard,4180,0,11,13,Released as a separate subtotal as first report of the night,84,4962,84%,84% reported,edison,2,unknown,208,3369,811,0,0,2020-11-14T16:39:18Z,61.19617,R+61,Comer +61,republican,,,KY-G-H-1-2020-11-03,ky-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",328498,45924,9,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,552,633,87% reporting,87%,87,376000,edison,87%,87% reported,edison,republican,FALSE,2020-11-14T16:40:25Z,TRUE,49.92633,164007,R+50,Comer +50,republican,"","",3,0,1604448477069
21033,Caldwell,6355,0,11,13,None,88,7230,88%,88% reported,edison,4,all,518,4948,1407,0,0,2020-11-14T16:39:19Z,55.71991,R+56,Comer +56,republican,,,KY-G-H-1-2020-11-03,ky-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",328498,45924,9,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,552,633,87% reporting,87%,87,376000,edison,87%,87% reported,edison,republican,FALSE,2020-11-14T16:40:25Z,TRUE,49.92633,164007,R+50,Comer +50,republican,"","",3,0,1604448477069
21035,Calloway,17285,0,20,23,Merged into voters' home precincts and released with cumulative results,100,17273,>98%,>98% reported,edison,6,none,1198,11944,5341,0,0,2020-11-14T16:39:20Z,38.20075,R+38,Comer +38,republican,,,KY-G-H-1-2020-11-03,ky-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",328498,45924,9,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,552,633,87% reporting,87%,87,376000,edison,87%,87% reported,edison,republican,FALSE,2020-11-14T16:40:25Z,TRUE,49.92633,164007,R+50,Comer +50,republican,"","",3,0,1604448477069
21039,Carlisle,2607,0,5,6,Released as a precinct as first report of the night,83,3147,83%,83% reported,edison,2,unknown,274,2161,446,0,0,2020-11-14T16:39:21Z,65.78443,R+66,Comer +66,republican,,,KY-G-H-1-2020-11-03,ky-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",328498,45924,9,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,552,633,87% reporting,87%,87,376000,edison,87%,87% reported,edison,republican,FALSE,2020-11-14T16:40:25Z,TRUE,49.92633,164007,R+50,Comer +50,republican,"","",3,0,1604448477069
21045,Casey,7130,0,14,15,Released as a precinct as first report of the night,100,7130,>98%,>98% reported,edison,6,none,677,6217,906,0,0,2020-11-14T16:39:21Z,74.48808,R+74,Comer +74,republican,7,0,KY-G-H-1-2020-11-03,ky-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",328498,45924,9,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,552,633,87% reporting,87%,87,376000,edison,87%,87% reported,edison,republican,FALSE,2020-11-14T16:40:25Z,TRUE,49.92633,164007,R+50,Comer +50,republican,"","",3,0,1604448477069
21047,Christian,23456,0,36,41,Released as a precinct as first report of the night,88,26720,88%,88% reported,edison,2,unknown,1462,15339,8117,0,0,2020-11-14T16:39:22Z,30.78956,R+31,Comer +31,republican,,,KY-G-H-1-2020-11-03,ky-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",328498,45924,9,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,552,633,87% reporting,87%,87,376000,edison,87%,87% reported,edison,republican,FALSE,2020-11-14T16:40:25Z,TRUE,49.92633,164007,R+50,Comer +50,republican,"","",3,0,1604448477069
21053,Clinton,4868,0,12,13,Other,90,5394,90%,90% reported,edison,2,unknown,808,4337,531,0,0,2020-11-14T16:39:23Z,78.18406,R+78,Comer +78,republican,0,0,KY-G-H-1-2020-11-03,ky-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",328498,45924,9,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,552,633,87% reporting,87%,87,376000,edison,87%,87% reported,edison,republican,FALSE,2020-11-14T16:40:25Z,TRUE,49.92633,164007,R+50,Comer +50,republican,"","",3,0,1604448477069
21055,Crittenden,4180,3411,10,12,Released as a precinct as first report of the night,100,4178,>98%,>98% reported,edison,6,all,362,3460,720,2789,622,2020-11-14T16:39:25Z,65.55024,R+66,Comer +66,republican,,,KY-G-H-1-2020-11-03,ky-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",328498,45924,9,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,552,633,87% reporting,87%,87,376000,edison,87%,87% reported,edison,republican,FALSE,2020-11-14T16:40:25Z,TRUE,49.92633,164007,R+50,Comer +50,republican,"","",3,0,1604448477069
