fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_connollyg,results_anantatmulam,results_absentee_connollyg,results_absentee_anantatmulam,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
51059,Fairfax,291194,202737,112,120,Released as a precinct in the middle of the night,93,313327,93%,93% reported,edison,4,unknown,93111,205883,85311,158138,44599,2020-11-14T16:40:33Z,41.40607,D+41,Connolly +41,democrat,VA-G-H-11-2020-11-03,va-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-dem,11,District 11,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",392113,276429,3,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,155,164,95% reporting,95%,94,418000,edison,94%,94% reported,edison,democrat,FALSE,2020-11-14T16:42:18Z,TRUE,43.18985,169353,D+43,Connolly +43,democrat,"","",3,0,1604463903822
51600,Fairfax City,13136,9910,7,7,Released separately AFTER election night,100,3138,>98%,>98% reported,edison,6,none,2574,8980,4156,7384,2526,2020-11-14T16:40:35Z,36.72351,D+37,Connolly +37,democrat,VA-G-H-11-2020-11-03,va-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-dem,11,District 11,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",392113,276429,3,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,155,164,95% reporting,95%,94,418000,edison,94%,94% reported,edison,democrat,FALSE,2020-11-14T16:42:18Z,TRUE,43.18985,169353,D+43,Connolly +43,democrat,"","",3,0,1604463903822
51153,Prince William,87783,63782,36,37,Released as a precinct in the middle of the night,97,90543,97%,97% reported,edison,2,unknown,50233,65870,21913,50496,13286,2020-11-14T16:40:34Z,50.07462,D+50,Connolly +50,democrat,VA-G-H-11-2020-11-03,va-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-dem,11,District 11,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",392113,276429,3,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,155,164,95% reporting,95%,94,418000,edison,94%,94% reported,edison,democrat,FALSE,2020-11-14T16:42:18Z,TRUE,43.18985,169353,D+43,Connolly +43,democrat,"","",3,0,1604463903822
