fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_lawrenceb,results_patrickr,results_gioial,results_kolodyp,results_shabazzc,results_absentee_lawrenceb,results_absentee_patrickr,results_absentee_gioial,results_absentee_kolodyp,results_absentee_shabazzc,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
26125,Oakland,175511,125655,116,124,Merged into voters' home precincts and released with cumulative results,93,188332,93%,93% reported,edison,4,some,185030,130298,41326,2022,1100,765,100085,23613,1045,509,403,2020-11-14T16:39:17Z,50.69312,D+51,Lawrence +51,democrat,MI-G-H-14-2020-11-03,mi-house-general-district-014-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan-house-district-14.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-michigan.html,house,general,2020-11-03,FALSE,U.S. House District 14,U.S. House,H,solid-dem,14,District 14,MI,michigan,Michigan,Mich.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",334796,134356,2,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,324,332,98% reporting,98%,89,377000,edison,89%,89% reported,edison,democrat,FALSE,2020-11-14T16:38:58Z,TRUE,60.25132,201719,D+60,Lawrence +60,democrat,"","",0,-1,1604481070734
26163,Wayne,159285,8701,208,208,Released separately AFTER election night,85,187795,85%,85% reported,edison,4,unknown,172169,133907,21160,1665,1376,1177,5003,3539,102,22,35,2020-11-14T16:39:15Z,70.78319,D+71,Lawrence +71,democrat,MI-G-H-14-2020-11-03,mi-house-general-district-014-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan-house-district-14.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-michigan.html,house,general,2020-11-03,FALSE,U.S. House District 14,U.S. House,H,solid-dem,14,District 14,MI,michigan,Michigan,Mich.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",334796,134356,2,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,324,332,98% reporting,98%,89,377000,edison,89%,89% reported,edison,democrat,FALSE,2020-11-14T16:38:58Z,TRUE,60.25132,201719,D+60,Lawrence +60,democrat,"","",0,-1,1604481070734
