fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_higginsc,results_harrisb,results_andersonr,results_leleuxb,results_absentee_higginsc,results_absentee_harrisb,results_absentee_andersonr,results_absentee_leleuxb,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
22001,Acadia,27361,0,49,55,Released as a separate subtotal as first report of the night,90,30402,90%,90% reported,edison,2,unknown,7053,21843,3090,1915,513,0,0,0,0,2020-11-14T16:39:11Z,68.53916,R+69,Higgins +69,republican,LA-G-H-3-2020-11-03,la-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",340120,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,503,566,89% reporting,89%,89,381000,edison,89%,89% reported,edison,republican,FALSE,2020-11-14T16:40:27Z,TRUE,49.87299,169628,R+50,Higgins +50,republican,-1,-1,1604457287384
22019,Calcasieu,79193,0,105,123,Released as a separate subtotal as first report of the night,85,93001,85%,85% reported,edison,2,unknown,21757,52229,15663,9118,2183,0,0,0,0,2020-11-14T16:39:11Z,46.17327,R+46,Higgins +46,republican,LA-G-H-3-2020-11-03,la-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",340120,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,503,566,89% reporting,89%,89,381000,edison,89%,89% reported,edison,republican,FALSE,2020-11-14T16:40:27Z,TRUE,49.87299,169628,R+50,Higgins +50,republican,-1,-1,1604457287384
22023,Cameron,3850,0,13,14,Released as a separate subtotal as first report of the night,94,4098,94%,94% reported,edison,2,unknown,1277,3454,141,193,62,0,0,0,0,2020-11-14T16:39:12Z,84.7013,R+85,Higgins +85,republican,LA-G-H-3-2020-11-03,la-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",340120,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,503,566,89% reporting,89%,89,381000,edison,89%,89% reported,edison,republican,FALSE,2020-11-14T16:40:27Z,TRUE,49.87299,169628,R+50,Higgins +50,republican,-1,-1,1604457287384
22045,Iberia,30797,0,55,64,Released as a separate subtotal as first report of the night,85,36024,85%,85% reported,edison,2,unknown,10381,20406,6518,3299,574,0,0,0,0,2020-11-14T16:39:08Z,45.0953,R+45,Higgins +45,republican,LA-G-H-3-2020-11-03,la-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",340120,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,503,566,89% reporting,89%,89,381000,edison,89%,89% reported,edison,republican,FALSE,2020-11-14T16:40:27Z,TRUE,49.87299,169628,R+50,Higgins +50,republican,-1,-1,1604457287384
22053,Jeff Davis,13995,0,19,22,Released as a separate subtotal as first report of the night,88,15847,88%,88% reported,edison,2,unknown,5659,10853,1668,1203,271,0,0,0,0,2020-11-14T16:39:13Z,65.63058,R+66,Higgins +66,republican,LA-G-H-3-2020-11-03,la-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",340120,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,503,566,89% reporting,89%,89,381000,edison,89%,89% reported,edison,republican,FALSE,2020-11-14T16:40:27Z,TRUE,49.87299,169628,R+50,Higgins +50,republican,-1,-1,1604457287384
22055,Lafayette,110153,0,119,127,Released as a separate subtotal as first report of the night,94,117219,94%,94% reported,edison,2,unknown,17606,68286,20774,16909,4184,0,0,0,0,2020-11-14T16:39:14Z,43.13273,R+43,Higgins +43,republican,LA-G-H-3-2020-11-03,la-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",340120,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,503,566,89% reporting,89%,89,381000,edison,89%,89% reported,edison,republican,FALSE,2020-11-14T16:40:27Z,TRUE,49.87299,169628,R+50,Higgins +50,republican,-1,-1,1604457287384
22097,St. Landry,1481,0,3,4,Released as a separate subtotal as first report of the night,85,1738,85%,85% reported,edison,2,unknown,8342,1193,137,114,37,0,0,0,0,2020-11-14T16:39:15Z,71.30317,R+71,Higgins +71,republican,LA-G-H-3-2020-11-03,la-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",340120,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,503,566,89% reporting,89%,89,381000,edison,89%,89% reported,edison,republican,FALSE,2020-11-14T16:40:27Z,TRUE,49.87299,169628,R+50,Higgins +50,republican,-1,-1,1604457287384
22099,St. Martin,25519,0,46,51,Released as a separate subtotal as first report of the night,89,28583,89%,89% reported,edison,2,unknown,7030,17294,4891,2730,604,0,0,0,0,2020-11-14T16:39:09Z,48.603,R+49,Higgins +49,republican,LA-G-H-3-2020-11-03,la-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",340120,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,503,566,89% reporting,89%,89,381000,edison,89%,89% reported,edison,republican,FALSE,2020-11-14T16:40:27Z,TRUE,49.87299,169628,R+50,Higgins +50,republican,-1,-1,1604457287384
22101,St. Mary,21698,0,44,51,Released as a separate subtotal as first report of the night,85,25393,85%,85% reported,edison,2,unknown,8451,14041,5528,1752,377,0,0,0,0,2020-11-14T16:39:10Z,39.23403,R+39,Higgins +39,republican,LA-G-H-3-2020-11-03,la-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",340120,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,503,566,89% reporting,89%,89,381000,edison,89%,89% reported,edison,republican,FALSE,2020-11-14T16:40:27Z,TRUE,49.87299,169628,R+50,Higgins +50,republican,-1,-1,1604457287384
22113,Vermilion,26073,0,50,55,Released as a separate subtotal as first report of the night,92,28452,92%,92% reported,edison,2,unknown,6541,20881,2442,2190,560,0,0,0,0,2020-11-14T16:39:15Z,70.72067,R+71,Higgins +71,republican,LA-G-H-3-2020-11-03,la-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",340120,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,503,566,89% reporting,89%,89,381000,edison,89%,89% reported,edison,republican,FALSE,2020-11-14T16:40:27Z,TRUE,49.87299,169628,R+50,Higgins +50,republican,-1,-1,1604457287384
