fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,results_negusej,results_winnc,results_atkinsont,results_swingg,results_absentee_negusej,results_absentee_winnc,results_absentee_atkinsont,results_absentee_swingg,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
08013,Boulder,144274,0,156,177,Other,88,163897,88%,88% reported,edison,2,some,114509,26505,2709,551,0,0,0,0,2020-11-14T16:39:49Z,60.99782,D+61,Neguse +61,democrat,CO-G-H-2-2020-11-03,co-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",515644,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,561,606,93% reporting,93%,93,557000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-14T16:39:17Z,TRUE,26.06003,134377,D+26,Neguse +26,democrat,"","",0,0,1604459067018
08014,Broomfield,45227,0,37,37,Other,100,39904,>98%,>98% reported,edison,6,all,26935,16887,1180,225,0,0,0,0,2020-11-14T16:39:53Z,22.21682,D+22,Neguse +22,democrat,CO-G-H-2-2020-11-03,co-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",515644,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,561,606,93% reporting,93%,93,557000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-14T16:39:17Z,TRUE,26.06003,134377,D+26,Neguse +26,democrat,"","",0,0,1604459067018
08019,Clear Creek,6323,0,8,9,Other,91,6922,91%,91% reported,edison,2,some,3392,2674,216,41,0,0,0,0,2020-11-14T16:39:50Z,11.35537,D+11,Neguse +11,democrat,CO-G-H-2-2020-11-03,co-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",515644,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,561,606,93% reporting,93%,93,557000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-14T16:39:17Z,TRUE,26.06003,134377,D+26,Neguse +26,democrat,"","",0,0,1604459067018
08037,Eagle,7166,0,7,8,Other,100,6908,>98%,>98% reported,edison,6,all,4691,2197,220,58,0,0,0,0,2020-11-14T16:39:50Z,34.80324,D+35,Neguse +35,democrat,CO-G-H-2-2020-11-03,co-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",515644,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,561,606,93% reporting,93%,93,557000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-14T16:39:17Z,TRUE,26.06003,134377,D+26,Neguse +26,democrat,"","",0,0,1604459067018
08047,Gilpin,4092,0,6,6,Other,97,4220,97%,97% reported,edison,2,unknown,2139,1746,174,33,0,0,0,0,2020-11-14T16:39:51Z,9.60411,D+10,Neguse +10,democrat,CO-G-H-2-2020-11-03,co-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",515644,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,561,606,93% reporting,93%,93,557000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-14T16:39:17Z,TRUE,26.06003,134377,D+26,Neguse +26,democrat,"","",0,0,1604459067018
08049,Grand,9488,0,11,12,Other,94,10134,94%,94% reported,edison,2,unknown,4348,4781,306,53,0,0,0,0,2020-11-14T16:39:51Z,4.56366,R+5,Winn +5,republican,CO-G-H-2-2020-11-03,co-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",515644,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,561,606,93% reporting,93%,93,557000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-14T16:39:17Z,TRUE,26.06003,134377,D+26,Neguse +26,democrat,"","",0,0,1604459067018
08059,Jefferson,57586,0,46,50,Other,100,54083,>98%,>98% reported,edison,4,all,29143,26719,1482,242,0,0,0,0,2020-11-14T16:39:52Z,4.20936,D+4,Neguse +4,democrat,CO-G-H-2-2020-11-03,co-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",515644,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,561,606,93% reporting,93%,93,557000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-14T16:39:17Z,TRUE,26.06003,134377,D+26,Neguse +26,democrat,"","",0,0,1604459067018
08069,Larimer,217824,0,264,280,Other,94,231256,94%,94% reported,edison,4,some,117867,92290,6477,1190,0,0,0,0,2020-11-14T16:39:53Z,11.74205,D+12,Neguse +12,democrat,CO-G-H-2-2020-11-03,co-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",515644,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,561,606,93% reporting,93%,93,557000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-14T16:39:17Z,TRUE,26.06003,134377,D+26,Neguse +26,democrat,"","",0,0,1604459067018
08093,Park,5818,0,7,7,Other,94,6162,94%,94% reported,edison,2,unknown,2222,3314,246,36,0,0,0,0,2020-11-14T16:39:54Z,18.76934,R+19,Winn +19,republican,CO-G-H-2-2020-11-03,co-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",515644,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,561,606,93% reporting,93%,93,557000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-14T16:39:17Z,TRUE,26.06003,134377,D+26,Neguse +26,democrat,"","",0,0,1604459067018
08117,Summit,17846,0,19,20,Other,94,19085,94%,94% reported,edison,2,some,11670,5426,646,104,0,0,0,0,2020-11-14T16:39:52Z,34.98823,D+35,Neguse +35,democrat,CO-G-H-2-2020-11-03,co-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",515644,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,561,606,93% reporting,93%,93,557000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-14T16:39:17Z,TRUE,26.06003,134377,D+26,Neguse +26,democrat,"","",0,0,1604459067018
