fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_pflugera,results_hoggj,results_codyw,results_absentee_pflugera,results_absentee_hoggj,results_absentee_codyw,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
48003,Andrews,5794,4735,5,5,Released as a precinct as first report of the night,91,6357,91%,91% reported,edison,2,unknown,4805,4887,798,109,4003,653,79,2020-11-14T16:42:54Z,70.57301,R+71,Pfluger +71,republican,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",290841,232084,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,318,353,90% reporting,90%,92,321000,edison,92%,92% reported,edison,republican,FALSE,2020-11-14T16:42:07Z,FALSE,61.41809,178629,R+61,Pfluger +61,republican,"","",1,0,1604457873285
48049,Brown,15611,12288,16,19,Released as a precinct as first report of the night,87,18003,87%,87% reported,edison,2,some,14372,13454,1908,249,10581,1537,170,2020-11-14T16:42:54Z,73.96067,R+74,Pfluger +74,republican,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",290841,232084,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,318,353,90% reporting,90%,92,321000,edison,92%,92% reported,edison,republican,FALSE,2020-11-14T16:42:07Z,FALSE,61.41809,178629,R+61,Pfluger +61,republican,"","",1,0,1604457873285
48059,Callahan,6607,5327,7,8,Released as a precinct as first report of the night,92,7178,92%,92% reported,edison,2,unknown,4184,5834,653,120,4702,544,81,2020-11-14T16:42:56Z,78.41683,R+78,Pfluger +78,republican,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",290841,232084,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,318,353,90% reporting,90%,92,321000,edison,92%,92% reported,edison,republican,FALSE,2020-11-14T16:42:07Z,FALSE,61.41809,178629,R+61,Pfluger +61,republican,"","",1,0,1604457873285
48081,Coke,1716,1209,5,5,Released as a precinct as first report of the night,93,1836,93%,93% reported,edison,2,unknown,1206,1515,157,44,1064,118,27,2020-11-14T16:42:54Z,79.13753,R+79,Pfluger +79,republican,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",290841,232084,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,318,353,90% reporting,90%,92,321000,edison,92%,92% reported,edison,republican,FALSE,2020-11-14T16:42:07Z,FALSE,61.41809,178629,R+61,Pfluger +61,republican,"","",1,0,1604457873285
48083,Coleman,4053,3494,4,5,Released as a precinct as first report of the night,86,4690,86%,86% reported,edison,2,some,3691,3610,400,43,3108,351,35,2020-11-14T16:42:54Z,79.20059,R+79,Pfluger +79,republican,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",290841,232084,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,318,353,90% reporting,90%,92,321000,edison,92%,92% reported,edison,republican,FALSE,2020-11-14T16:42:07Z,FALSE,61.41809,178629,R+61,Pfluger +61,republican,"","",1,0,1604457873285
48093,Comanche,5910,4550,13,15,Released as a precinct as first report of the night,88,6748,88%,88% reported,edison,2,unknown,4034,5006,804,100,3839,646,65,2020-11-14T16:42:54Z,71.09983,R+71,Pfluger +71,republican,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",290841,232084,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,318,353,90% reporting,90%,92,321000,edison,92%,92% reported,edison,republican,FALSE,2020-11-14T16:42:07Z,FALSE,61.41809,178629,R+61,Pfluger +61,republican,"","",1,0,1604457873285
48095,Concho,1246,773,8,9,Released as a precinct as first report of the night,91,1376,91%,91% reported,edison,2,unknown,569,1052,172,22,637,121,15,2020-11-14T16:42:54Z,70.626,R+71,Pfluger +71,republican,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",290841,232084,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,318,353,90% reporting,90%,92,321000,edison,92%,92% reported,edison,republican,FALSE,2020-11-14T16:42:07Z,FALSE,61.41809,178629,R+61,Pfluger +61,republican,"","",1,0,1604457873285
48115,Dawson,3574,2773,8,10,Released as a precinct as first report of the night,78,4595,78%,78% reported,edison,2,unknown,3346,2697,826,51,2157,584,32,2020-11-14T16:42:54Z,52.35031,R+52,Pfluger +52,republican,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",290841,232084,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,318,353,90% reporting,90%,92,321000,edison,92%,92% reported,edison,republican,FALSE,2020-11-14T16:42:07Z,FALSE,61.41809,178629,R+61,Pfluger +61,republican,"","",1,0,1604457873285
48133,Eastland,7999,6311,9,10,Released as a precinct as first report of the night,89,8950,89%,89% reported,edison,2,unknown,5907,6959,898,142,5498,720,93,2020-11-14T16:42:56Z,75.77197,R+76,Pfluger +76,republican,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",290841,232084,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,318,353,90% reporting,90%,92,321000,edison,92%,92% reported,edison,republican,FALSE,2020-11-14T16:42:07Z,FALSE,61.41809,178629,R+61,Pfluger +61,republican,"","",1,0,1604457873285
48135,Ector,43169,34486,38,41,Released as a precinct as first report of the night,92,47014,92%,92% reported,edison,2,unknown,35298,31741,10447,981,25396,8428,662,2020-11-14T16:42:54Z,49.32706,R+49,Pfluger +49,republican,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",290841,232084,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,318,353,90% reporting,90%,92,321000,edison,92%,92% reported,edison,republican,FALSE,2020-11-14T16:42:07Z,FALSE,61.41809,178629,R+61,Pfluger +61,republican,"","",1,0,1604457873285
