fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bookerc,results_mehtar,results_fernandezv,results_hoffmanm,results_burked,results_write_ins,results_absentee_bookerc,results_absentee_mehtar,results_absentee_fernandezv,results_absentee_hoffmanm,results_absentee_burked,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
34001,Atlantic,127811,111152,143,151,Released separately AFTER election night,95,134885,95%,95% reported,edison,2,some,,14118,,,66812,58525,1493,502,393,86,59095,50082,1167,404,332,72,2020-11-07T14:00:55Z,6.48379,D+6,Booker +6,democrat,new-jersey,2020-11-11T00:36:48.604157Z
34003,Bergen,437227,417177,509,561,Merged into voters' home precincts AFTER election night,91,482190,91%,91% reported,edison,2,some,,45653,,,253970,176130,2885,2510,1459,273,244619,165903,2675,2358,1349,273,2020-11-06T23:54:38Z,17.80311,D+18,Booker +18,democrat,new-jersey,2020-11-11T00:36:48.604157Z
34005,Burlington,236865,198924,343,365,Merged into voters' home precincts and released with cumulative results,94,251784,94%,94% reported,edison,2,some,,31397,,,139867,93987,897,1578,426,110,122088,74541,666,1220,305,104,2020-11-10T17:23:24Z,19.36968,D+19,Booker +19,democrat,new-jersey,2020-11-11T00:36:48.604157Z
34007,Camden,239384,0,316,345,Released separately AFTER election night,92,260581,92%,92% reported,edison,2,unknown,,59568,,,158501,78242,634,1549,263,195,0,0,0,0,0,0,2020-11-09T21:20:36Z,33.5273,D+34,Booker +34,democrat,new-jersey,2020-11-11T00:36:48.604157Z
34009,Cape May,54477,47415,123,127,Merged into voters' home precincts and released with cumulative results,97,56030,97%,97% reported,edison,4,some,,9231,,,22570,30937,393,404,126,47,20209,26468,288,323,88,39,2020-11-10T20:32:43Z,15.35878,R+15,Mehta +15,republican,new-jersey,2020-11-11T00:36:48.604157Z
34011,Cumberland,56204,17100,83,92,Released separately AFTER election night,88,63586,88%,88% reported,edison,4,some,,5984,,,29259,25074,1178,363,278,52,10821,5797,279,97,94,12,2020-11-10T08:36:40Z,7.44609,D+7,Booker +7,democrat,new-jersey,2020-11-11T00:36:48.604157Z
34013,Essex,282707,0,434,550,Released as a separate subtotal as first report of the night,79,357574,79%,79% reported,edison,2,unknown,,24131,,,218663,60207,1419,2076,342,0,0,0,0,0,0,0,2020-11-05T22:39:35Z,56.04955,D+56,Booker +56,democrat,new-jersey,2020-11-11T00:36:48.604157Z
34015,Gloucester,164946,146750,229,229,Merged into voters' home precincts and released with cumulative results,100,160473,>98%,>98% reported,edison,4,unknown,,25391,,,82904,78513,901,2165,278,185,75604,68245,715,1809,226,151,2020-11-07T14:51:00Z,2.66208,D+3,Booker +3,democrat,new-jersey,2020-11-11T00:36:48.604157Z
34017,Hudson,206083,0,370,454,Released as a separate subtotal as first report of the night,82,252281,82%,82% reported,edison,2,some,,14745,,,153645,46961,3012,1696,666,103,0,0,0,0,0,0,2020-11-09T19:59:35Z,51.76749,D+52,Booker +52,democrat,new-jersey,2020-11-11T00:36:48.604157Z
34019,Hunterdon,77366,71243,110,116,Released as a separate subtotal as first report of the night,95,81461,95%,95% reported,edison,4,some,,13401,,,34771,40634,347,1309,161,144,32877,36658,296,1151,138,123,2020-11-07T00:40:26Z,7.57826,R+8,Mehta +8,republican,new-jersey,2020-11-11T00:36:48.604157Z
34021,Mercer,154206,0,208,243,None,86,180008,86%,86% reported,edison,4,unknown,,21542,,,105126,46813,894,1059,212,102,0,0,0,0,0,0,2020-11-06T23:00:34Z,37.815,D+38,Booker +38,democrat,new-jersey,2020-11-11T00:36:48.604157Z
34023,Middlesex,258094,0,423,615,Other,69,375017,69%,69% reported,edison,4,unknown,,56703,,,163410,89279,1766,2283,1252,104,0,0,0,0,0,0,2020-11-09T16:18:36Z,28.72248,D+29,Booker +29,democrat,new-jersey,2020-11-11T00:36:48.604157Z
