fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_cassidyb,results_perkinsa,results_edwardsd,results_murphyd,results_piercea,results_knightd,results_bourgeoisj,results_billiotb,results_siglera,results_johnx,results_wenstrupp,results_pricem,results_daretr,results_montgomeryj,results_mendozav,results_absentee_cassidyb,results_absentee_perkinsa,results_absentee_edwardsd,results_absentee_murphyd,results_absentee_piercea,results_absentee_knightd,results_absentee_bourgeoisj,results_absentee_billiotb,results_absentee_siglera,results_absentee_johnx,results_absentee_wenstrupp,results_absentee_pricem,results_absentee_daretr,results_absentee_montgomeryj,results_absentee_mendozav,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
22001,Acadia,27499,0,49,55,Released as a separate subtotal as first report of the night,90,30676,90%,90% reported,edison,2,unknown,,7053,,,21640,2243,1499,572,285,260,239,224,112,94,89,82,62,51,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:59Z,70.53711,R+71,Cassidy +71,republican,louisiana,2020-11-11T00:36:26.207703Z
22003,Allen,9423,0,26,29,Released as a separate subtotal as first report of the night,90,10424,90%,90% reported,edison,2,unknown,,2045,,,7077,483,926,303,143,158,94,75,21,19,36,29,16,22,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:59Z,65.27645,R+65,Cassidy +65,republican,louisiana,2020-11-11T00:36:26.207703Z
22005,Ascension,60627,0,73,74,Released as a separate subtotal as first report of the night,99,61239,>98%,>98% reported,edison,2,unknown,,14310,,,40141,8539,6057,1448,1327,871,485,362,452,73,325,170,92,78,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-07T11:15:33Z,52.12529,R+52,Cassidy +52,republican,louisiana,2020-11-11T00:36:26.207703Z
22007,Assumption,10602,0,24,28,Released as a separate subtotal as first report of the night,86,12311,86%,86% reported,edison,2,unknown,,1998,,,6884,1452,1340,155,167,153,109,164,22,5,60,31,25,21,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:44:00Z,51.23562,R+51,Cassidy +51,republican,louisiana,2020-11-11T00:36:26.207703Z
22009,Avoyelles,16313,0,43,49,Released as a separate subtotal as first report of the night,86,19076,86%,86% reported,edison,2,unknown,,3747,,,11330,1551,1766,401,232,287,161,209,63,31,97,68,50,27,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:44:01Z,58.62809,R+59,Cassidy +59,republican,louisiana,2020-11-11T00:36:26.207703Z
22011,Beauregard,15755,0,37,40,Released as a separate subtotal as first report of the night,93,16887,93%,93% reported,edison,2,unknown,,5218,,,12485,607,992,664,225,229,110,90,115,16,75,33,29,18,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:44:01Z,72.94827,R+73,Cassidy +73,republican,louisiana,2020-11-11T00:36:26.207703Z
22013,Bienville,6814,0,29,33,Released as a separate subtotal as first report of the night,84,8067,84%,84% reported,edison,2,unknown,,1723,,,3729,2068,517,111,95,91,46,50,21,4,38,16,9,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-10T11:16:00Z,24.37628,R+24,Cassidy +24,republican,louisiana,2020-11-11T00:36:26.207703Z
22015,Bossier,53200,0,78,82,Released as a separate subtotal as first report of the night,95,55830,95%,95% reported,edison,2,unknown,,13582,,,36931,9834,2511,1135,613,567,305,203,325,43,240,133,73,117,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-10T11:15:59Z,50.93421,R+51,Cassidy +51,republican,louisiana,2020-11-11T00:36:26.207703Z
22017,Caddo,102046,0,130,151,Released as a separate subtotal as first report of the night,97,104699,97%,97% reported,edison,6,all,,19390,,,48007,36282,8590,1226,2912,1479,570,594,436,95,641,298,143,466,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-10T11:15:59Z,11.48992,R+11,Cassidy +11,republican,louisiana,2020-11-11T00:36:26.207703Z
22019,Calcasieu,80267,0,105,123,Released as a separate subtotal as first report of the night,86,93839,86%,86% reported,edison,2,unknown,,21757,,,52888,5910,11082,2418,2033,1992,800,510,733,93,701,371,148,288,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-07T11:15:32Z,52.08367,R+52,Cassidy +52,republican,louisiana,2020-11-11T00:36:26.207703Z
22021,Caldwell,4586,0,17,19,Released as a separate subtotal as first report of the night,87,5282,87%,87% reported,edison,2,unknown,,2117,,,3590,218,268,261,50,57,23,37,12,6,23,13,9,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:44:02Z,72.43785,R+72,Cassidy +72,republican,louisiana,2020-11-11T00:36:26.207703Z
22023,Cameron,3936,0,13,14,Released as a separate subtotal as first report of the night,94,4193,94%,94% reported,edison,2,unknown,,1277,,,3411,70,129,143,17,24,43,31,17,6,9,12,7,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:44:02Z,83.02846,R+83,Cassidy +83,republican,louisiana,2020-11-11T00:36:26.207703Z
22025,Catahoula,4622,0,21,25,Released as a separate subtotal as first report of the night,85,5439,85%,85% reported,edison,2,unknown,,1659,,,3312,539,377,113,65,54,29,41,9,6,22,24,8,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:44:02Z,59.99567,R+60,Cassidy +60,republican,louisiana,2020-11-11T00:36:26.207703Z
22027,Claiborne,6286,0,22,25,Released as a separate subtotal as first report of the night,83,7540,83%,83% reported,edison,2,unknown,,3258,,,3722,1605,499,105,86,93,44,38,12,2,35,17,12,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:44:03Z,33.67801,R+34,Cassidy +34,republican,louisiana,2020-11-11T00:36:26.207703Z
22029,Concordia,8252,0,17,20,Released as a separate subtotal as first report of the night,79,10506,79%,79% reported,edison,2,unknown,,2875,,,5163,1185,1073,261,100,178,65,59,26,9,63,14,20,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:44:04Z,48.2065,R+48,Cassidy +48,republican,louisiana,2020-11-11T00:36:26.207703Z
22031,DeSoto,14336,0,35,37,Released as a separate subtotal as first report of the night,95,15120,95%,95% reported,edison,2,unknown,,4304,,,8750,3744,651,298,128,122,71,82,49,10,54,26,11,319,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-07T11:15:32Z,34.91908,R+35,Cassidy +35,republican,louisiana,2020-11-11T00:36:26.207703Z
22033,East Baton Rouge,203954,0,305,329,Released as a separate subtotal as first report of the night,100,187700,>98%,>98% reported,edison,6,all,,54315,,,93514,58688,29504,2234,8540,4156,1323,1205,1171,255,1329,587,352,422,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-10T11:15:59Z,17.07542,R+17,Cassidy +17,republican,louisiana,2020-11-11T00:36:26.207703Z
22035,East Carroll,2868,0,15,17,Released as a separate subtotal as first report of the night,64,4489,64%,64% reported,edison,2,unknown,,1030,,,1150,703,560,38,79,173,30,52,7,5,36,11,10,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:23Z,15.58577,R+16,Cassidy +16,republican,louisiana,2020-11-11T00:36:26.207703Z
22037,East Feliciana,10097,0,22,24,Released as a separate subtotal as first report of the night,88,11434,88%,88% reported,edison,2,unknown,,3672,,,6040,1784,1296,166,196,212,81,110,36,13,73,25,31,12,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:23Z,42.15113,R+42,Cassidy +42,republican,louisiana,2020-11-11T00:36:26.207703Z
22039,Evangeline,14375,0,48,56,Released as a separate subtotal as first report of the night,81,17662,81%,81% reported,edison,2,unknown,,5072,,,10374,1418,1307,309,162,194,169,159,33,27,75,48,53,12,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:24Z,62.30261,R+62,Cassidy +62,republican,louisiana,2020-11-11T00:36:26.207703Z
22041,Franklin,9307,0,22,24,Released as a separate subtotal as first report of the night,89,10456,89%,89% reported,edison,2,unknown,,4117,,,6765,839,729,210,271,166,64,70,26,8,61,38,14,25,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:24Z,63.6725,R+64,Cassidy +64,republican,louisiana,2020-11-11T00:36:26.207703Z
22043,Grant,9047,0,31,34,Released as a separate subtotal as first report of the night,92,9880,92%,92% reported,edison,2,unknown,,2424,,,7580,316,435,259,55,104,62,58,37,10,34,32,33,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:25Z,78.97646,R+79,Cassidy +79,republican,louisiana,2020-11-11T00:36:26.207703Z
22045,Iberia,31180,0,55,64,Released as a separate subtotal as first report of the night,83,37405,83%,83% reported,edison,2,unknown,,10381,,,20399,4294,3076,586,885,507,338,296,122,57,190,137,71,116,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-07T11:15:32Z,51.6517,R+52,Cassidy +52,republican,louisiana,2020-11-11T00:36:26.207703Z
