fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
38059,Morton,16619,0,18,18,Other,100,16619,>98%,>98% reported,edison,10,unknown,,7220,,,12243,3872,432,72,0,0,0,0,2020-11-17T03:06:25Z,50.37006,R+50,Trump +50,republican,50.37006,15832,52.1,13613,30.93,north-dakota,2020-11-21T00:43:17.245801Z
38061,Mountrail,4165,0,9,9,Merged into voters' home precincts and released with cumulative results,100,4165,>98%,>98% reported,edison,10,unknown,,1784,,,2824,1256,75,10,0,0,0,0,2020-11-17T03:06:31Z,37.64706,R+38,Trump +38,republican,37.64706,4106,33.2,3457,16.17,north-dakota,2020-11-21T00:43:17.245801Z
38063,Nelson,1777,0,1,1,Merged into voters' home precincts and released with cumulative results,100,1777,>98%,>98% reported,edison,10,some,,3279,,,1141,586,43,7,0,0,0,0,2020-11-16T15:48:03Z,31.23241,R+31,Trump +31,republican,31.23241,1717,28.5,1678,5.84,north-dakota,2020-11-21T00:43:17.245801Z
38065,Oliver,1066,0,7,7,Merged into voters' home precincts and released with cumulative results,100,1066,>98%,>98% reported,edison,10,unknown,,795,,,918,129,18,1,0,0,0,0,2020-11-17T03:06:38Z,74.01501,R+74,Trump +74,republican,74.01501,1017,69.9,1013,40.67,north-dakota,2020-11-21T00:43:17.245801Z
38067,Pembina,3331,0,6,6,None,100,3331,>98%,>98% reported,edison,10,unknown,,6545,,,2460,786,66,19,0,0,0,0,2020-11-17T03:08:27Z,50.25518,R+50,Trump +50,republican,50.25518,3153,48.4,3255,19.85,north-dakota,2020-11-21T00:43:17.245801Z
38069,Pierce,2128,0,8,8,Merged into voters' home precincts and released with cumulative results,100,2128,>98%,>98% reported,edison,10,some,,1553,,,1585,497,38,8,0,0,0,0,2020-11-17T02:58:38Z,51.12782,R+51,Trump +51,republican,51.12782,2071,48.6,2178,36.96,north-dakota,2020-11-21T00:43:17.245801Z
38071,Ramsey,5372,0,4,4,Merged into voters' home precincts and released with cumulative results,100,5372,>98%,>98% reported,edison,10,unknown,,7131,,,3577,1639,128,28,0,0,0,0,2020-11-17T03:08:41Z,36.07595,R+36,Trump +36,republican,36.07595,5305,32.3,4999,10.02,north-dakota,2020-11-21T00:43:17.245801Z
38073,Ransom,2454,0,4,4,Released as a separate subtotal at the end of tabulation,100,2454,>98%,>98% reported,edison,10,some,,3752,,,1418,945,86,5,0,0,0,0,2020-11-16T15:48:04Z,19.27465,R+19,Trump +19,republican,19.27465,2359,15.8,2425,-13.77,north-dakota,2020-11-21T00:43:17.245801Z
38075,Renville,1319,0,5,5,Merged into voters' home precincts and released with cumulative results,100,1319,>98%,>98% reported,edison,10,unknown,,1788,,,1065,220,32,2,0,0,0,0,2020-11-17T03:06:45Z,64.06368,R+64,Trump +64,republican,64.06368,1293,61.3,1278,35.45,north-dakota,2020-11-21T00:43:17.245801Z
38077,Richland,7812,0,15,15,Merged into voters' home precincts and released with cumulative results,100,7812,>98%,>98% reported,edison,10,unknown,,4052,,,5072,2510,191,39,0,0,0,0,2020-11-17T03:06:53Z,32.7957,R+33,Trump +33,republican,32.7957,7592,35.6,7613,13.54,north-dakota,2020-11-21T00:43:17.245801Z
38079,Rolette,3804,0,5,5,"As a precinct in the FIRST cumulative report, along with regular precincts",100,3804,>98%,>98% reported,edison,10,unknown,,1383,,,1257,2482,60,5,0,0,0,0,2020-11-17T03:08:49Z,32.20294,D+32,Biden +32,democrat,-32.20294,3755,-23.5,4552,-49.67,north-dakota,2020-11-21T00:43:17.245801Z
38081,Sargent,2070,0,5,5,Released separately AFTER election night,100,2070,>98%,>98% reported,edison,10,unknown,,3540,,,1266,738,62,4,0,0,0,0,2020-11-17T02:59:29Z,25.50725,R+26,Trump +26,republican,25.50725,1997,19.7,2007,-9.77,north-dakota,2020-11-21T00:43:17.245801Z
38083,Sheridan,812,0,1,1,Merged into voters' home precincts and released with cumulative results,100,812,>98%,>98% reported,edison,10,unknown,,1353,,,688,104,16,4,0,0,0,0,2020-11-16T15:48:07Z,71.92118,R+72,Trump +72,republican,71.92118,787,70.5,822,58.27,north-dakota,2020-11-21T00:43:17.245801Z
38085,Sioux,1186,0,6,6,Merged into voters' home precincts and released with cumulative results,100,1186,>98%,>98% reported,edison,10,unknown,,519,,,258,804,48,76,0,0,0,0,2020-11-17T03:07:00Z,46.0371,D+46,Biden +46,democrat,-46.0371,1232,-40.4,1144,-59,north-dakota,2020-11-21T00:43:17.245801Z
