fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_de_la_fuenter,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_de_la_fuenter,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
45035,Dorchester,77278,46641,81,81,"As a precinct in the FIRST cumulative report, along with regular precincts",100,77278,>98%,>98% reported,edison,10,unknown,,18464,,,41913,33824,1219,239,83,22514,23419,553,111,44,2020-11-16T15:48:23Z,10.4674,R+10,Trump +10,republican,10.4674,62567,17.5,56855,15.98,south-carolina,2020-11-21T00:43:36.706783Z
45037,Edgefield,13304,7081,12,12,Released as a precinct as first report of the night,100,13309,>98%,>98% reported,edison,10,unknown,,3950,,,8184,4953,120,39,8,3860,3148,49,18,6,2020-11-16T15:48:24Z,24.28593,R+24,Trump +24,republican,24.28593,11644,20.2,11586,13.34,south-carolina,2020-11-21T00:43:36.706783Z
45039,Fairfield,12136,6796,22,22,Released as a precinct as first report of the night,100,12136,>98%,>98% reported,edison,10,unknown,,3861,,,4625,7382,78,41,10,2126,4625,26,16,3,2020-11-16T15:48:24Z,22.71753,D+23,Biden +23,democrat,-22.71753,11267,-25.9,11895,-31.76,south-carolina,2020-11-21T00:43:36.706783Z
45041,Florence,64510,35728,63,63,Released as a precinct as first report of the night,100,64615,>98%,>98% reported,edison,10,unknown,,22227,,,32615,31153,503,194,45,14991,20421,192,101,23,2020-11-16T15:48:25Z,2.26632,R+2,Trump +2,republican,2.26632,57931,4.9,58122,0.6,south-carolina,2020-11-21T00:43:36.706783Z
45043,Georgetown,36668,21530,34,34,None,100,36702,>98%,>98% reported,edison,10,unknown,,12821,,,20487,15822,237,93,29,10660,10704,108,43,15,2020-11-16T15:48:25Z,12.72226,R+13,Trump +13,republican,12.72226,31657,12.9,30965,7.63,south-carolina,2020-11-21T00:43:36.706783Z
45045,Greenville,258155,93850,151,151,Released as a precinct in the middle of the night,100,258155,>98%,>98% reported,edison,10,unknown,,32851,,,150021,103030,4179,698,227,38872,53743,951,209,75,2020-11-16T15:48:26Z,18.20263,R+18,Trump +18,republican,18.20263,215165,24.8,193189,27.75,south-carolina,2020-11-21T00:43:36.706783Z
45047,Greenwood,32006,15370,51,51,Released as a precinct as first report of the night,100,32006,>98%,>98% reported,edison,10,unknown,,10778,,,19431,12145,318,95,17,7908,7293,115,46,8,2020-11-16T15:48:26Z,22.76448,R+23,Trump +23,republican,22.76448,28763,21.7,28672,15.26,south-carolina,2020-11-21T00:43:36.706783Z
45049,Hampton,9305,4796,18,18,Released as a precinct as first report of the night,100,9305,>98%,>98% reported,edison,10,unknown,,3520,,,3906,5323,44,22,10,1415,3347,16,11,7,2020-11-16T15:48:27Z,15.22837,D+15,Biden +15,democrat,-15.22837,8806,-19.1,9206,-27.4,south-carolina,2020-11-21T00:43:36.706783Z
45051,Horry,179744,100347,124,124,Released as a precinct as first report of the night,100,179744,>98%,>98% reported,edison,10,some,,24302,,,118821,59180,1255,397,91,58798,40840,490,174,45,2020-11-16T15:48:27Z,33.18108,R+33,Trump +33,republican,33.18108,132920,37.5,112393,29.58,south-carolina,2020-11-21T00:43:36.706783Z
45053,Jasper,14394,7524,15,15,"As a precinct in the FIRST cumulative report, along with regular precincts",100,14411,>98%,>98% reported,edison,10,unknown,,3843,,,7078,7185,92,32,7,3145,4379,0,0,0,2020-11-16T15:48:27Z,0.74337,D+0.74,Biden +0.74,democrat,-0.74337,11427,-6.7,10021,-15.85,south-carolina,2020-11-21T00:43:36.706783Z
45055,Kershaw,33629,18395,34,34,Released as a precinct as first report of the night,100,33629,>98%,>98% reported,edison,10,unknown,,9565,,,20471,12699,344,90,25,9355,8825,160,43,12,2020-11-16T15:48:28Z,23.11101,R+23,Trump +23,republican,23.11101,28995,24.9,27946,18.12,south-carolina,2020-11-21T00:43:36.706783Z
45057,Lancaster,49868,27850,36,36,Released as a separate subtotal as first report of the night,100,49868,>98%,>98% reported,edison,10,unknown,,12466,,,30312,18937,492,93,34,14726,12870,207,38,9,2020-11-16T15:48:28Z,22.81022,R+23,Trump +23,republican,22.81022,38938,25.4,33144,17.84,south-carolina,2020-11-21T00:43:36.706783Z
45059,Laurens,30488,10721,33,33,Released as a precinct as first report of the night,100,30488,>98%,>98% reported,edison,10,unknown,,5470,,,20004,10159,238,67,20,5435,5197,58,22,9,2020-11-16T15:48:29Z,32.29139,R+32,Trump +32,republican,32.29139,26566,29.8,25416,17.42,south-carolina,2020-11-21T00:43:36.706783Z
45061,Lee,8431,4455,22,22,None,100,8435,>98%,>98% reported,edison,10,unknown,,2691,,,3008,5329,71,18,5,1176,3234,34,8,3,2020-11-16T15:48:29Z,27.52936,D+28,Biden +28,democrat,-27.52936,8156,-29.4,8907,-35.31,south-carolina,2020-11-21T00:43:36.706783Z
45063,Lexington,144568,58329,96,96,Merged into voters' home precincts and released with cumulative results,100,144568,>98%,>98% reported,edison,10,unknown,,29053,,,92817,49301,1935,397,118,31077,26517,546,140,49,2020-11-16T15:48:29Z,30.10071,R+30,Trump +30,republican,30.10071,122093,36.7,112623,37.75,south-carolina,2020-11-21T00:43:36.706783Z
