fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_blankenshipd,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_blankenshipd,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
37001,Alamance,86091,68096,38,38,Released as a separate subtotal as first report of the night,100,86091,>98%,>98% reported,edison,10,none,,62360,,,46056,38825,686,223,151,150,34433,32922,468,165,108,0,2020-11-18T03:15:17Z,8.39925,R+8,Trump +8,republican,8.39925,71157,12.6,67776,13.71,north-carolina,2020-11-21T00:43:00.246561Z
37003,Alexander,20236,16818,10,10,Released as a separate subtotal as first report of the night,100,20236,>98%,>98% reported,edison,10,all,,15384,,,15888,4145,127,18,24,34,13065,3620,76,16,20,21,2020-11-18T03:15:56Z,58.03024,R+58,Trump +58,republican,58.03024,18271,55.4,17196,44.44,north-carolina,2020-11-21T00:43:00.246561Z
37005,Alleghany,6076,5006,4,4,Released as a separate subtotal as first report of the night,100,6076,>98%,>98% reported,edison,10,all,,5206,,,4527,1486,35,15,5,8,3652,1313,25,11,5,0,2020-11-18T03:16:16Z,50.04937,R+50,Trump +50,republican,50.04937,5315,47.2,5067,35.66,north-carolina,2020-11-21T00:43:00.246561Z
37007,Anson,11194,7913,9,9,Released as a precinct as first report of the night,100,11205,>98%,>98% reported,edison,10,unknown,,10515,,,5321,5789,41,14,19,10,3208,4659,25,9,12,0,2020-11-18T03:16:33Z,4.18081,D+4,Biden +4,democrat,-4.18081,10545,-12.8,11256,-25.35,north-carolina,2020-11-21T00:43:00.246561Z
37009,Ashe,15814,11243,17,17,"As a precinct in the FIRST cumulative report, along with regular precincts",100,15814,>98%,>98% reported,edison,10,unknown,,9733,,,11451,4164,126,23,27,23,7688,3451,71,13,20,0,2020-11-18T03:16:57Z,46.07942,R+46,Trump +46,republican,46.07942,13424,44,12610,32.72,north-carolina,2020-11-21T00:43:00.246561Z
37011,Avery,9458,5962,19,19,Released as a separate subtotal as first report of the night,100,9458,>98%,>98% reported,edison,10,unknown,,4091,,,7172,2191,56,13,10,16,4229,1689,32,8,4,0,2020-11-18T03:17:25Z,52.66441,R+53,Trump +53,republican,52.66441,8249,55.9,7759,50.06,north-carolina,2020-11-21T00:43:00.246561Z
37013,Beaufort,26315,20365,21,21,Released as a precinct as first report of the night,100,26315,>98%,>98% reported,edison,10,all,,22376,,,16437,9633,137,30,37,41,12021,8210,90,18,26,0,2020-11-18T03:17:48Z,25.85598,R+26,Trump +26,republican,25.85598,23938,24.1,23620,19.23,north-carolina,2020-11-21T00:43:00.246561Z
37015,Bertie,9815,7765,12,12,Merged into voters' home precincts and released with cumulative results,100,9815,>98%,>98% reported,edison,10,all,,9773,,,3817,5939,29,15,8,7,2732,4990,25,13,5,0,2020-11-18T03:18:10Z,21.61997,D+22,Biden +22,democrat,-21.61997,9347,-24.8,10123,-32.68,north-carolina,2020-11-21T00:43:00.246561Z
37017,Bladen,17125,13773,17,17,Released as a precinct as first report of the night,100,17125,>98%,>98% reported,edison,10,unknown,,16846,,,9676,7326,68,18,20,17,7497,6203,46,14,13,0,2020-11-18T03:18:31Z,13.72263,R+14,Trump +14,republican,13.72263,15897,9.4,15957,-1.97,north-carolina,2020-11-21T00:43:00.246561Z
37019,Brunswick,90175,78863,25,25,Released as a separate subtotal as first report of the night,100,90175,>98%,>98% reported,edison,10,unknown,,65557,,,55850,33310,642,119,91,163,47469,30790,441,90,73,0,2020-11-18T03:18:54Z,24.99584,R+25,Trump +25,republican,24.99584,68351,28.4,57362,22.15,north-carolina,2020-11-21T00:43:00.246561Z
37021,Buncombe,161569,141433,80,80,Released as a precinct as first report of the night,100,161569,>98%,>98% reported,edison,10,some,,142646,,,62412,96515,1460,542,225,415,50488,89302,1068,398,177,0,2020-11-18T03:19:19Z,21.10739,D+21,Biden +21,democrat,-21.10739,138947,-14.2,127696,-12.47,north-carolina,2020-11-21T00:43:00.246561Z
37023,Burke,44602,36522,33,33,Released as a separate subtotal as first report of the night,100,44602,>98%,>98% reported,edison,10,unknown,,37205,,,31019,13118,270,83,43,69,24934,11319,177,56,36,0,2020-11-18T03:19:43Z,40.13497,R+40,Trump +40,republican,40.13497,38920,38.5,36544,23.44,north-carolina,2020-11-21T00:43:00.246561Z
37025,Cabarrus,117227,97086,39,39,Released as a precinct as first report of the night,100,117227,>98%,>98% reported,edison,10,all,,66450,,,63237,52162,1096,253,144,335,50169,45845,782,183,107,0,2020-11-18T03:20:07Z,9.44748,R+9,Trump +9,republican,9.44748,93289,19.6,83566,19.99,north-carolina,2020-11-21T00:43:00.246561Z
37027,Caldwell,42829,35583,20,20,Released as a precinct as first report of the night,100,42829,>98%,>98% reported,edison,10,unknown,,37674,,,32119,10245,273,60,52,80,26440,8846,202,50,45,0,2020-11-18T03:20:36Z,51.07287,R+51,Trump +51,republican,51.07287,36320,50.1,34732,35.5,north-carolina,2020-11-21T00:43:00.246561Z
37029,Camden,5953,4473,3,3,Released as a precinct as first report of the night,100,5953,>98%,>98% reported,edison,10,all,,4042,,,4312,1537,76,8,5,15,3104,1310,49,7,3,0,2020-11-18T03:20:50Z,46.61515,R+47,Trump +47,republican,46.61515,5006,45.4,4704,34.03,north-carolina,2020-11-21T00:43:00.246561Z
37031,Carteret,42695,34524,26,26,Released as a separate subtotal as first report of the night,100,42695,>98%,>98% reported,edison,10,all,,34930,,,30028,12093,373,64,57,80,23494,10700,251,36,43,0,2020-11-18T03:21:14Z,42.00726,R+42,Trump +42,republican,42.00726,37781,44,35517,40.75,north-carolina,2020-11-21T00:43:00.246561Z
37033,Caswell,12051,8365,9,9,Released as a precinct as first report of the night,100,12051,>98%,>98% reported,edison,10,all,,9422,,,7089,4860,64,19,8,11,4389,3921,40,10,5,0,2020-11-18T03:21:32Z,18.49639,R+18,Trump +18,republican,18.49639,11070,11.1,11039,2.23,north-carolina,2020-11-21T00:43:00.246561Z
37035,Catawba,83425,67978,40,40,"As a precinct in the FIRST cumulative report, along with regular precincts",100,83425,>98%,>98% reported,edison,10,unknown,,67210,,,56588,25689,652,194,130,172,45296,21870,444,144,99,125,2020-11-18T03:21:59Z,37.03806,R+37,Trump +37,republican,37.03806,72351,37.5,69601,29.41,north-carolina,2020-11-21T00:43:00.246561Z
