fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_blankenshipd,results_hawkinsh,results_de_la_fuenter,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_blankenshipd,results_absentee_hawkinsh,results_absentee_de_la_fuenter,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
26029,Charlevoix,17000,0,20,20,Merged into voters' home precincts and released with cumulative results,100,17000,>98%,>98% reported,edison,6,unknown,,2686,,,6939,9841,160,13,43,4,,0,0,0,0,0,0,,2020-11-24T13:23:15Z,17.07059,R+17,Trump +17,republican,17.07059,14654,24.1,14090,14.63,michigan,2020-11-27T00:46:32.907092Z
26031,Cheboygan,15868,0,22,22,None,100,15849,>98%,>98% reported,edison,6,unknown,,2254,,,5437,10186,196,18,23,8,,0,0,0,0,0,0,,2020-11-24T13:23:15Z,29.92816,R+30,Trump +30,republican,29.92816,13672,32,13311,10.93,michigan,2020-11-27T00:46:32.907092Z
26033,Chippewa,17671,0,18,18,Merged into voters' home precincts and released with cumulative results,100,17675,>98%,>98% reported,edison,6,unknown,,1942,,,6648,10681,233,26,39,13,31,0,0,0,0,0,0,0,2020-11-24T13:23:16Z,22.8227,R+23,Trump +23,republican,22.8227,15552,24.1,15564,7.57,michigan,2020-11-27T00:46:32.907092Z
26035,Clare,16281,0,20,20,Merged into voters' home precincts and released with cumulative results,100,16280,>98%,>98% reported,edison,6,unknown,,2290,,,5199,10861,162,22,34,3,0,0,0,0,0,0,0,0,2020-11-24T13:23:17Z,34.77673,R+35,Trump +35,republican,34.77673,13449,31.6,13504,4.81,michigan,2020-11-27T00:46:32.907092Z
26037,Clinton,47910,4519,34,34,Merged into voters' home precincts and released with cumulative results,100,47902,>98%,>98% reported,edison,6,unknown,,9045,,,21968,25098,659,63,94,28,,2937,1519,45,9,8,1,,2020-11-24T13:23:18Z,6.53308,R+7,Trump +7,republican,6.53308,40937,12.6,39235,6.27,michigan,2020-11-27T00:46:32.907092Z
26039,Crawford,7861,0,10,10,Merged into voters' home precincts and released with cumulative results,100,7665,>98%,>98% reported,edison,6,unknown,,1244,,,2672,5087,69,4,24,5,,0,0,0,0,0,0,,2020-11-24T13:23:19Z,30.72128,R+31,Trump +31,republican,30.72128,6844,32.8,6814,11.01,michigan,2020-11-27T00:46:32.907092Z
26041,Delta,21156,0,27,27,Merged into voters' home precincts and released with cumulative results,100,21154,>98%,>98% reported,edison,6,all,,3134,,,7606,13207,249,33,42,14,5,0,0,0,0,0,0,0,2020-11-24T13:23:21Z,26.47476,R+26,Trump +26,republican,26.47476,18594,25.2,18050,6.67,michigan,2020-11-27T00:46:32.907092Z
26043,Dickinson,14589,0,15,15,Released as a separate subtotal as first report of the night,100,13268,>98%,>98% reported,edison,6,unknown,,1960,,,4744,9617,187,15,15,11,,0,0,0,0,0,0,,2020-11-24T13:23:21Z,33.40188,R+33,Trump +33,republican,33.40188,13232,35.2,12810,21.36,michigan,2020-11-27T00:46:32.907092Z
26045,Eaton,64454,33719,51,51,Merged into voters' home precincts and released with cumulative results,100,64451,>98%,>98% reported,edison,6,unknown,,15665,,,31299,31798,895,114,166,32,150,21048,12058,360,67,77,17,92,2020-11-24T13:23:23Z,0.7742,R+0.77,Trump +0.77,republican,0.7742,56575,4.7,54788,-3.13,michigan,2020-11-27T00:46:32.907092Z
26047,Emmet,22176,6637,18,18,Merged into voters' home precincts and released with cumulative results,100,22176,>98%,>98% reported,edison,6,unknown,,4226,,,9662,12135,284,26,59,10,0,2184,4407,34,7,3,2,0,2020-11-24T13:23:24Z,11.1517,R+11,Trump +11,republican,11.1517,18994,19.2,17709,17.1,michigan,2020-11-27T00:46:32.907092Z
26049,Genesee,221781,97414,230,239,Merged into voters' home precincts and released with cumulative results,96,230057,96%,96% reported,edison,2,some,,35969,,,119390,98714,2234,323,549,106,465,59759,36285,820,137,206,36,171,2020-11-24T13:23:25Z,9.32271,D+9,Biden +9,democrat,-9.32271,197641,-9.4,202933,-28.17,michigan,2020-11-27T00:46:32.907092Z
26051,Gladwin,14603,0,18,18,Merged into voters' home precincts and released with cumulative results,100,14603,>98%,>98% reported,edison,6,unknown,,1923,,,4524,9893,142,18,25,1,0,0,0,0,0,0,0,0,2020-11-24T13:23:26Z,36.76642,R+37,Trump +37,republican,36.76642,12542,34.5,12583,7.16,michigan,2020-11-27T00:46:32.907092Z
26053,Gogebic,8276,0,11,11,Merged into voters' home precincts and released with cumulative results,100,8279,>98%,>98% reported,edison,6,unknown,,543,,,3570,4600,67,4,21,4,10,0,0,0,0,0,0,0,2020-11-24T13:23:27Z,12.44563,R+12,Trump +12,republican,12.44563,7383,14.8,7576,-8.1,michigan,2020-11-27T00:46:32.907092Z
26055,Grand Traverse,60227,24115,55,55,Merged into voters' home precincts and released with cumulative results,100,60226,>98%,>98% reported,edison,6,unknown,,16547,,,28683,30502,796,64,151,31,,13579,10186,255,27,57,11,,2020-11-24T13:23:29Z,3.02024,R+3,Trump +3,republican,3.02024,51985,12.4,47999,11.79,michigan,2020-11-27T00:46:32.907092Z
26057,Gratiot,19148,0,21,21,Merged into voters' home precincts and released with cumulative results,100,19148,>98%,>98% reported,edison,6,all,,1790,,,6693,12102,240,31,49,11,22,0,0,0,0,0,0,0,2020-11-24T13:23:29Z,28.24838,R+28,Trump +28,republican,28.24838,16465,25.6,16035,3.94,michigan,2020-11-27T00:46:32.907092Z
26059,Hillsdale,23288,0,26,26,Merged into voters' home precincts and released with cumulative results,100,23288,>98%,>98% reported,edison,6,all,,2406,,,5883,17037,261,38,56,13,0,0,0,0,0,0,0,0,2020-11-24T13:23:30Z,47.89591,R+48,Trump +48,republican,47.89591,19940,46.6,19100,24.19,michigan,2020-11-27T00:46:32.907092Z
26061,Houghton,18533,0,29,29,Merged into voters' home precincts and released with cumulative results,100,18540,>98%,>98% reported,edison,6,unknown,,1850,,,7750,10378,285,28,49,11,32,0,0,0,0,0,0,0,2020-11-24T13:23:31Z,14.18011,R+14,Trump +14,republican,14.18011,15761,15.6,15282,9.13,michigan,2020-11-27T00:46:32.907092Z
26063,Huron,18452,0,31,31,None,100,17717,>98%,>98% reported,edison,6,none,,1927,,,5490,12731,145,24,32,15,15,0,0,0,0,0,0,0,2020-11-24T13:23:32Z,39.24236,R+39,Trump +39,republican,39.24236,15944,38.3,15484,14.78,michigan,2020-11-27T00:46:32.907092Z
26065,Ingham,144788,0,115,115,Merged into voters' home precincts and released with cumulative results,100,144797,>98%,>98% reported,edison,6,unknown,,39987,,,94212,47639,1873,221,456,104,283,0,0,0,0,0,0,0,2020-11-24T13:23:32Z,32.16634,D+32,Biden +32,democrat,-32.16634,132135,-26.7,127910,-27.79,michigan,2020-11-27T00:46:32.907092Z
26067,Ionia,32205,0,31,31,None,100,32201,>98%,>98% reported,edison,6,unknown,,3326,,,10901,20657,490,55,79,23,,0,0,0,0,0,0,,2020-11-24T13:23:32Z,30.29343,R+30,Trump +30,republican,30.29343,27039,30.6,25761,12.8,michigan,2020-11-27T00:46:32.907092Z
26069,Iosco,15387,0,18,18,Merged into voters' home precincts and released with cumulative results,100,15386,>98%,>98% reported,edison,6,all,,2585,,,5373,9759,152,31,33,11,28,0,0,0,0,0,0,0,2020-11-24T13:23:33Z,28.50458,R+29,Trump +29,republican,28.50458,13429,29.8,13344,5,michigan,2020-11-27T00:46:32.907092Z
26071,Iron,6795,0,13,13,Merged into voters' home precincts and released with cumulative results,100,6795,>98%,>98% reported,edison,6,all,,608,,,2493,4216,54,8,14,4,6,0,0,0,0,0,0,0,2020-11-24T13:23:33Z,25.35688,R+25,Trump +25,republican,25.35688,5960,28,5988,8.97,michigan,2020-11-27T00:46:32.907092Z
26073,Isabella,29409,0,30,30,None,100,29409,>98%,>98% reported,edison,6,unknown,,3200,,,14072,14815,365,35,102,20,0,0,0,0,0,0,0,0,2020-11-24T13:23:33Z,2.52644,R+3,Trump +3,republican,2.52644,25540,3.7,24119,-9.28,michigan,2020-11-27T00:46:32.907092Z
26075,Jackson,81014,0,63,63,Merged into voters' home precincts and released with cumulative results,100,81032,>98%,>98% reported,edison,6,some,,11117,,,31995,47372,1113,108,213,44,169,0,0,0,0,0,0,0,2020-11-24T13:23:34Z,18.98067,R+19,Trump +19,republican,18.98067,70125,20,69446,5.76,michigan,2020-11-27T00:46:32.907092Z
26077,Kalamazoo,143376,0,107,108,Merged into voters' home precincts and released with cumulative results,98,146627,98%,98% reported,edison,4,some,,26785,,,83686,56823,2064,219,494,90,,0,0,0,0,0,0,,2020-11-24T13:23:34Z,18.73605,D+19,Biden +19,democrat,-18.73605,126299,-12.8,123178,-13.31,michigan,2020-11-27T00:46:32.907092Z
26079,Kalkaska,10630,0,13,13,Merged into voters' home precincts and released with cumulative results,100,10627,>98%,>98% reported,edison,6,unknown,,1423,,,3002,7436,142,21,24,5,0,0,0,0,0,0,0,0,2020-11-24T13:23:36Z,41.71214,R+42,Trump +42,republican,41.71214,8833,43.4,8299,19.63,michigan,2020-11-27T00:46:32.907092Z
26081,Kent,360839,0,250,252,Merged into voters' home precincts and released with cumulative results,100,357786,>98%,>98% reported,edison,4,some,,68589,,,187915,165741,5495,490,957,241,,0,0,0,0,0,0,,2020-11-24T13:21:44Z,6.14512,D+6,Biden +6,democrat,-6.14512,310894,3.1,292985,7.69,michigan,2020-11-27T00:46:32.907092Z
