fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_venturaj,results_blankenshipd,results_pierceb,results_de_la_fuenter,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_venturaj,results_absentee_blankenshipd,results_absentee_pierceb,results_absentee_de_la_fuenter,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,state,retrieved_time
02901,ED 1,7064,3420,8,9,Released as a separate subtotal as first report of the night,93,7634,93%,93% reported,edison,2,unknown,,4000,,,3387,3363,207,49,32,24,2,1290,2024,59,26,16,5,0,2020-11-11T13:18:16Z,0.33975,R+0.34,Trump +0.34,republican,0.33975,6638,9.1,alaska,2020-11-13T00:38:32.233223Z
02910,ED 10,9911,4778,10,11,Released as a separate subtotal as first report of the night,95,10396,95%,95% reported,edison,2,unknown,,4000,,,7106,2462,252,53,20,15,3,2941,1707,99,17,9,5,0,2020-11-11T03:25:58Z,46.85703,R+47,Trump +47,republican,46.85703,9040,49.2,alaska,2020-11-13T00:38:32.233223Z
02911,ED 11,9740,5425,7,9,Released as a separate subtotal as first report of the night,87,11142,87%,87% reported,edison,2,unknown,,4000,,,6497,2897,232,74,21,14,5,3163,2080,119,42,12,6,3,2020-11-11T13:18:21Z,36.96099,R+37,Trump +37,republican,36.96099,9689,44.4,alaska,2020-11-13T00:38:32.233223Z
02912,ED 12,10131,4899,6,7,Released as a separate subtotal as first report of the night,92,10974,92%,92% reported,edison,2,unknown,,4000,,,7119,2680,246,44,27,12,3,2898,1872,96,15,14,4,0,2020-11-11T03:25:44Z,43.81601,R+44,Trump +44,republican,43.81601,9543,49.3,alaska,2020-11-13T00:38:32.233223Z
02913,ED 13,3712,430,3,6,Released as a separate subtotal as first report of the night,49,7513,49%,49% reported,edison,2,unknown,,4000,,,2598,904,166,19,10,11,4,233,182,13,2,0,0,0,2020-11-12T16:41:29Z,45.63578,R+46,Trump +46,republican,45.63578,6533,35.9,alaska,2020-11-13T00:38:32.233223Z
02914,ED 14,10131,5879,5,7,Released as a separate subtotal as first report of the night,85,11983,85%,85% reported,edison,2,unknown,,4000,,,5931,3826,286,36,38,10,4,2815,2893,127,16,21,5,2,2020-11-12T16:41:28Z,20.77781,R+21,Trump +21,republican,20.77781,10420,28.2,alaska,2020-11-13T00:38:32.233223Z
02915,ED 15,4989,2634,4,5,Released as a separate subtotal as first report of the night,87,5729,87%,87% reported,edison,2,unknown,,4000,,,2426,2335,166,34,8,11,9,1076,1461,74,13,4,2,4,2020-11-12T16:41:27Z,1.82401,R+1.8,Trump +1.8,republican,1.82401,4982,14,alaska,2020-11-13T00:38:32.233223Z
02916,ED 16,7256,4067,6,7,Released as a separate subtotal as first report of the night,85,8551,85%,85% reported,edison,2,unknown,,4000,,,3155,3826,173,57,23,13,9,1284,2659,70,29,13,6,6,2020-11-11T13:18:18Z,9.24752,D+9,Biden +9,democrat,-9.24752,7436,-1.2,alaska,2020-11-13T00:38:32.233223Z
02917,ED 17,3802,1405,3,7,Released as a separate subtotal as first report of the night,49,7806,49%,49% reported,edison,2,unknown,,4000,,,1823,1816,104,38,9,9,3,518,846,30,6,2,1,2,2020-11-11T13:18:17Z,0.18411,R+0.18,Trump +0.18,republican,0.18411,6788,-9.9,alaska,2020-11-13T00:38:32.233223Z
02918,ED 18,3997,1737,4,10,Released as a separate subtotal as first report of the night,47,8512,47%,47% reported,edison,2,unknown,,4000,,,1805,2047,75,43,15,10,2,643,1048,23,15,5,2,1,2020-11-11T13:18:17Z,6.05454,D+6,Biden +6,democrat,-6.05454,7402,-16.5,alaska,2020-11-13T00:38:32.233223Z
