fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_segalj,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_segalj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
24001,Allegany,30095,0,22,26,"As a subtotal in the FIRST cumulative report, along with regular precincts",88,34332,88%,88% reported,edison,2,unknown,,4312,,,8971,20658,307,120,39,0,0,0,0,0,2020-11-12T23:01:45Z,38.83369,R+39,Trump +39,republican,38.83369,30654,43.7,29850,31.57,maryland,2020-11-13T00:39:19.140680Z
24003,Anne Arundel,294678,0,196,202,Released as a precinct as first report of the night,97,302491,97%,97% reported,edison,2,none,,61018,,,164988,123672,4475,1179,364,0,0,0,0,0,2020-11-12T16:37:44Z,14.02073,D+14,Biden +14,democrat,-14.02073,270081,-2.2,260155,0.08,maryland,2020-11-13T00:39:19.140680Z
24005,Baltimore,346035,0,186,236,Released separately AFTER election night,79,437564,79%,79% reported,edison,2,none,,89978,,,210155,130085,3919,1433,443,0,0,0,0,0,2020-11-12T01:33:44Z,23.13928,D+23,Biden +23,democrat,-23.13928,390682,-17.6,384782,-17,maryland,2020-11-13T00:39:19.140680Z
24510,Baltimore City,220296,0,243,296,Other,79,279607,79%,79% reported,edison,2,none,,72816,,,193130,23872,1628,1247,419,0,0,0,0,0,2020-11-11T03:26:25Z,76.83208,D+77,Biden +77,democrat,-76.83208,239402,-74.1,254005,-76.1,maryland,2020-11-13T00:39:19.140680Z
24009,Calvert,48023,0,22,24,"As a precinct in the FIRST cumulative report, along with regular precincts",90,53097,90%,90% reported,edison,2,unknown,,11262,,,22185,24957,719,124,38,0,0,0,0,0,2020-11-11T03:26:25Z,5.77223,R+6,Trump +6,republican,5.77223,47408,16.8,45518,7.52,maryland,2020-11-13T00:39:19.140680Z
24011,Caroline,15393,0,8,8,Released as a precinct as first report of the night,97,15807,97%,97% reported,edison,2,unknown,,3784,,,4900,10150,224,87,32,0,0,0,0,0,2020-11-12T21:54:43Z,34.10641,R+34,Trump +34,republican,34.10641,14113,38,13357,23.42,maryland,2020-11-13T00:39:19.140680Z
24013,Carroll,97419,58185,34,36,Released separately AFTER election night,95,102870,95%,95% reported,edison,4,some,,16653,,,35472,59282,1976,523,166,24488,32426,898,283,90,2020-11-12T18:47:43Z,24.44082,R+24,Trump +24,republican,24.44082,91848,34.5,87536,32.93,maryland,2020-11-13T00:39:19.140680Z
24015,Cecil,47091,0,26,28,Other,93,50701,93%,93% reported,edison,2,none,,9424,,,16678,29392,704,227,90,0,0,0,0,0,2020-11-12T21:22:43Z,26.99879,R+27,Trump +27,republican,26.99879,45269,33.6,42480,19.42,maryland,2020-11-13T00:39:19.140680Z
24017,Charles,81617,0,44,44,Released as a precinct as first report of the night,93,87699,93%,93% reported,edison,2,unknown,,19179,,,56204,24227,681,375,130,0,0,0,0,0,2020-11-11T03:26:26Z,39.17934,D+39,Biden +39,democrat,-39.17934,78303,-30.3,75222,-31.37,maryland,2020-11-13T00:39:19.140680Z
24019,Dorchester,15364,0,35,39,Other,90,17061,90%,90% reported,edison,2,none,,3944,,,6491,8565,170,96,42,0,0,0,0,0,2020-11-12T23:57:49Z,13.49909,R+13,Trump +13,republican,13.49909,15225,14.2,15444,4.66,maryland,2020-11-13T00:39:19.140680Z
24021,Frederick,140410,52530,78,79,Released as a precinct as first report of the night,100,140758,>98%,>98% reported,edison,4,some,,22179,,,75094,62221,2195,660,240,20063,31486,681,208,92,2020-11-12T23:01:45Z,9.16815,D+9,Biden +9,democrat,-9.16815,125677,2.4,117115,3.12,maryland,2020-11-13T00:39:19.140680Z
24023,Garrett,15493,0,19,20,Released separately AFTER election night,99,15692,>98%,>98% reported,edison,2,none,,2480,,,3263,11934,212,64,20,0,0,0,0,0,2020-11-12T17:25:44Z,55.96721,R+56,Trump +56,republican,55.96721,14011,58.6,13157,50.31,maryland,2020-11-13T00:39:19.140680Z
24025,Harford,141143,68976,81,86,Released as a separate subtotal as first report of the night,94,149713,94%,94% reported,edison,4,some,,26224,,,59537,78684,2260,533,129,22216,45623,899,200,38,2020-11-12T19:16:43Z,13.56567,R+14,Trump +14,republican,13.56567,133672,23,125954,18.41,maryland,2020-11-13T00:39:19.140680Z
24027,Howard,179022,60430,117,119,Released separately AFTER election night,99,181656,>98%,>98% reported,edison,2,some,,48738,,,127522,48058,2430,771,241,35872,23430,810,248,70,2020-11-12T23:01:44Z,44.38784,D+44,Biden +44,democrat,-44.38784,162193,-34,153108,-21.97,maryland,2020-11-13T00:39:19.140680Z
24029,Kent,10015,0,10,11,None,89,11224,89%,89% reported,edison,2,none,,3816,,,4914,4900,107,63,31,0,0,0,0,0,2020-11-11T03:26:28Z,0.13979,D+0.14,Biden +0.14,democrat,-0.13979,10021,3,9904,0.28,maryland,2020-11-13T00:39:19.140680Z
24031,Montgomery,418018,0,209,269,Released as a precinct as first report of the night,78,536338,78%,78% reported,edison,2,unknown,,124702,,,328413,83000,3080,2359,1166,0,0,0,0,0,2020-11-12T01:33:44Z,58.70872,D+59,Biden +59,democrat,-58.70872,478873,-55.4,455992,-43.87,maryland,2020-11-13T00:39:19.140680Z
