fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_westk,results_blankenshipd,results_hawkinsh,results_kennedya,results_la_rivag,results_de_la_fuenter,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_westk,results_absentee_blankenshipd,results_absentee_hawkinsh,results_absentee_kennedya,results_absentee_la_rivag,results_absentee_de_la_fuenter,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
47001,Anderson,35527,23838,27,27,Released as a precinct as first report of the night,96,37072,96%,96% reported,edison,4,some,,24252,,,23163,11733,396,69,56,52,33,13,12,,15792,7702,217,35,33,29,17,7,6,,2020-11-11T03:25:17Z,32.17271,R+32,Trump +32,republican,32.17271,29881,34.1,29659,29.83,tennessee,2020-11-13T00:39:23.881716Z
47003,Bedford,19039,0,11,11,Released as a separate subtotal as first report of the night,100,18456,>98%,>98% reported,edison,2,unknown,,10626,,,14317,4443,155,45,32,24,9,6,8,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:25:19Z,51.86197,R+52,Trump +52,republican,51.86197,15355,52.7,14445,40.31,tennessee,2020-11-13T00:39:23.881716Z
47005,Benton,7250,0,6,6,Merged into voters' home precincts and released with cumulative results,99,7340,>98%,>98% reported,edison,2,some,,4922,,,5661,1526,35,8,8,6,3,2,1,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:25:20Z,57.03448,R+57,Trump +57,republican,57.03448,6328,51.2,6226,25.57,tennessee,2020-11-13T00:39:23.881716Z
47007,Bledsoe,5758,0,12,12,None,100,5780,>98%,>98% reported,edison,2,unknown,,1711,,,4725,971,33,7,13,4,2,1,2,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:25:21Z,65.19625,R+65,Trump +65,republican,65.19625,4664,58.4,4359,40.26,tennessee,2020-11-13T00:39:23.881716Z
47009,Blount,66306,50992,31,31,Merged into voters' home precincts and released with cumulative results,100,66306,>98%,>98% reported,edison,6,all,,40960,,,47195,17834,831,130,141,99,27,12,37,,35201,14974,538,70,97,62,18,9,23,,2020-11-11T03:25:23Z,44.28106,R+44,Trump +44,republican,44.28106,52208,48.5,49234,45.71,tennessee,2020-11-13T00:39:23.881716Z
47011,Bradley,45968,35440,17,17,Released as a separate subtotal as first report of the night,100,45968,>98%,>98% reported,edison,6,all,,30918,,,35194,9849,497,102,85,53,15,17,24,132,26988,7911,285,58,49,31,11,11,14,82,2020-11-11T03:25:28Z,55.13618,R+55,Trump +55,republican,55.13618,38666,58.7,35963,53.9,tennessee,2020-11-13T00:39:23.881716Z
47013,Campbell,14929,0,20,20,Released as a separate subtotal as first report of the night,100,14537,>98%,>98% reported,edison,2,unknown,,7473,,,12330,2438,101,18,24,9,5,2,2,,0,0,0,0,0,0,0,0,0,,2020-11-11T03:25:29Z,66.2603,R+66,Trump +66,republican,66.2603,12532,60.8,12101,43.6,tennessee,2020-11-13T00:39:23.881716Z
47015,Cannon,6562,2655,9,9,Released as a precinct as first report of the night,99,6600,>98%,>98% reported,edison,2,some,,2997,,,5190,1261,63,12,12,6,7,2,2,7,2069,517,42,9,6,3,3,0,1,5,2020-11-11T03:25:30Z,59.87504,R+60,Trump +60,republican,59.87504,5314,54.2,4973,35.09,tennessee,2020-11-13T00:39:23.881716Z
47017,Carroll,11893,7905,19,19,Released as a separate subtotal as first report of the night,91,13042,91%,91% reported,edison,2,some,,6252,,,9194,2558,90,9,18,12,7,2,3,,5941,1889,46,3,14,6,3,1,2,,2020-11-11T03:25:34Z,55.79753,R+56,Trump +56,republican,55.79753,10384,52.3,10851,34.56,tennessee,2020-11-13T00:39:23.881716Z
47019,Carter,24868,12644,22,22,Released as a precinct as first report of the night,100,24868,>98%,>98% reported,edison,6,all,,13611,,,19873,4613,249,35,27,39,13,13,6,0,9465,3036,98,10,9,16,5,3,2,0,2020-11-11T03:25:36Z,61.364,R+61,Trump +61,republican,61.364,21084,63.8,20617,51.97,tennessee,2020-11-13T00:39:23.881716Z
