fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
10001,Kent,87025,0,89,89,Released as a separate subtotal as first report of the night,100,87025,>98%,>98% reported,edison,10,unknown,,6274,,,44552,41009,1044,420,0,0,0,0,2020-11-11T03:25:42Z,4.07124,D+4,Biden +4,democrat,-4.07124,74729,4.9,68680,-4.94,delaware,2020-11-13T00:40:32.736482Z
10003,New Castle,287633,0,266,272,Released as a separate subtotal as first report of the night,100,287633,>98%,>98% reported,edison,10,unknown,,16274,,,195034,88364,2953,1282,0,0,0,0,2020-11-11T03:25:44Z,37.08545,D+37,Biden +37,democrat,-37.08545,262979,-29.4,252012,-34.07,delaware,2020-11-13T00:40:32.736482Z
10005,Sussex,129352,0,73,73,Released as a separate subtotal as first report of the night,100,129352,>98%,>98% reported,edison,10,unknown,,11440,,,56682,71230,1003,437,0,0,0,0,2020-11-11T03:25:44Z,11.24683,R+11,Trump +11,republican,11.24683,106106,21.9,93229,13.03,delaware,2020-11-13T00:40:32.736482Z
