fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_sullivand,results_grossa,results_howej,results_absentee_sullivand,results_absentee_grossa,results_absentee_howej,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
02901,ED 1,7191,3593,8,9,Released as a separate subtotal as first report of the night,94,7634,94%,94% reported,edison,2,unknown,,4000,,,3486,3291,414,1422,2008,163,2020-11-19T13:16:43Z,2.71172,R+3,Sullivan +3,republican,alaska,2020-11-20T00:44:48.289114Z
02910,ED 10,11061,5647,11,11,Released as a separate subtotal as first report of the night,100,10396,>98%,>98% reported,edison,2,unknown,,4000,,,7724,2739,598,3550,1868,229,2020-11-19T13:16:49Z,45.06826,R+45,Sullivan +45,republican,alaska,2020-11-20T00:44:48.289114Z
02911,ED 11,10569,5924,8,9,Released as a separate subtotal as first report of the night,95,11142,95%,95% reported,edison,2,unknown,,4000,,,7047,3046,476,3515,2183,226,2020-11-19T13:16:49Z,37.85599,R+38,Sullivan +38,republican,alaska,2020-11-20T00:44:48.289114Z
02912,ED 12,11121,5685,7,7,Released as a separate subtotal as first report of the night,100,10974,>98%,>98% reported,edison,2,unknown,,4000,,,7873,2823,425,3478,2021,186,2020-11-19T13:16:48Z,45.40959,R+45,Sullivan +45,republican,alaska,2020-11-20T00:44:48.289114Z
02913,ED 13,7450,4354,5,6,Released as a separate subtotal as first report of the night,99,7513,>98%,>98% reported,edison,2,unknown,,4000,,,4681,2397,372,2417,1746,191,2020-11-19T13:16:47Z,30.65772,R+31,Sullivan +31,republican,alaska,2020-11-20T00:44:48.289114Z
02914,ED 14,11417,7175,6,7,Released as a separate subtotal as first report of the night,95,11983,95%,95% reported,edison,2,unknown,,4000,,,7110,3892,415,3947,3011,217,2020-11-19T13:16:47Z,28.18604,R+28,Sullivan +28,republican,alaska,2020-11-20T00:44:48.289114Z
02915,ED 15,5348,3124,4,5,Released as a separate subtotal as first report of the night,93,5729,93%,93% reported,edison,2,unknown,,4000,,,2599,2442,307,1356,1613,155,2020-11-19T13:16:46Z,2.93568,R+3,Sullivan +3,republican,alaska,2020-11-20T00:44:48.289114Z
02916,ED 16,8068,4608,6,7,Released as a separate subtotal as first report of the night,94,8551,94%,94% reported,edison,2,unknown,,4000,,,3548,4109,411,1578,2841,189,2020-11-19T13:16:45Z,6.9534,D+7,Gross +7,democrat,alaska,2020-11-20T00:44:48.289114Z
02917,ED 17,7092,4414,6,7,Released as a separate subtotal as first report of the night,91,7806,91%,91% reported,edison,2,unknown,,4000,,,2864,3918,310,1410,2866,138,2020-11-19T13:16:45Z,14.86182,D+15,Gross +15,democrat,alaska,2020-11-20T00:44:48.289114Z
02918,ED 18,7639,5083,8,10,Released as a separate subtotal as first report of the night,90,8512,90%,90% reported,edison,2,unknown,,4000,,,2803,4549,287,1526,3424,133,2020-11-19T13:16:44Z,22.85639,D+23,Gross +23,democrat,alaska,2020-11-20T00:44:48.289114Z
02919,ED 19,5225,2868,5,6,Released as a separate subtotal as first report of the night,95,5511,95%,95% reported,edison,2,unknown,,4000,,,1872,3043,310,769,1982,117,2020-11-19T13:16:43Z,22.41148,D+22,Gross +22,democrat,alaska,2020-11-20T00:44:48.289114Z
02902,ED 2,5642,2630,4,4,Released as a separate subtotal as first report of the night,89,6316,89%,89% reported,edison,2,unknown,,4000,,,3377,1893,372,1315,1190,125,2020-11-19T13:16:42Z,26.30273,R+26,Sullivan +26,republican,alaska,2020-11-20T00:44:48.289114Z
02920,ED 20,7339,5164,8,9,Released as a separate subtotal as first report of the night,89,8211,89%,89% reported,edison,2,unknown,,4000,,,2489,4611,239,1457,3582,125,2020-11-19T13:16:43Z,28.91402,D+29,Gross +29,democrat,alaska,2020-11-20T00:44:48.289114Z
02921,ED 21,9407,5784,7,8,Released as a separate subtotal as first report of the night,95,9944,95%,95% reported,edison,2,unknown,,4000,,,3974,5137,296,1852,3807,125,2020-11-19T13:16:42Z,12.36313,D+12,Gross +12,democrat,alaska,2020-11-20T00:44:48.289114Z
02922,ED 22,9480,5303,6,7,Released as a separate subtotal as first report of the night,98,9628,98%,98% reported,edison,2,unknown,,4000,,,4954,4191,335,2161,2990,152,2020-11-19T13:17:00Z,8.04852,R+8,Sullivan +8,republican,alaska,2020-11-20T00:44:48.289114Z
02923,ED 23,7672,4174,7,8,Released as a separate subtotal as first report of the night,96,7963,96%,96% reported,edison,2,unknown,,4000,,,3713,3626,333,1578,2465,131,2020-11-19T13:16:59Z,1.13399,R+1.1,Sullivan +1.1,republican,alaska,2020-11-20T00:44:48.289114Z
02924,ED 24,10430,6164,6,7,Released as a separate subtotal as first report of the night,98,10684,98%,98% reported,edison,2,unknown,,4000,,,5832,4360,238,2789,3264,111,2020-11-19T13:16:58Z,14.11314,R+14,Sullivan +14,republican,alaska,2020-11-20T00:44:48.289114Z
02925,ED 25,9244,5312,6,7,Released as a separate subtotal as first report of the night,99,9346,>98%,>98% reported,edison,2,unknown,,4000,,,4536,4358,350,1989,3163,160,2020-11-19T13:16:58Z,1.92557,R+1.9,Sullivan +1.9,republican,alaska,2020-11-20T00:44:48.289114Z
02926,ED 26,10087,6007,7,8,Released as a separate subtotal as first report of the night,98,10241,98%,98% reported,edison,2,unknown,,4000,,,5649,4171,267,2787,3073,147,2020-11-19T13:16:57Z,14.65252,R+15,Sullivan +15,republican,alaska,2020-11-20T00:44:48.289114Z
02927,ED 27,9477,5570,7,8,Released as a separate subtotal as first report of the night,94,10100,94%,94% reported,edison,2,unknown,,4000,,,4529,4607,341,2088,3349,133,2020-11-19T13:16:56Z,0.82305,D+0.82,Gross +0.82,democrat,alaska,2020-11-20T00:44:48.289114Z
02928,ED 28,12760,7754,8,9,Released as a separate subtotal as first report of the night,97,13141,97%,97% reported,edison,2,unknown,,4000,,,6745,5771,244,3367,4279,108,2020-11-19T13:16:55Z,7.63323,R+8,Sullivan +8,republican,alaska,2020-11-20T00:44:48.289114Z
