fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_hickenlooperj,results_gardnerc,results_doaner,results_doyled,results_evanss,results_write_ins,results_absentee_hickenlooperj,results_absentee_gardnerc,results_absentee_doaner,results_absentee_doyled,results_absentee_evanss,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
08001,Adams,235700,0,260,260,Other,100,236735,>98%,>98% reported,edison,8,all,,,,,130409,98341,4916,1071,963,,0,0,0,0,0,,2020-11-16T15:48:01Z,13.60543,D+14,Hickenlooper +14,democrat,colorado,2020-11-20T00:44:53.180124Z
08003,Alamosa,7707,0,8,8,Other,99,7808,>98%,>98% reported,edison,8,all,,,,,3734,3800,104,40,29,,0,0,0,0,0,,2020-11-16T15:48:01Z,0.85636,R+0.86,Gardner +0.86,republican,colorado,2020-11-20T00:44:53.180124Z
08005,Arapahoe,348741,0,380,390,Other,100,350283,>98%,>98% reported,edison,8,some,,,,,204112,136749,5695,1074,1111,,0,0,0,0,0,,2020-11-16T15:48:02Z,19.31605,D+19,Hickenlooper +19,democrat,colorado,2020-11-20T00:44:53.180124Z
08007,Archuleta,9019,0,8,8,Other,99,9144,>98%,>98% reported,edison,8,all,,,,,3591,5225,163,26,14,,0,0,0,0,0,,2020-11-16T15:48:03Z,18.11731,R+18,Gardner +18,republican,colorado,2020-11-20T00:44:53.180124Z
08009,Baca,2195,0,8,9,Other,99,2224,>98%,>98% reported,edison,8,all,,,,,329,1815,32,12,7,,0,0,0,0,0,,2020-11-16T15:48:03Z,67.69932,R+68,Gardner +68,republican,colorado,2020-11-20T00:44:53.180124Z
08011,Bent,2256,0,5,5,Other,99,2274,>98%,>98% reported,edison,8,unknown,,,,,702,1488,33,26,7,,0,0,0,0,0,,2020-11-16T15:48:03Z,34.84043,R+35,Gardner +35,republican,colorado,2020-11-20T00:44:53.180124Z
08013,Boulder,205516,0,222,240,Other,100,206111,>98%,>98% reported,edison,8,some,,,,,154552,47321,2869,317,457,,0,0,0,0,0,,2020-11-16T15:48:04Z,52.17647,D+52,Hickenlooper +52,democrat,colorado,2020-11-20T00:44:53.180124Z
08014,Broomfield,46196,0,37,37,Other,99,46632,>98%,>98% reported,edison,8,all,,,,,27447,17855,712,82,100,,0,0,0,0,0,,2020-11-16T15:47:51Z,20.7637,D+21,Hickenlooper +21,democrat,colorado,2020-11-20T00:44:53.180124Z
08015,Chaffee,13578,0,9,9,Other,99,13717,>98%,>98% reported,edison,8,unknown,,,,,6948,6344,232,32,22,,0,0,0,0,0,,2020-11-16T15:48:04Z,4.44837,D+4,Hickenlooper +4,democrat,colorado,2020-11-20T00:44:53.180124Z
08017,Cheyenne,1125,0,4,5,Other,99,1136,>98%,>98% reported,edison,8,some,,,,,119,995,7,2,2,,0,0,0,0,0,,2020-11-16T15:48:05Z,77.86667,R+78,Gardner +78,republican,colorado,2020-11-20T00:44:53.180124Z
08019,Clear Creek,6474,0,8,9,Other,99,6545,>98%,>98% reported,edison,8,some,,,,,3494,2833,120,15,12,,0,0,0,0,0,,2020-11-16T15:48:06Z,10.21007,D+10,Hickenlooper +10,democrat,colorado,2020-11-20T00:44:53.180124Z
08021,Conejos,4269,0,9,10,Other,99,4333,>98%,>98% reported,edison,8,all,,,,,1975,2243,24,18,9,,0,0,0,0,0,,2020-11-16T15:48:07Z,6.27782,R+6,Gardner +6,republican,colorado,2020-11-20T00:44:53.180124Z
08023,Costilla,2087,0,8,8,Other,100,2094,>98%,>98% reported,edison,8,all,,,,,1313,713,40,12,9,,0,0,0,0,0,,2020-11-16T15:48:07Z,28.7494,D+29,Hickenlooper +29,democrat,colorado,2020-11-20T00:44:53.180124Z
08025,Crowley,1741,0,6,6,Other,99,1750,>98%,>98% reported,edison,8,all,,,,,456,1230,36,12,7,,0,0,0,0,0,,2020-11-16T15:48:08Z,44.45721,R+44,Gardner +44,republican,colorado,2020-11-20T00:44:53.180124Z
08027,Custer,3590,0,3,3,Other,99,3630,>98%,>98% reported,edison,8,all,,,,,1058,2453,62,10,7,,0,0,0,0,0,,2020-11-16T15:48:09Z,38.85794,R+39,Gardner +39,republican,colorado,2020-11-20T00:44:53.180124Z
08029,Delta,19303,0,19,20,Other,100,19370,>98%,>98% reported,edison,8,all,,,,,5764,13118,308,79,34,,0,0,0,0,0,,2020-11-16T15:48:10Z,38.09771,R+38,Gardner +38,republican,colorado,2020-11-20T00:44:53.180124Z
08031,Denver,393086,0,356,356,Other,100,393824,>98%,>98% reported,edison,8,some,,,,,305601,80162,4984,963,1376,,0,0,0,0,0,,2020-11-16T15:48:10Z,57.35106,D+57,Hickenlooper +57,democrat,colorado,2020-11-20T00:44:53.180124Z
08033,Dolores,1427,0,4,4,Other,98,1449,98%,98% reported,edison,8,all,,,,,338,1064,17,4,4,,0,0,0,0,0,,2020-11-16T15:48:11Z,50.87596,R+51,Gardner +51,republican,colorado,2020-11-20T00:44:53.180124Z
08035,Douglas,231559,0,169,169,Other,100,231599,>98%,>98% reported,edison,8,all,,,,,97553,130045,3279,332,350,,0,0,0,0,0,,2020-11-16T15:48:11Z,14.03185,R+14,Gardner +14,republican,colorado,2020-11-20T00:44:53.180124Z
08037,Eagle,28747,0,29,30,Other,99,29139,>98%,>98% reported,edison,8,all,,,,,17902,10349,384,53,59,,0,0,0,0,0,,2020-11-16T15:48:12Z,26.27405,D+26,Hickenlooper +26,democrat,colorado,2020-11-20T00:44:53.180124Z
08041,El Paso,376303,0,291,291,Other,99,378234,>98%,>98% reported,edison,8,some,,,,,151859,211785,9896,1450,1313,,0,0,0,0,0,,2020-11-16T15:48:13Z,15.92493,R+16,Gardner +16,republican,colorado,2020-11-20T00:44:53.180124Z
08039,Elbert,18957,0,15,15,Other,100,18983,>98%,>98% reported,edison,8,unknown,,,,,4257,14340,299,35,26,,0,0,0,0,0,,2020-11-16T15:48:12Z,53.1888,R+53,Gardner +53,republican,colorado,2020-11-20T00:44:53.180124Z
08043,Fremont,25359,0,29,30,Other,99,25557,>98%,>98% reported,edison,8,unknown,,,,,7201,17450,508,129,71,,0,0,0,0,0,,2020-11-16T15:48:13Z,40.41563,R+40,Gardner +40,republican,colorado,2020-11-20T00:44:53.180124Z
08045,Garfield,30787,0,27,27,Other,100,30904,>98%,>98% reported,edison,8,all,,,,,14999,15027,598,92,71,,0,0,0,0,0,,2020-11-16T15:48:13Z,0.09095,R+0.09,Gardner +0.09,republican,colorado,2020-11-20T00:44:53.180124Z
08047,Gilpin,4174,0,6,6,Other,100,4185,>98%,>98% reported,edison,8,unknown,,,,,2182,1867,99,15,11,,0,0,0,0,0,,2020-11-16T15:48:14Z,7.54672,D+8,Hickenlooper +8,democrat,colorado,2020-11-20T00:44:53.180124Z
08049,Grand,9877,0,12,12,Other,100,9877,>98%,>98% reported,edison,8,unknown,,,,,4578,5075,181,28,15,,0,0,0,0,0,,2020-11-16T15:48:14Z,5.03189,R+5,Gardner +5,republican,colorado,2020-11-20T00:44:53.180124Z
08051,Gunnison,10842,0,15,15,Other,100,10887,>98%,>98% reported,edison,8,all,,,,,6772,3842,186,28,14,0,0,0,0,0,0,0,2020-11-16T15:48:15Z,27.02453,D+27,Hickenlooper +27,democrat,colorado,2020-11-20T00:44:53.180124Z
08053,Hinsdale,620,0,1,1,Other,98,632,98%,98% reported,edison,8,all,,,,,244,365,9,0,2,,0,0,0,0,0,,2020-11-16T15:48:15Z,19.51613,R+20,Gardner +20,republican,colorado,2020-11-20T00:44:53.180124Z
08055,Huerfano,4371,0,11,11,Other,99,4406,>98%,>98% reported,edison,8,all,,,,,2077,2160,97,25,12,,0,0,0,0,0,,2020-11-16T15:48:16Z,1.89888,R+1.9,Gardner +1.9,republican,colorado,2020-11-20T00:44:53.180124Z
08057,Jackson,867,0,4,5,Other,99,876,>98%,>98% reported,edison,8,all,,,,,164,684,12,5,2,,0,0,0,0,0,,2020-11-16T15:48:16Z,59.97693,R+60,Gardner +60,republican,colorado,2020-11-20T00:44:53.180124Z
08059,Jefferson,376955,0,300,309,Other,100,377351,>98%,>98% reported,edison,8,all,,,,,210615,158274,6191,1026,849,,0,0,0,0,0,,2020-11-16T15:48:16Z,13.88521,D+14,Hickenlooper +14,democrat,colorado,2020-11-20T00:44:53.180124Z
08061,Kiowa,890,0,4,4,Other,99,903,>98%,>98% reported,edison,8,unknown,,,,,93,783,10,3,1,,0,0,0,0,0,,2020-11-16T15:48:17Z,77.52809,R+78,Gardner +78,republican,colorado,2020-11-20T00:44:53.180124Z
08063,Kit Carson,3814,0,11,13,Other,99,3870,>98%,>98% reported,edison,8,unknown,,,,,628,3137,36,8,5,,0,0,0,0,0,,2020-11-16T15:48:17Z,65.78395,R+66,Gardner +66,republican,colorado,2020-11-20T00:44:53.180124Z
08067,La Plata,35453,0,31,32,Other,99,35667,>98%,>98% reported,edison,8,all,,,,,19873,14776,632,71,101,,0,0,0,0,0,,2020-11-16T15:48:18Z,14.37678,D+14,Hickenlooper +14,democrat,colorado,2020-11-20T00:44:53.180124Z
08065,Lake,3953,0,6,6,Other,100,3961,>98%,>98% reported,edison,8,unknown,,,,,2297,1511,109,15,21,,0,0,0,0,0,,2020-11-16T15:48:18Z,19.88363,D+20,Hickenlooper +20,democrat,colorado,2020-11-20T00:44:53.180124Z
08069,Larimer,215929,0,261,280,Other,96,224333,96%,96% reported,edison,8,some,,,,,116417,94583,3914,544,471,,0,0,0,0,0,,2020-11-16T15:48:19Z,10.11166,D+10,Hickenlooper +10,democrat,colorado,2020-11-20T00:44:53.180124Z
08071,Las Animas,7925,0,16,16,Other,100,7961,>98%,>98% reported,edison,8,unknown,,,,,3509,4217,130,45,24,,0,0,0,0,0,,2020-11-16T15:48:19Z,8.93375,R+9,Gardner +9,republican,colorado,2020-11-20T00:44:53.180124Z
08073,Lincoln,2636,0,12,13,Other,99,2651,>98%,>98% reported,edison,8,unknown,,,,,434,2141,39,17,5,,0,0,0,0,0,,2020-11-16T15:48:20Z,64.75721,R+65,Gardner +65,republican,colorado,2020-11-20T00:44:53.180124Z
