fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_tillist,results_cunninghamc,results_brays,results_hayesk,results_absentee_tillist,results_absentee_cunninghamc,results_absentee_brays,results_absentee_hayesk,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
37041,Chowan,7689,6562,6,6,Released as a precinct as first report of the night,99,7784,>98%,>98% reported,edison,10,unknown,,8195,,,4353,3124,139,73,3636,2768,98,60,2020-11-18T03:29:01Z,15.98387,R+16,Tillis +16,republican,north-carolina,2020-11-20T00:45:40.149237Z
37043,Clay,6811,5170,9,9,Released as a precinct as first report of the night,99,6893,>98%,>98% reported,edison,10,all,,5792,,,4897,1676,140,98,3591,1426,90,63,2020-11-18T03:29:24Z,47.29115,R+47,Tillis +47,republican,north-carolina,2020-11-20T00:45:40.149237Z
37045,Cleveland,50777,41162,21,21,Released as a precinct as first report of the night,99,51308,>98%,>98% reported,edison,10,all,,35936,,,32022,16752,1235,768,25347,14311,924,580,2020-11-18T03:29:50Z,30.07267,R+30,Tillis +30,republican,north-carolina,2020-11-20T00:45:40.149237Z
37047,Columbus,26102,18863,26,26,Released as a precinct as first report of the night,99,26446,>98%,>98% reported,edison,10,unknown,,20755,,,15563,9599,516,424,10542,7683,351,287,2020-11-18T03:30:17Z,22.84882,R+23,Tillis +23,republican,north-carolina,2020-11-20T00:45:40.149237Z
37049,Craven,52521,44404,21,21,Released as a precinct as first report of the night,99,53065,>98%,>98% reported,edison,10,unknown,,49498,,,29542,20416,1772,791,24405,18041,1353,605,2020-11-18T03:30:39Z,17.37591,R+17,Tillis +17,republican,north-carolina,2020-11-20T00:45:40.149237Z
37051,Cumberland,145719,121466,75,75,Released as a separate subtotal as first report of the night,99,147150,>98%,>98% reported,edison,10,unknown,,132574,,,57121,81001,5379,2218,44986,70715,4073,1692,2020-11-18T03:31:02Z,16.38771,D+16,Cunningham +16,democrat,north-carolina,2020-11-20T00:45:40.149237Z
37053,Currituck,15946,10079,11,11,Released as a precinct as first report of the night,99,16147,>98%,>98% reported,edison,10,some,,6061,,,11368,3849,554,175,6788,2909,295,87,2020-11-18T03:31:24Z,47.15289,R+47,Tillis +47,republican,north-carolina,2020-11-20T00:45:40.149237Z
37055,Dare,23835,18762,16,16,Released as a separate subtotal as first report of the night,98,24232,98%,98% reported,edison,10,unknown,,12962,,,13581,9284,766,204,10013,8102,517,130,2020-11-18T03:31:46Z,18.02811,R+18,Tillis +18,republican,north-carolina,2020-11-20T00:45:40.149237Z
37057,Davidson,88188,66468,43,43,Released as a precinct as first report of the night,100,88514,>98%,>98% reported,edison,10,unknown,,62552,,,60686,23660,2496,1346,45679,18195,1671,923,2020-11-18T03:32:15Z,41.9853,R+42,Tillis +42,republican,north-carolina,2020-11-20T00:45:40.149237Z
37059,Davie,25162,20100,14,14,Released as a precinct as first report of the night,99,25311,>98%,>98% reported,edison,10,some,,19566,,,17415,6570,781,396,13583,5645,589,283,2020-11-18T03:32:37Z,43.10071,R+43,Tillis +43,republican,north-carolina,2020-11-20T00:45:40.149237Z
