fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bookerc,results_mehtar,results_fernandezv,results_hoffmanm,results_burked,results_write_ins,results_absentee_bookerc,results_absentee_mehtar,results_absentee_fernandezv,results_absentee_hoffmanm,results_absentee_burked,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
34001,Atlantic,135503,111152,151,151,Released separately AFTER election night,100,134885,>98%,>98% reported,edison,2,some,,14118,,,71245,61483,1713,531,435,96,59095,50082,1167,404,332,72,2020-11-19T14:40:39Z,7.20427,D+7,Booker +7,democrat,new-jersey,2020-11-20T00:45:34.997476Z
34003,Bergen,483340,417177,509,561,Merged into voters' home precincts AFTER election night,100,482190,>98%,>98% reported,edison,2,some,,45653,,,279907,195059,3583,2816,1702,273,244619,165903,2675,2358,1349,273,2020-11-17T19:35:51Z,17.55452,D+18,Booker +18,democrat,new-jersey,2020-11-20T00:45:34.997476Z
34005,Burlington,240495,198907,343,365,Merged into voters' home precincts and released with cumulative results,96,251784,96%,96% reported,edison,2,some,,31397,,,141654,95786,914,1618,436,87,122088,74541,666,1220,305,87,2020-11-16T15:48:27Z,19.07233,D+19,Booker +19,democrat,new-jersey,2020-11-20T00:45:34.997476Z
34007,Camden,260915,0,345,345,Released separately AFTER election night,100,260581,>98%,>98% reported,edison,2,unknown,,59568,,,172802,85219,726,1673,295,200,0,0,0,0,0,0,2020-11-17T01:39:48Z,33.56764,D+34,Booker +34,democrat,new-jersey,2020-11-20T00:45:34.997476Z
34009,Cape May,55262,47415,125,127,Merged into voters' home precincts and released with cumulative results,99,56030,>98%,>98% reported,edison,4,some,,9231,,,22952,31317,399,413,133,48,20209,26468,288,323,88,39,2020-11-19T14:21:09Z,15.13698,R+15,Mehta +15,republican,new-jersey,2020-11-20T00:45:34.997476Z
34011,Cumberland,60779,17100,90,92,Released separately AFTER election night,96,63586,96%,96% reported,edison,4,some,,5984,,,31992,26626,1407,398,297,59,10821,5797,279,97,94,12,2020-11-19T02:40:47Z,8.82871,D+9,Booker +9,democrat,new-jersey,2020-11-20T00:45:34.997476Z
34013,Essex,335069,0,515,550,Released as a separate subtotal as first report of the night,94,357574,94%,94% reported,edison,2,unknown,,24131,,,260604,69750,1842,2417,456,,0,0,0,0,0,,2020-11-19T21:40:40Z,56.95961,D+57,Booker +57,democrat,new-jersey,2020-11-20T00:45:34.997476Z
34015,Gloucester,170114,146750,229,229,Merged into voters' home precincts and released with cumulative results,100,160473,>98%,>98% reported,edison,4,some,,25391,,,85489,80943,952,2249,286,195,75604,68245,715,1809,226,151,2020-11-18T15:20:45Z,2.67233,D+3,Booker +3,democrat,new-jersey,2020-11-20T00:45:34.997476Z
34017,Hudson,240223,0,432,454,Released as a separate subtotal as first report of the night,95,252281,95%,95% reported,edison,2,some,,14745,,,176658,56917,3848,1879,811,110,0,0,0,0,0,0,2020-11-18T21:10:35Z,49.84577,D+50,Booker +50,democrat,new-jersey,2020-11-20T00:45:34.997476Z
34019,Hunterdon,82867,71243,116,116,Released as a separate subtotal as first report of the night,100,81461,>98%,>98% reported,edison,4,some,,13401,,,36728,43951,391,1470,180,147,32877,36658,296,1151,138,123,2020-11-19T21:20:18Z,8.71638,R+9,Mehta +9,republican,new-jersey,2020-11-20T00:45:34.997476Z
34021,Mercer,159428,0,215,243,None,89,180008,89%,89% reported,edison,4,unknown,,21542,,,108436,48643,939,1100,227,83,0,0,0,0,0,0,2020-11-16T15:48:30Z,37.5047,D+38,Booker +38,democrat,new-jersey,2020-11-20T00:45:34.997476Z
34023,Middlesex,347046,0,615,615,Other,93,375017,93%,93% reported,edison,4,some,,56703,,,210614,128007,2822,3366,1878,359,0,0,0,0,0,0,2020-11-19T18:23:43Z,23.8029,D+24,Booker +24,democrat,new-jersey,2020-11-20T00:45:34.997476Z
34025,Monmouth,371835,0,511,511,Merged into voters' home precincts and released with cumulative results,100,361534,>98%,>98% reported,edison,2,some,,47571,,,173367,191396,1686,4459,883,44,0,0,0,0,0,0,2020-11-19T14:26:53Z,4.84866,R+5,Mehta +5,republican,new-jersey,2020-11-20T00:45:34.997476Z
34027,Morris,287330,0,395,396,Merged into voters' home precincts and released with cumulative results,100,287978,>98%,>98% reported,edison,2,unknown,,33525,,,144234,139480,1117,1704,543,252,0,0,0,0,0,0,2020-11-18T21:10:34Z,1.65454,D+1.7,Booker +1.7,democrat,new-jersey,2020-11-20T00:45:34.997476Z
34029,Ocean,318120,260531,413,413,Released as a separate subtotal as first report of the night,100,315516,>98%,>98% reported,edison,4,some,,43803,,,112736,199755,2093,2671,499,366,96301,160141,1508,1938,376,267,2020-11-19T21:24:04Z,27.35414,R+27,Mehta +27,republican,new-jersey,2020-11-20T00:45:34.997476Z
34031,Passaic,205974,109504,261,284,None,92,224022,92%,92% reported,edison,2,some,,17333,,,123082,76893,2651,2347,856,145,67838,39132,1037,1062,371,64,2020-11-19T21:33:41Z,22.42467,D+22,Booker +22,democrat,new-jersey,2020-11-20T00:45:34.997476Z
34033,Salem,33510,0,45,45,None,99,33926,>98%,>98% reported,edison,4,some,,3501,,,14480,17873,408,522,176,51,0,0,0,0,0,0,2020-11-19T14:16:51Z,10.12534,R+10,Mehta +10,republican,new-jersey,2020-11-20T00:45:34.997476Z
34035,Somerset,179306,0,265,265,Released as a separate subtotal as first report of the night,99,180656,>98%,>98% reported,edison,2,some,,24227,,,102897,73861,630,1542,246,130,0,0,0,0,0,0,2020-11-19T12:47:26Z,16.19355,D+16,Booker +16,democrat,new-jersey,2020-11-20T00:45:34.997476Z
