fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_rogersm,results_winfreya,results_absentee_rogersm,results_absentee_winfreya,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
01015,Calhoun,50526,0,45,45,Released with cumulative results periodically election night,100,50526,>98%,>98% reported,edison,10,all,1917,36137,14389,0,0,2020-11-24T13:22:34Z,43.04319,R+43,Rogers +43,republican,AL-G-H-3-2020-11-03,al-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",321979,12565,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,299,299,100% reporting,100%,100,321979,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:45Z,TRUE,35.02992,112789,R+35,Rogers +35,republican,TRUE,"","",0,-1,1604459097117
01017,Chambers,15080,0,21,21,Released as a precinct as first report of the night,100,15080,>98%,>98% reported,edison,10,all,883,8989,6091,0,0,2020-11-24T13:22:36Z,19.21751,R+19,Rogers +19,republican,AL-G-H-3-2020-11-03,al-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",321979,12565,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,299,299,100% reporting,100%,100,321979,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:45Z,TRUE,35.02992,112789,R+35,Rogers +35,republican,TRUE,"","",0,-1,1604459097117
01019,Cherokee,11363,0,22,22,"As a precinct in the FIRST cumulative report, along with regular precincts",100,11363,>98%,>98% reported,edison,10,all,800,9964,1399,0,0,2020-11-24T13:22:37Z,75.37622,R+75,Rogers +75,republican,AL-G-H-3-2020-11-03,al-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",321979,12565,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,299,299,100% reporting,100%,100,321979,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:45Z,TRUE,35.02992,112789,R+35,Rogers +35,republican,TRUE,"","",0,-1,1604459097117
01027,Clay,6858,543,16,16,Released as a separate subtotal as first report of the night,100,6858,>98%,>98% reported,edison,10,all,950,5710,1148,393,150,2020-11-24T13:22:39Z,66.52085,R+67,Rogers +67,republican,AL-G-H-3-2020-11-03,al-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",321979,12565,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,299,299,100% reporting,100%,100,321979,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:45Z,TRUE,35.02992,112789,R+35,Rogers +35,republican,TRUE,"","",0,-1,1604459097117
01029,Cleburne,7136,0,16,16,Released as a precinct as first report of the night,100,7136,>98%,>98% reported,edison,10,all,483,6491,645,0,0,2020-11-24T13:22:42Z,81.92265,R+82,Rogers +82,republican,AL-G-H-3-2020-11-03,al-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",321979,12565,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,299,299,100% reporting,100%,100,321979,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:45Z,TRUE,35.02992,112789,R+35,Rogers +35,republican,TRUE,"","",0,-1,1604459097117
01081,Lee,70555,0,24,24,"As a precinct in the FIRST cumulative report, along with regular precincts",100,70555,>98%,>98% reported,edison,10,all,4032,44235,26320,0,0,2020-11-24T13:22:43Z,25.39154,R+25,Rogers +25,republican,AL-G-H-3-2020-11-03,al-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",321979,12565,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,299,299,100% reporting,100%,100,321979,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:45Z,TRUE,35.02992,112789,R+35,Rogers +35,republican,TRUE,"","",0,-1,1604459097117
01087,Macon,8608,0,14,14,Released as a precinct as first report of the night,100,8608,>98%,>98% reported,edison,10,all,715,1798,6810,0,0,2020-11-24T13:22:44Z,58.22491,D+58,Winfrey +58,democrat,AL-G-H-3-2020-11-03,al-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",321979,12565,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,299,299,100% reporting,100%,100,321979,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:45Z,TRUE,35.02992,112789,R+35,Rogers +35,republican,TRUE,"","",0,-1,1604459097117
01101,Montgomery,19986,0,9,9,Released as a separate subtotal as first report of the night,100,19986,>98%,>98% reported,edison,10,all,7544,10955,9031,0,0,2020-11-24T13:22:44Z,9.62674,R+10,Rogers +10,republican,AL-G-H-3-2020-11-03,al-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",321979,12565,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,299,299,100% reporting,100%,100,321979,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:45Z,TRUE,35.02992,112789,R+35,Rogers +35,republican,TRUE,"","",0,-1,1604459097117
01111,Randolph,10650,0,27,27,None,100,10650,>98%,>98% reported,edison,10,all,1038,8516,2134,0,0,2020-11-24T13:22:45Z,59.92488,R+60,Rogers +60,republican,AL-G-H-3-2020-11-03,al-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",321979,12565,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,299,299,100% reporting,100%,100,321979,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:45Z,TRUE,35.02992,112789,R+35,Rogers +35,republican,TRUE,"","",0,-1,1604459097117
01113,Russell,21087,0,19,19,Released as a precinct as first report of the night,100,21087,>98%,>98% reported,edison,10,all,1262,10171,10916,0,0,2020-11-24T13:22:46Z,3.53298,D+4,Winfrey +4,democrat,AL-G-H-3-2020-11-03,al-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",321979,12565,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,299,299,100% reporting,100%,100,321979,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:45Z,TRUE,35.02992,112789,R+35,Rogers +35,republican,TRUE,"","",0,-1,1604459097117
