fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_donaldsb,results_banyaic,results_write_ins,results_absentee_donaldsb,results_absentee_banyaic,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
12021,Collier,105840,92651,36,36,Released as a separate subtotal as first report of the night,100,105840,>98%,>98% reported,edison,10,unknown,162717,69227,36612,1,59120,33531,0,2020-11-24T13:24:33Z,30.81538,R+31,Donalds +31,republican,FL-G-H-19-2020-11-03,fl-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",444589,381005,2,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,159,159,100% reporting,100%,100,444589,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:24:21Z,FALSE,22.55881,100294,R+23,Donalds +23,republican,TRUE,"","",0,0,1604449151658
12071,Lee,338749,288354,123,123,Released as a separate subtotal as first report of the night,100,338749,>98%,>98% reported,edison,10,unknown,227958,203213,135534,2,166567,121787,0,2020-11-24T13:24:33Z,19.9791,R+20,Donalds +20,republican,FL-G-H-19-2020-11-03,fl-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",444589,381005,2,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,159,159,100% reporting,100%,100,444589,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:24:21Z,FALSE,22.55881,100294,R+23,Donalds +23,republican,TRUE,"","",0,0,1604449151658
