fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_sotod,results_olsonb,results_write_ins,results_absentee_sotod,results_absentee_olsonb,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
12095,Orange,100403,82235,37,39,Released as a separate subtotal as first report of the night,100,100403,>98%,>98% reported,edison,10,unknown,424003,62032,38365,6,52989,29246,0,2020-11-24T13:24:38Z,23.572,D+24,Soto +24,democrat,FL-G-H-9-2020-11-03,fl-house-general-district-009-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida-house-district-9.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 9,U.S. House,H,solid-dem,9,District 9,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",429638,203495,2,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,214,216,99% reporting,99%,100,429638,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-24T13:24:23Z,TRUE,12.06481,51835,D+12,Soto +12,democrat,TRUE,"","",0,0,1604450851155
12097,Osceola,168918,0,100,100,Released as a separate subtotal as first report of the night,100,168918,>98%,>98% reported,edison,10,unknown,109152,103147,65756,15,0,0,0,2020-11-24T13:24:38Z,22.13559,D+22,Soto +22,democrat,FL-G-H-9-2020-11-03,fl-house-general-district-009-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida-house-district-9.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 9,U.S. House,H,solid-dem,9,District 9,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",429638,203495,2,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,214,216,99% reporting,99%,100,429638,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-24T13:24:23Z,TRUE,12.06481,51835,D+12,Soto +12,democrat,TRUE,"","",0,0,1604450851155
12105,Polk,160317,121260,77,77,Released as a separate subtotal as first report of the night,100,160317,>98%,>98% reported,edison,10,some,195002,75545,84768,4,62190,59070,0,2020-11-24T13:24:38Z,5.75298,R+6,Olson +6,republican,FL-G-H-9-2020-11-03,fl-house-general-district-009-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida-house-district-9.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 9,U.S. House,H,solid-dem,9,District 9,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",429638,203495,2,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,214,216,99% reporting,99%,100,429638,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-24T13:24:23Z,TRUE,12.06481,51835,D+12,Soto +12,democrat,TRUE,"","",0,0,1604450851155
