fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_thompsonb,results_flowersb,results_write_ins,results_absentee_thompsonb,results_absentee_flowersb,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
28055,Issaquena,663,0,5,5,None,100,663,>98%,>98% reported,edison,10,all,64,368,295,0,0,0,0,2020-11-24T13:24:00Z,11.01056,D+11,Thompson +11,democrat,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",297571,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,491,491,100% reporting,100%,93,321000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-24T13:23:55Z,TRUE,32.02395,95294,D+32,Thompson +32,democrat,FALSE,"","",7,0,1604459127305
28063,Jefferson,3863,0,12,12,None,100,3863,>98%,>98% reported,edison,10,unknown,600,3368,494,1,0,0,0,2020-11-24T13:24:00Z,74.39814,D+74,Thompson +74,democrat,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",297571,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,491,491,100% reporting,100%,93,321000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-24T13:23:55Z,TRUE,32.02395,95294,D+32,Thompson +32,democrat,FALSE,"","",7,0,1604459127305
28079,Leake,9008,0,19,19,None,100,9008,>98%,>98% reported,edison,10,unknown,646,4031,4973,4,0,0,0,2020-11-24T13:24:00Z,10.45737,R+10,Flowers +10,republican,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",297571,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,491,491,100% reporting,100%,93,321000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-24T13:23:55Z,TRUE,32.02395,95294,D+32,Thompson +32,democrat,FALSE,"","",7,0,1604459127305
28083,Leflore,10710,0,18,18,None,100,7961,>98%,>98% reported,edison,6,unknown,646,7749,2961,0,0,0,0,2020-11-24T13:24:01Z,44.70588,D+45,Thompson +45,democrat,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",297571,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,491,491,100% reporting,100%,93,321000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-24T13:23:55Z,TRUE,32.02395,95294,D+32,Thompson +32,democrat,FALSE,"","",7,0,1604459127305
28089,Madison,12070,0,10,10,None,100,12070,>98%,>98% reported,edison,10,unknown,2144,9477,2583,10,0,0,0,2020-11-24T13:24:01Z,57.11682,D+57,Thompson +57,democrat,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",297571,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,491,491,100% reporting,100%,93,321000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-24T13:23:55Z,TRUE,32.02395,95294,D+32,Thompson +32,democrat,FALSE,"","",7,0,1604459127305
28097,Montgomery,5008,0,15,15,None,100,5008,>98%,>98% reported,edison,10,unknown,726,2283,2724,1,0,0,0,2020-11-24T13:24:01Z,8.80591,R+9,Flowers +9,republican,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",297571,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,491,491,100% reporting,100%,93,321000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-24T13:23:55Z,TRUE,32.02395,95294,D+32,Thompson +32,democrat,FALSE,"","",7,0,1604459127305
28107,Panola,15543,0,21,21,Merged into voters' home precincts AFTER election night,100,15543,>98%,>98% reported,edison,10,unknown,1296,7800,7727,16,0,0,0,2020-11-24T13:24:03Z,0.46966,D+0.47,Thompson +0.47,democrat,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",297571,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,491,491,100% reporting,100%,93,321000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-24T13:23:55Z,TRUE,32.02395,95294,D+32,Thompson +32,democrat,FALSE,"","",7,0,1604459127305
28119,Quitman,3139,0,10,10,Merged into voters' home precincts and released with cumulative results,100,3139,>98%,>98% reported,edison,10,unknown,1586,2215,921,3,0,0,0,2020-11-24T13:24:01Z,41.22332,D+41,Thompson +41,democrat,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",297571,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,491,491,100% reporting,100%,93,321000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-24T13:23:55Z,TRUE,32.02395,95294,D+32,Thompson +32,democrat,FALSE,"","",7,0,1604459127305
28125,Sharkey,2119,0,10,10,Released with cumulative results periodically election night,100,2119,>98%,>98% reported,edison,10,unknown,144,1513,606,0,0,0,0,2020-11-24T13:24:02Z,42.80321,D+43,Thompson +43,democrat,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",297571,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,491,491,100% reporting,100%,93,321000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-24T13:23:55Z,TRUE,32.02395,95294,D+32,Thompson +32,democrat,FALSE,"","",7,0,1604459127305
28133,Sunflower,9511,0,17,17,None,100,9511,>98%,>98% reported,edison,10,unknown,234,6961,2550,0,0,0,0,2020-11-24T13:24:02Z,46.37788,D+46,Thompson +46,democrat,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",297571,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,491,491,100% reporting,100%,93,321000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-24T13:23:55Z,TRUE,32.02395,95294,D+32,Thompson +32,democrat,FALSE,"","",7,0,1604459127305
