fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,results_bentzc,results_spensera,results_werchr,results_absentee_bentzc,results_absentee_spensera,results_absentee_werchr,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
41035,Klamath,35633,0,43,43,Other,100,33833,>98%,>98% reported,edison,2,unknown,25564,8861,1208,0,0,0,2020-11-24T13:22:14Z,46.87509,R+47,Bentz +47,republican,OR-G-H-2-2020-11-03,or-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-oregon.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OR,oregon,Oregon,Ore.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",456371,0,unknown,Most polls close at 11 p.m. Eastern time.,Most polls close in,Most polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,385,386,99% reporting,99%,100,435000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:22:59Z,FALSE,22.98108,104879,R+23,Bentz +23,republican,FALSE,"","",0,0,1604464647145
41037,Lake,4250,0,18,19,Other,97,4394,97%,97% reported,edison,4,all,3539,619,92,0,0,0,2020-11-24T13:22:14Z,68.70588,R+69,Bentz +69,republican,OR-G-H-2-2020-11-03,or-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-oregon.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OR,oregon,Oregon,Ore.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",456371,0,unknown,Most polls close at 11 p.m. Eastern time.,Most polls close in,Most polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,385,386,99% reporting,99%,100,435000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:22:59Z,FALSE,22.98108,104879,R+23,Bentz +23,republican,FALSE,"","",0,0,1604464647145
41045,Malheur,11689,0,24,24,Other,100,11450,>98%,>98% reported,edison,2,unknown,8910,2466,313,0,0,0,2020-11-24T13:22:15Z,55.12875,R+55,Bentz +55,republican,OR-G-H-2-2020-11-03,or-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-oregon.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OR,oregon,Oregon,Ore.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",456371,0,unknown,Most polls close at 11 p.m. Eastern time.,Most polls close in,Most polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,385,386,99% reporting,99%,100,435000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:22:59Z,FALSE,22.98108,104879,R+23,Bentz +23,republican,FALSE,"","",0,0,1604464647145
41049,Morrow,4987,0,5,5,Other,100,4592,>98%,>98% reported,edison,2,unknown,3628,1171,188,0,0,0,2020-11-24T13:22:15Z,49.2681,R+49,Bentz +49,republican,OR-G-H-2-2020-11-03,or-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-oregon.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OR,oregon,Oregon,Ore.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",456371,0,unknown,Most polls close at 11 p.m. Eastern time.,Most polls close in,Most polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,385,386,99% reporting,99%,100,435000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:22:59Z,FALSE,22.98108,104879,R+23,Bentz +23,republican,FALSE,"","",0,0,1604464647145
41055,Sherman,1162,0,5,5,Other,100,1127,>98%,>98% reported,edison,2,unknown,950,188,24,0,0,0,2020-11-24T13:22:16Z,65.57659,R+66,Bentz +66,republican,OR-G-H-2-2020-11-03,or-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-oregon.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OR,oregon,Oregon,Ore.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",456371,0,unknown,Most polls close at 11 p.m. Eastern time.,Most polls close in,Most polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,385,386,99% reporting,99%,100,435000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:22:59Z,FALSE,22.98108,104879,R+23,Bentz +23,republican,FALSE,"","",0,0,1604464647145
41059,Umatilla,31293,0,45,45,Other,100,30413,>98%,>98% reported,edison,2,unknown,21423,8717,1153,0,0,0,2020-11-24T13:22:16Z,40.60333,R+41,Bentz +41,republican,OR-G-H-2-2020-11-03,or-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-oregon.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OR,oregon,Oregon,Ore.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",456371,0,unknown,Most polls close at 11 p.m. Eastern time.,Most polls close in,Most polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,385,386,99% reporting,99%,100,435000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:22:59Z,FALSE,22.98108,104879,R+23,Bentz +23,republican,FALSE,"","",0,0,1604464647145
41061,Union,14411,0,19,19,Other,100,14308,>98%,>98% reported,edison,2,unknown,10499,3537,375,0,0,0,2020-11-24T13:22:16Z,48.31032,R+48,Bentz +48,republican,OR-G-H-2-2020-11-03,or-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-oregon.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OR,oregon,Oregon,Ore.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",456371,0,unknown,Most polls close at 11 p.m. Eastern time.,Most polls close in,Most polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,385,386,99% reporting,99%,100,435000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:22:59Z,FALSE,22.98108,104879,R+23,Bentz +23,republican,FALSE,"","",0,0,1604464647145
41063,Wallowa,5034,0,12,12,Other,100,4817,>98%,>98% reported,edison,4,unknown,3576,1336,122,0,0,0,2020-11-24T13:22:18Z,44.49742,R+44,Bentz +44,republican,OR-G-H-2-2020-11-03,or-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-oregon.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OR,oregon,Oregon,Ore.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",456371,0,unknown,Most polls close at 11 p.m. Eastern time.,Most polls close in,Most polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,385,386,99% reporting,99%,100,435000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:22:59Z,FALSE,22.98108,104879,R+23,Bentz +23,republican,FALSE,"","",0,0,1604464647145
41065,Wasco,13545,0,14,14,Other,100,13158,>98%,>98% reported,edison,2,unknown,7426,5663,456,0,0,0,2020-11-24T13:22:19Z,13.01587,R+13,Bentz +13,republican,OR-G-H-2-2020-11-03,or-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-oregon.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OR,oregon,Oregon,Ore.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",456371,0,unknown,Most polls close at 11 p.m. Eastern time.,Most polls close in,Most polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,385,386,99% reporting,99%,100,435000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:22:59Z,FALSE,22.98108,104879,R+23,Bentz +23,republican,FALSE,"","",0,0,1604464647145
41069,Wheeler,929,0,3,3,Other,100,914,>98%,>98% reported,edison,2,unknown,738,173,18,0,0,0,2020-11-24T13:22:20Z,60.81808,R+61,Bentz +61,republican,OR-G-H-2-2020-11-03,or-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-oregon.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OR,oregon,Oregon,Ore.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",456371,0,unknown,Most polls close at 11 p.m. Eastern time.,Most polls close in,Most polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,385,386,99% reporting,99%,100,435000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:22:59Z,FALSE,22.98108,104879,R+23,Bentz +23,republican,FALSE,"","",0,0,1604464647145
