fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_lummisc,results_ben_davidm,results_absentee_lummisc,results_absentee_ben_davidm,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
56001,Albany,18258,0,14,14,Released as a separate subtotal as first report of the night,98,18617,98%,98% reported,edison,10,unknown,,7554,,,9220,9038,0,0,2020-11-16T15:48:11Z,0.99682,R+1.00,Lummis +1.00,republican,wyoming,2020-11-19T00:46:09.596442Z
56003,Big Horn,5643,0,13,13,Merged into voters' home precincts and released with cumulative results,98,5752,98%,98% reported,edison,10,unknown,,1650,,,4887,756,0,0,2020-11-16T15:48:11Z,73.20574,R+73,Lummis +73,republican,wyoming,2020-11-19T00:46:09.596442Z
56005,Campbell,18898,18896,37,37,Merged into voters' home precincts and released with cumulative results,97,19566,97%,97% reported,edison,10,unknown,,8522,,,16960,1938,16958,1938,2020-11-16T15:48:12Z,79.48989,R+79,Lummis +79,republican,wyoming,2020-11-19T00:46:09.596442Z
56007,Carbon,6532,2814,19,19,Merged into voters' home precincts and released with cumulative results,98,6664,98%,98% reported,edison,10,unknown,,2373,,,5091,1441,1881,933,2020-11-16T15:48:12Z,55.87875,R+56,Lummis +56,republican,wyoming,2020-11-19T00:46:09.596442Z
56009,Converse,6743,0,19,19,Merged into voters' home precincts and released with cumulative results,97,6970,97%,97% reported,edison,10,unknown,,2742,,,5715,1028,0,0,2020-11-16T15:48:13Z,69.50912,R+70,Lummis +70,republican,wyoming,2020-11-19T00:46:09.596442Z
56011,Crook,4025,0,17,17,Merged into voters' home precincts and released with cumulative results,98,4119,98%,98% reported,edison,10,unknown,,1090,,,3653,372,0,0,2020-11-16T15:48:13Z,81.51553,R+82,Lummis +82,republican,wyoming,2020-11-19T00:46:09.596442Z
56013,Fremont,17699,0,33,33,Merged into voters' home precincts and released with cumulative results,98,18111,98%,98% reported,edison,10,unknown,,5466,,,12314,5385,0,0,2020-11-16T15:48:13Z,39.1491,R+39,Lummis +39,republican,wyoming,2020-11-19T00:46:09.596442Z
56015,Goshen,6116,0,25,25,Merged into voters' home precincts and released with cumulative results,98,6241,98%,98% reported,edison,10,unknown,,1994,,,4910,1206,0,0,2020-11-16T15:48:14Z,60.56246,R+61,Lummis +61,republican,wyoming,2020-11-19T00:46:09.596442Z
56017,Hot Springs,2528,0,4,4,Merged into voters' home precincts and released with cumulative results,98,2577,98%,98% reported,edison,10,unknown,,862,,,2001,527,0,0,2020-11-16T15:48:14Z,58.30696,R+58,Lummis +58,republican,wyoming,2020-11-19T00:46:09.596442Z
56019,Johnson,4826,0,16,16,Merged into voters' home precincts and released with cumulative results,98,4914,98%,98% reported,edison,10,unknown,,1765,,,3921,905,0,0,2020-11-16T15:48:14Z,62.49482,R+62,Lummis +62,republican,wyoming,2020-11-19T00:46:09.596442Z
