fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_inhofej,results_broylesa,results_murphyr,results_farrj,results_nesbita,results_absentee_inhofej,results_absentee_broylesa,results_absentee_murphyr,results_absentee_farrj,results_absentee_nesbita,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
40031,Comanche,35488,10474,39,39,Released as a separate subtotal as first report of the night,100,35631,>98%,>98% reported,edison,10,unknown,,8736,,,21026,12687,852,596,327,4732,5351,179,134,78,2020-11-16T15:48:30Z,23.49808,R+23,Inhofe +23,republican,oklahoma,2020-11-19T00:45:47.540438Z
40033,Cotton,2562,795,9,9,Released as a separate subtotal as first report of the night,100,2572,>98%,>98% reported,edison,10,unknown,,760,,,2114,358,39,33,18,639,132,12,8,4,2020-11-16T15:48:31Z,68.5402,R+69,Inhofe +69,republican,oklahoma,2020-11-19T00:45:47.540438Z
40035,Craig,6007,1366,12,12,Released as a separate subtotal as first report of the night,100,6032,>98%,>98% reported,edison,10,unknown,,944,,,4278,1446,144,94,45,825,481,29,23,8,2020-11-16T15:48:31Z,47.145,R+47,Inhofe +47,republican,oklahoma,2020-11-19T00:45:47.540438Z
40037,Creek,30426,6060,35,35,Released as a separate subtotal as first report of the night,100,30505,>98%,>98% reported,edison,10,all,,6525,,,22097,6956,688,486,199,3494,2354,93,87,32,2020-11-16T15:48:31Z,49.76336,R+50,Inhofe +50,republican,oklahoma,2020-11-19T00:45:47.540438Z
40039,Custer,10663,2549,13,13,Released as a separate subtotal as first report of the night,100,10691,>98%,>98% reported,edison,10,unknown,,2330,,,7735,2454,275,134,65,1629,854,33,21,12,2020-11-16T15:48:32Z,49.5264,R+50,Inhofe +50,republican,oklahoma,2020-11-19T00:45:47.540438Z
40041,Delaware,17181,4224,22,22,Released as a separate subtotal as first report of the night,100,17245,>98%,>98% reported,edison,10,unknown,,3314,,,12829,3700,283,249,120,2663,1431,54,53,23,2020-11-16T15:48:32Z,53.13428,R+53,Inhofe +53,republican,oklahoma,2020-11-19T00:45:47.540438Z
40043,Dewey,2354,371,9,9,Released as a separate subtotal as first report of the night,100,2359,>98%,>98% reported,edison,10,unknown,,440,,,2045,253,29,20,7,315,51,0,5,0,2020-11-16T15:48:32Z,76.12574,R+76,Inhofe +76,republican,oklahoma,2020-11-19T00:45:47.540438Z
40045,Ellis,1866,387,7,7,Released as a separate subtotal as first report of the night,100,1873,>98%,>98% reported,edison,10,unknown,,469,,,1621,187,28,18,12,315,60,6,5,1,2020-11-16T15:48:33Z,76.84887,R+77,Inhofe +77,republican,oklahoma,2020-11-19T00:45:47.540438Z
40047,Garfield,22348,5329,30,30,Released as a separate subtotal as first report of the night,100,22430,>98%,>98% reported,edison,10,unknown,,5979,,,16306,5006,519,332,185,3274,1882,87,56,30,2020-11-16T15:48:33Z,50.56381,R+51,Inhofe +51,republican,oklahoma,2020-11-19T00:45:47.540438Z
40049,Garvin,10887,2287,17,17,Released as a separate subtotal as first report of the night,100,10922,>98%,>98% reported,edison,10,unknown,,2240,,,8504,1993,164,137,89,1630,607,21,18,11,2020-11-16T15:48:33Z,59.80527,R+60,Inhofe +60,republican,oklahoma,2020-11-19T00:45:47.540438Z
40051,Grady,23043,5507,28,28,Released as a separate subtotal as first report of the night,100,23101,>98%,>98% reported,edison,10,all,,4398,,,17700,4503,397,283,160,3622,1713,79,62,31,2020-11-16T15:48:33Z,57.27119,R+57,Inhofe +57,republican,oklahoma,2020-11-19T00:45:47.540438Z
40053,Grant,2215,433,7,7,Released as a separate subtotal as first report of the night,100,2226,>98%,>98% reported,edison,10,unknown,,400,,,1835,304,37,24,15,320,99,8,3,3,2020-11-16T15:47:40Z,69.11964,R+69,Inhofe +69,republican,oklahoma,2020-11-19T00:45:47.540438Z
40055,Greer,1958,500,8,8,Released as a separate subtotal as first report of the night,99,1973,>98%,>98% reported,edison,10,unknown,,514,,,1534,347,40,19,18,349,135,7,5,4,2020-11-16T15:47:44Z,60.62308,R+61,Inhofe +61,republican,oklahoma,2020-11-19T00:45:47.540438Z
40057,Harmon,933,280,7,7,Released as a separate subtotal as first report of the night,100,933,>98%,>98% reported,edison,10,unknown,,288,,,730,182,12,6,3,209,66,1,2,2,2020-11-16T15:47:44Z,58.73526,R+59,Inhofe +59,republican,oklahoma,2020-11-19T00:45:47.540438Z
40059,Harper,1482,306,6,6,Released as a separate subtotal as first report of the night,100,1487,>98%,>98% reported,edison,10,unknown,,291,,,1290,144,18,22,8,250,46,2,5,3,2020-11-16T15:47:45Z,77.32794,R+77,Inhofe +77,republican,oklahoma,2020-11-19T00:45:47.540438Z
40061,Haskell,4977,1368,11,11,Released as a separate subtotal as first report of the night,99,5014,>98%,>98% reported,edison,10,unknown,,1104,,,3892,926,81,49,29,1018,319,17,11,3,2020-11-16T15:47:46Z,59.59413,R+60,Inhofe +60,republican,oklahoma,2020-11-19T00:45:47.540438Z
40063,Hughes,4828,938,16,16,Released as a separate subtotal as first report of the night,99,4857,>98%,>98% reported,edison,10,unknown,,832,,,3660,1002,75,65,26,657,258,14,5,4,2020-11-16T15:47:46Z,55.05385,R+55,Inhofe +55,republican,oklahoma,2020-11-19T00:45:47.540438Z
40065,Jackson,8189,2162,15,15,Released as a separate subtotal as first report of the night,100,8221,>98%,>98% reported,edison,10,unknown,,2832,,,6407,1447,194,100,41,1541,552,40,16,13,2020-11-16T15:47:48Z,60.56906,R+61,Inhofe +61,republican,oklahoma,2020-11-19T00:45:47.540438Z
40067,Jefferson,2359,522,10,10,Released as a separate subtotal as first report of the night,99,2385,>98%,>98% reported,edison,10,unknown,,656,,,1943,323,45,32,16,430,82,4,2,4,2020-11-16T15:47:49Z,68.67317,R+69,Inhofe +69,republican,oklahoma,2020-11-19T00:45:47.540438Z
40069,Johnston,4218,998,14,14,Released as a separate subtotal as first report of the night,99,4251,>98%,>98% reported,edison,10,unknown,,1016,,,3318,749,68,57,26,736,238,13,8,3,2020-11-16T15:47:49Z,60.90564,R+61,Inhofe +61,republican,oklahoma,2020-11-19T00:45:47.540438Z
40071,Kay,17194,3746,28,28,Released as a separate subtotal as first report of the night,100,17249,>98%,>98% reported,edison,10,unknown,,2845,,,12219,4159,369,286,161,2299,1348,41,41,17,2020-11-16T15:47:50Z,46.87682,R+47,Inhofe +47,republican,oklahoma,2020-11-19T00:45:47.540438Z
40073,Kingfisher,6454,1647,14,14,Released as a separate subtotal as first report of the night,100,6465,>98%,>98% reported,edison,10,unknown,,1557,,,5332,895,130,73,24,1292,309,28,15,3,2020-11-16T15:47:51Z,68.74806,R+69,Inhofe +69,republican,oklahoma,2020-11-19T00:45:47.540438Z
40075,Kiowa,3421,852,14,14,Released as a separate subtotal as first report of the night,100,3427,>98%,>98% reported,edison,10,unknown,,818,,,2592,730,57,23,19,593,248,6,3,2,2020-11-16T15:47:52Z,54.42853,R+54,Inhofe +54,republican,oklahoma,2020-11-19T00:45:47.540438Z
40077,Latimer,4219,929,12,12,Released as a separate subtotal as first report of the night,99,4249,>98%,>98% reported,edison,10,unknown,,992,,,3172,883,67,57,40,604,300,9,7,9,2020-11-16T15:47:52Z,54.25456,R+54,Inhofe +54,republican,oklahoma,2020-11-19T00:45:47.540438Z
40079,LeFlore,18645,3954,37,37,Released as a separate subtotal as first report of the night,99,18805,>98%,>98% reported,edison,10,unknown,,3581,,,14484,3462,320,269,110,2746,1096,56,39,17,2020-11-16T15:47:53Z,59.11504,R+59,Inhofe +59,republican,oklahoma,2020-11-19T00:45:47.540438Z
40081,Lincoln,14833,3016,21,21,Released as a separate subtotal as first report of the night,100,14888,>98%,>98% reported,edison,10,all,,2651,,,11445,2767,312,205,104,1995,906,64,40,11,2020-11-16T15:47:55Z,58.50469,R+59,Inhofe +59,republican,oklahoma,2020-11-19T00:45:47.540438Z
40083,Logan,21490,6695,22,22,Released as a separate subtotal as first report of the night,100,21574,>98%,>98% reported,edison,10,unknown,,5138,,,15044,5542,516,247,141,3931,2563,110,61,30,2020-11-16T15:47:57Z,44.21591,R+44,Inhofe +44,republican,oklahoma,2020-11-19T00:45:47.540438Z
40085,Love,4059,1075,12,12,Released as a separate subtotal as first report of the night,100,4076,>98%,>98% reported,edison,10,unknown,,830,,,3230,701,56,44,28,814,232,15,9,5,2020-11-16T15:47:58Z,62.30599,R+62,Inhofe +62,republican,oklahoma,2020-11-19T00:45:47.540438Z
40093,Major,3461,940,8,8,Released as a separate subtotal as first report of the night,100,3467,>98%,>98% reported,edison,10,unknown,,987,,,2992,348,71,39,11,756,158,14,11,1,2020-11-16T15:48:01Z,76.39411,R+76,Inhofe +76,republican,oklahoma,2020-11-19T00:45:47.540438Z
40095,Marshall,6048,1564,11,11,Released as a separate subtotal as first report of the night,100,6064,>98%,>98% reported,edison,10,unknown,,1757,,,4769,1088,90,63,38,1162,372,13,8,9,2020-11-16T15:48:02Z,60.8631,R+61,Inhofe +61,republican,oklahoma,2020-11-19T00:45:47.540438Z
40097,Mayes,16558,3003,27,27,Released as a separate subtotal as first report of the night,100,16626,>98%,>98% reported,edison,10,all,,3038,,,11826,3973,353,272,134,1752,1147,43,39,22,2020-11-16T15:48:02Z,47.42723,R+47,Inhofe +47,republican,oklahoma,2020-11-19T00:45:47.540438Z
40087,McClain,19193,4070,26,26,Released as a separate subtotal as first report of the night,100,19236,>98%,>98% reported,edison,10,unknown,,3157,,,14603,3861,397,213,119,2613,1343,59,34,21,2020-11-16T15:47:59Z,55.96832,R+56,Inhofe +56,republican,oklahoma,2020-11-19T00:45:47.540438Z
40089,McCurtain,11332,2104,30,30,Released as a separate subtotal as first report of the night,99,11467,>98%,>98% reported,edison,10,unknown,,1856,,,9021,1941,172,132,66,1459,603,19,15,8,2020-11-16T15:47:59Z,62.47794,R+62,Inhofe +62,republican,oklahoma,2020-11-19T00:45:47.540438Z
40091,McIntosh,8290,1914,14,14,Released as a separate subtotal as first report of the night,99,8335,>98%,>98% reported,edison,10,unknown,,1342,,,5733,2235,143,114,65,1180,687,18,18,11,2020-11-16T15:48:00Z,42.19542,R+42,Inhofe +42,republican,oklahoma,2020-11-19T00:45:47.540438Z
40099,Murray,5874,2259,10,10,Released as a separate subtotal as first report of the night,100,5894,>98%,>98% reported,edison,10,unknown,,1429,,,4400,1252,108,75,39,1604,589,30,18,18,2020-11-16T15:48:03Z,53.5921,R+54,Inhofe +54,republican,oklahoma,2020-11-19T00:45:47.540438Z
40101,Muskogee,25021,7062,33,33,Released as a separate subtotal as first report of the night,100,25081,>98%,>98% reported,edison,10,unknown,,6520,,,15529,8381,504,396,211,3476,3364,82,95,45,2020-11-16T15:48:04Z,28.568,R+29,Inhofe +29,republican,oklahoma,2020-11-19T00:45:47.540438Z
40103,Noble,4934,1347,12,12,Released as a separate subtotal as first report of the night,100,4938,>98%,>98% reported,edison,10,unknown,,1789,,,3603,1098,123,71,39,919,377,20,22,9,2020-11-16T15:48:04Z,50.77017,R+51,Inhofe +51,republican,oklahoma,2020-11-19T00:45:47.540438Z
40105,Nowata,4380,1136,11,11,Released as a separate subtotal as first report of the night,100,4391,>98%,>98% reported,edison,10,unknown,,1032,,,3374,814,90,69,33,832,277,13,10,4,2020-11-16T15:48:06Z,58.44749,R+58,Inhofe +58,republican,oklahoma,2020-11-19T00:45:47.540438Z
40107,Okfuskee,4016,937,13,13,Released as a separate subtotal as first report of the night,99,4038,>98%,>98% reported,edison,10,unknown,,851,,,2865,991,69,62,29,581,325,15,11,5,2020-11-16T15:48:07Z,46.66335,R+47,Inhofe +47,republican,oklahoma,2020-11-19T00:45:47.540438Z
40109,Oklahoma,294247,102732,257,257,Released as a precinct as first report of the night,100,294740,>98%,>98% reported,edison,10,unknown,,49208,,,142092,139559,6545,3799,2252,36215,63659,1435,889,534,2020-11-16T15:48:09Z,0.86084,R+0.86,Inhofe +0.86,republican,oklahoma,2020-11-19T00:45:47.540438Z
40111,Okmulgee,14274,3451,24,24,Released as a separate subtotal as first report of the night,100,14313,>98%,>98% reported,edison,10,unknown,,2506,,,9114,4510,295,229,126,1783,1541,55,52,20,2020-11-16T15:48:10Z,32.25445,R+32,Inhofe +32,republican,oklahoma,2020-11-19T00:45:47.540438Z
40113,Osage,20491,6456,28,28,Released as a separate subtotal as first report of the night,100,20538,>98%,>98% reported,edison,10,unknown,,2789,,,13276,6336,429,314,136,3459,2825,78,68,26,2020-11-16T15:48:11Z,33.86853,R+34,Inhofe +34,republican,oklahoma,2020-11-19T00:45:47.540438Z
40115,Ottawa,11332,2737,16,16,Released as a separate subtotal as first report of the night,99,11438,>98%,>98% reported,edison,10,unknown,,1909,,,7283,3283,331,267,168,1457,1156,41,43,40,2020-11-16T15:48:12Z,35.29827,R+35,Inhofe +35,republican,oklahoma,2020-11-19T00:45:47.540438Z
40117,Pawnee,6757,1359,10,10,Released as a separate subtotal as first report of the night,100,6786,>98%,>98% reported,edison,10,unknown,,1203,,,4937,1459,166,133,62,813,468,40,25,13,2020-11-16T15:48:13Z,51.47255,R+51,Inhofe +51,republican,oklahoma,2020-11-19T00:45:47.540438Z
40119,Payne,29593,8992,31,31,Released as a separate subtotal as first report of the night,100,29643,>98%,>98% reported,edison,10,unknown,,7976,,,17114,11010,863,388,218,3510,5169,176,88,49,2020-11-16T15:48:14Z,20.6265,R+21,Inhofe +21,republican,oklahoma,2020-11-19T00:45:47.540438Z
40121,Pittsburg,17868,3257,41,41,Released as a separate subtotal as first report of the night,100,17924,>98%,>98% reported,edison,10,unknown,,3346,,,13102,4032,343,263,128,1938,1207,47,40,25,2020-11-16T15:48:15Z,50.76114,R+51,Inhofe +51,republican,oklahoma,2020-11-19T00:45:47.540438Z
40123,Pontotoc,15256,4647,21,21,Released as a separate subtotal as first report of the night,100,15320,>98%,>98% reported,edison,10,unknown,,3595,,,10418,4168,351,191,128,2671,1827,68,42,39,2020-11-16T15:48:16Z,40.96749,R+41,Inhofe +41,republican,oklahoma,2020-11-19T00:45:47.540438Z
40125,Pottawatomie,28117,8451,26,26,Released as a separate subtotal as first report of the night,100,28185,>98%,>98% reported,edison,10,all,,5714,,,19257,7646,604,363,247,4688,3513,116,81,53,2020-11-16T15:48:17Z,41.2953,R+41,Inhofe +41,republican,oklahoma,2020-11-19T00:45:47.540438Z
40127,Pushmataha,4711,1242,13,13,Released as a separate subtotal as first report of the night,99,4739,>98%,>98% reported,edison,10,unknown,,925,,,3836,714,80,53,28,919,276,23,12,12,2020-11-16T15:48:18Z,66.27043,R+66,Inhofe +66,republican,oklahoma,2020-11-19T00:45:47.540438Z
40129,Roger Mills,1818,420,9,9,Released as a separate subtotal as first report of the night,99,1834,>98%,>98% reported,edison,10,unknown,,458,,,1528,233,29,15,13,338,70,6,4,2,2020-11-16T15:48:19Z,71.23212,R+71,Inhofe +71,republican,oklahoma,2020-11-19T00:45:47.540438Z
40131,Rogers,44450,13786,36,36,Released as a separate subtotal as first report of the night,100,44553,>98%,>98% reported,edison,10,unknown,,9670,,,32109,10226,1134,693,288,8661,4658,235,157,75,2020-11-16T15:48:20Z,49.2306,R+49,Inhofe +49,republican,oklahoma,2020-11-19T00:45:47.540438Z
40133,Seminole,8322,2056,14,14,Released as a separate subtotal as first report of the night,100,8337,>98%,>98% reported,edison,10,unknown,,1477,,,5726,2294,133,103,66,1147,846,31,20,12,2020-11-16T15:48:20Z,41.24009,R+41,Inhofe +41,republican,oklahoma,2020-11-19T00:45:47.540438Z
40135,Sequoyah,15269,2749,26,26,Released as a separate subtotal as first report of the night,99,15386,>98%,>98% reported,edison,10,unknown,,3320,,,11370,3327,281,194,97,1774,900,43,22,10,2020-11-16T15:48:21Z,52.67536,R+53,Inhofe +53,republican,oklahoma,2020-11-19T00:45:47.540438Z
40137,Stephens,18977,4818,28,28,Released as a separate subtotal as first report of the night,100,19057,>98%,>98% reported,edison,10,unknown,,3352,,,15216,3122,340,208,91,3471,1222,71,42,12,2020-11-16T15:48:22Z,63.72978,R+64,Inhofe +64,republican,oklahoma,2020-11-19T00:45:47.540438Z
40139,Texas,5505,1579,11,11,Released as a separate subtotal as first report of the night,100,5521,>98%,>98% reported,edison,10,unknown,,1739,,,4368,853,149,97,38,1181,332,30,26,10,2020-11-16T15:48:23Z,63.85104,R+64,Inhofe +64,republican,oklahoma,2020-11-19T00:45:47.540438Z
40141,Tillman,2702,740,9,9,Released as a separate subtotal as first report of the night,100,2708,>98%,>98% reported,edison,10,unknown,,752,,,2077,541,31,33,20,536,186,3,11,4,2020-11-16T15:48:24Z,56.84678,R+57,Inhofe +57,republican,oklahoma,2020-11-19T00:45:47.540438Z
40143,Tulsa,266298,73865,262,262,Released as a precinct as first report of the night,100,266678,>98%,>98% reported,edison,10,unknown,,34395,,,145369,108869,6250,3875,1935,26868,44743,1088,711,455,2020-11-16T15:48:25Z,13.70645,R+14,Inhofe +14,republican,oklahoma,2020-11-19T00:45:47.540438Z
40145,Wagoner,35266,10752,32,32,Released as a separate subtotal as first report of the night,100,35338,>98%,>98% reported,edison,10,all,,4986,,,24863,8851,776,530,246,6513,3899,159,123,58,2020-11-16T15:48:26Z,45.4035,R+45,Inhofe +45,republican,oklahoma,2020-11-19T00:45:47.540438Z
40147,Washington,23445,6271,23,23,Released as a separate subtotal as first report of the night,100,23501,>98%,>98% reported,edison,10,unknown,,5606,,,16417,5898,589,393,148,3432,2611,120,76,32,2020-11-16T15:48:26Z,44.86671,R+45,Inhofe +45,republican,oklahoma,2020-11-19T00:45:47.540438Z
40149,Washita,4772,978,12,12,Released as a separate subtotal as first report of the night,100,4777,>98%,>98% reported,edison,10,unknown,,954,,,3887,702,98,61,24,729,210,18,16,5,2020-11-16T15:48:27Z,66.7435,R+67,Inhofe +67,republican,oklahoma,2020-11-19T00:45:47.540438Z
40151,Woods,3672,1497,6,6,Released as a separate subtotal as first report of the night,100,3678,>98%,>98% reported,edison,10,unknown,,1091,,,2851,667,84,50,20,1063,378,31,19,6,2020-11-16T15:48:27Z,59.47712,R+59,Inhofe +59,republican,oklahoma,2020-11-19T00:45:47.540438Z
40153,Woodward,7766,2725,15,15,Released as a separate subtotal as first report of the night,100,7785,>98%,>98% reported,edison,10,unknown,,2272,,,6319,1105,185,106,51,2086,545,46,32,16,2020-11-16T15:48:27Z,67.13881,R+67,Inhofe +67,republican,oklahoma,2020-11-19T00:45:47.540438Z
