fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_roundsm,results_ahlersd,results_absentee_roundsm,results_absentee_ahlersd,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
46023,Charles Mix,3801,0,13,13,Merged into voters' home precincts and released with cumulative results,100,3801,>98%,>98% reported,edison,10,unknown,,1029,,,2542,1259,0,0,2020-11-16T15:48:06Z,33.75428,R+34,Rounds +34,republican,south-dakota,2020-11-19T00:45:57.146196Z
46025,Clark,1847,0,12,12,Merged into voters' home precincts and released with cumulative results,100,1850,>98%,>98% reported,edison,10,unknown,,539,,,1397,450,0,0,2020-11-16T15:48:07Z,51.27233,R+51,Rounds +51,republican,south-dakota,2020-11-19T00:45:57.146196Z
46027,Clay,5664,0,7,7,Merged into voters' home precincts and released with cumulative results,99,5698,>98%,>98% reported,edison,10,all,,2845,,,2857,2807,0,0,2020-11-16T15:48:07Z,0.88277,R+0.88,Rounds +0.88,republican,south-dakota,2020-11-19T00:45:57.146196Z
46029,Codington,13105,0,24,24,Merged into voters' home precincts and released with cumulative results,100,13161,>98%,>98% reported,edison,10,unknown,,7499,,,9479,3626,0,0,2020-11-16T15:48:08Z,44.66234,R+45,Rounds +45,republican,south-dakota,2020-11-19T00:45:57.146196Z
46031,Corson,1264,0,14,14,Merged into voters' home precincts and released with cumulative results,99,1283,>98%,>98% reported,edison,10,unknown,,179,,,681,583,0,0,2020-11-16T15:48:08Z,7.75316,R+8,Rounds +8,republican,south-dakota,2020-11-19T00:45:57.146196Z
46033,Custer,5456,0,10,10,Merged into voters' home precincts and released with cumulative results,99,5494,>98%,>98% reported,edison,10,unknown,,2883,,,3973,1483,0,0,2020-11-16T15:48:09Z,45.63783,R+46,Rounds +46,republican,south-dakota,2020-11-19T00:45:57.146196Z
46035,Davison,8433,0,7,7,Merged into voters' home precincts and released with cumulative results,100,8454,>98%,>98% reported,edison,10,all,,4008,,,5893,2540,0,0,2020-11-16T15:48:09Z,39.76046,R+40,Rounds +40,republican,south-dakota,2020-11-19T00:45:57.146196Z
46037,Day,2964,0,14,14,Merged into voters' home precincts and released with cumulative results,100,2964,>98%,>98% reported,edison,10,unknown,,2443,,,1895,1069,0,0,2020-11-16T15:48:09Z,27.86775,R+28,Rounds +28,republican,south-dakota,2020-11-19T00:45:57.146196Z
46039,Deuel,2342,0,10,10,Merged into voters' home precincts and released with cumulative results,100,2350,>98%,>98% reported,edison,10,unknown,,606,,,1714,628,0,0,2020-11-16T15:48:10Z,46.37062,R+46,Rounds +46,republican,south-dakota,2020-11-19T00:45:57.146196Z
46041,Dewey,1946,0,11,11,Merged into voters' home precincts and released with cumulative results,99,1966,>98%,>98% reported,edison,10,unknown,,477,,,884,1062,0,0,2020-11-16T15:48:10Z,9.14697,D+9,Ahlers +9,democrat,south-dakota,2020-11-19T00:45:57.146196Z
