fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bookerc,results_mehtar,results_fernandezv,results_hoffmanm,results_burked,results_write_ins,results_absentee_bookerc,results_absentee_mehtar,results_absentee_fernandezv,results_absentee_hoffmanm,results_absentee_burked,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
34001,Atlantic,134923,111152,151,151,Released separately AFTER election night,100,134885,>98%,>98% reported,edison,2,some,,14118,,,70928,61234,1702,528,435,96,59095,50082,1167,404,332,72,2020-11-17T20:13:18Z,7.18484,D+7,Booker +7,democrat,new-jersey,2020-11-19T00:45:40.384617Z
34003,Bergen,483340,417177,509,561,Merged into voters' home precincts AFTER election night,100,482190,>98%,>98% reported,edison,2,some,,45653,,,279907,195059,3583,2816,1702,273,244619,165903,2675,2358,1349,273,2020-11-17T19:35:51Z,17.55452,D+18,Booker +18,democrat,new-jersey,2020-11-19T00:45:40.384617Z
34005,Burlington,240495,198907,343,365,Merged into voters' home precincts and released with cumulative results,96,251784,96%,96% reported,edison,2,some,,31397,,,141654,95786,914,1618,436,87,122088,74541,666,1220,305,87,2020-11-16T15:48:27Z,19.07233,D+19,Booker +19,democrat,new-jersey,2020-11-19T00:45:40.384617Z
34007,Camden,260915,0,345,345,Released separately AFTER election night,100,260581,>98%,>98% reported,edison,2,unknown,,59568,,,172802,85219,726,1673,295,200,0,0,0,0,0,0,2020-11-17T01:39:48Z,33.56764,D+34,Booker +34,democrat,new-jersey,2020-11-19T00:45:40.384617Z
34009,Cape May,55214,47376,125,127,Merged into voters' home precincts and released with cumulative results,99,56030,>98%,>98% reported,edison,4,some,,9231,,,22952,31317,399,413,133,,20209,26468,288,323,88,,2020-11-18T23:20:43Z,15.15014,R+15,Mehta +15,republican,new-jersey,2020-11-19T00:45:40.384617Z
34011,Cumberland,60681,17100,89,92,Released separately AFTER election night,95,63586,95%,95% reported,edison,4,some,,5984,,,31944,26584,1401,397,296,59,10821,5797,279,97,94,12,2020-11-17T06:03:48Z,8.83308,D+9,Booker +9,democrat,new-jersey,2020-11-19T00:45:40.384617Z
34013,Essex,300326,0,462,550,Released as a separate subtotal as first report of the night,84,357574,84%,84% reported,edison,2,unknown,,24131,,,232299,63931,1525,2190,381,,0,0,0,0,0,,2020-11-16T15:48:28Z,56.06175,D+56,Booker +56,democrat,new-jersey,2020-11-19T00:45:40.384617Z
34015,Gloucester,170114,146750,229,229,Merged into voters' home precincts and released with cumulative results,100,160473,>98%,>98% reported,edison,4,some,,25391,,,85489,80943,952,2249,286,195,75604,68245,715,1809,226,151,2020-11-18T15:20:45Z,2.67233,D+3,Booker +3,democrat,new-jersey,2020-11-19T00:45:40.384617Z
34017,Hudson,240223,0,432,454,Released as a separate subtotal as first report of the night,95,252281,95%,95% reported,edison,2,some,,14745,,,176658,56917,3848,1879,811,110,0,0,0,0,0,0,2020-11-18T21:10:35Z,49.84577,D+50,Booker +50,democrat,new-jersey,2020-11-19T00:45:40.384617Z
34019,Hunterdon,81123,71243,110,116,Released as a separate subtotal as first report of the night,100,81461,>98%,>98% reported,edison,4,some,,13401,,,35964,43042,375,1419,176,147,32877,36658,296,1151,138,123,2020-11-16T15:48:29Z,8.72502,R+9,Mehta +9,republican,new-jersey,2020-11-19T00:45:40.384617Z
