fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_write_ins,results_hawkinsh,results_jorgensenj,results_la_rivag,results_pierceb,results_absentee_bidenj,results_absentee_trumpd,results_absentee_write_ins,results_absentee_hawkinsh,results_absentee_jorgensenj,results_absentee_la_rivag,results_absentee_pierceb,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
11001,Ward 1,33612,0,11,15,Merged into voters' home precincts and released with cumulative results,74,45392,74%,74% reported,edison,4,some,,,,,31723,1239,206,192,147,77,28,0,0,0,0,0,0,0,2020-11-09T18:18:21Z,90.6938,D+91,Biden +91,democrat,-90.6938,311268,-86.8,293764,-83.63,district-of-columbia,2020-11-10T19:33:04.307429Z
11002,Ward 2,28386,0,10,13,Merged into voters' home precincts and released with cumulative results,76,37140,76%,76% reported,edison,2,some,,,,,25228,2466,298,96,229,37,32,0,0,0,0,0,0,0,2020-11-09T18:19:07Z,80.18742,D+80,Biden +80,democrat,-80.18742,,,,,district-of-columbia,2020-11-10T19:33:04.307429Z
11003,Ward 3,39392,0,15,18,Merged into voters' home precincts and released with cumulative results,83,47692,83%,83% reported,edison,2,some,,,,,35316,3168,389,139,267,63,50,0,0,0,0,0,0,0,2020-11-09T18:19:57Z,81.61048,D+82,Biden +82,democrat,-81.61048,,,,,district-of-columbia,2020-11-10T19:33:04.307429Z
11004,Ward 4,39257,0,17,20,Merged into voters' home precincts and released with cumulative results,85,45917,85%,85% reported,edison,2,some,,,,,36990,1580,239,194,111,96,47,0,0,0,0,0,0,0,2020-11-09T18:21:19Z,90.20047,D+90,Biden +90,democrat,-90.20047,,,,,district-of-columbia,2020-11-10T19:33:04.307429Z
11005,Ward 5,39632,0,16,18,Merged into voters' home precincts and released with cumulative results,89,44719,89%,89% reported,edison,2,some,,,,,37391,1440,248,220,162,96,75,0,0,0,0,0,0,0,2020-11-09T18:22:16Z,90.71205,D+91,Biden +91,democrat,-90.71205,,,,,district-of-columbia,2020-11-10T19:33:04.307429Z
11006,Ward 6,50496,0,17,20,Merged into voters' home precincts and released with cumulative results,87,57889,87%,87% reported,edison,2,some,,,,,45697,3425,641,173,415,82,63,0,0,0,0,0,0,0,2020-11-09T18:23:17Z,83.71356,D+84,Biden +84,democrat,-83.71356,,,,,district-of-columbia,2020-11-10T19:33:04.307429Z
11007,Ward 7,32596,0,20,23,Merged into voters' home precincts and released with cumulative results,87,37287,87%,87% reported,edison,2,some,,,,,30990,903,214,188,96,91,114,0,0,0,0,0,0,0,2020-11-09T18:24:02Z,92.30274,D+92,Biden +92,democrat,-92.30274,,,,,district-of-columbia,2020-11-10T19:33:04.307429Z
11008,Ward 8,26800,0,14,17,Merged into voters' home precincts and released with cumulative results,82,32583,82%,82% reported,edison,2,some,,,,,25290,854,160,149,105,113,129,0,0,0,0,0,0,0,2020-11-09T18:24:44Z,91.1791,D+91,Biden +91,democrat,-91.1791,,,,,district-of-columbia,2020-11-10T19:33:04.307429Z
