fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_westk,results_blankenshipd,results_hammonsb,results_charlesm,results_carrollb,results_kopitkek,results_la_rivag,results_de_la_fuenter,results_mchughj,results_pierceb,results_collinsp,results_jacob_fambrop,results_huberb,results_hunterd,results_kennedya,results_scottj,results_kishorej,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_westk,results_absentee_blankenshipd,results_absentee_hammonsb,results_absentee_charlesm,results_absentee_carrollb,results_absentee_kopitkek,results_absentee_la_rivag,results_absentee_de_la_fuenter,results_absentee_mchughj,results_absentee_pierceb,results_absentee_collinsp,results_absentee_jacob_fambrop,results_absentee_huberb,results_absentee_hunterd,results_absentee_kennedya,results_absentee_scottj,results_absentee_kishorej,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
08107,Routt,16767,0,18,18,Other,100,16503,>98%,>98% reported,edison,2,all,,,,,10523,5883,231,36,29,20,15,13,6,1,2,0,0,4,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:29Z,27.67341,D+28,Biden +28,democrat,-27.67341,13986,-16.9,13317,-15.6,colorado,2020-11-10T19:32:37.064897Z
08109,Saguache,3337,0,7,7,Other,100,3332,>98%,>98% reported,edison,6,all,,,,,1857,1389,38,13,15,8,2,6,3,1,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:29Z,14.02457,D+14,Biden +14,democrat,-14.02457,2835,-9.5,2930,-30.72,colorado,2020-11-10T19:32:37.064897Z
08111,San Juan,563,0,1,1,Other,100,563,>98%,>98% reported,edison,6,all,,,,,342,202,7,2,2,1,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:30Z,24.86679,D+25,Biden +25,democrat,-24.86679,506,-9.9,506,-10.67,colorado,2020-11-10T19:32:37.064897Z
08113,San Miguel,5057,0,6,6,Other,99,5108,>98%,>98% reported,edison,4,some,,,,,3890,1081,52,13,11,2,2,2,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:30Z,55.54677,D+56,Biden +56,democrat,-55.54677,4329,-44.9,4256,-43.19,colorado,2020-11-10T19:32:37.064897Z
08115,Sedgwick,1441,0,4,5,Other,96,1497,96%,96% reported,edison,2,unknown,,,,,297,1120,8,1,2,7,1,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:31Z,57.11312,R+57,Trump +57,republican,57.11312,1364,54.8,1338,34.53,colorado,2020-11-10T19:32:37.064897Z
08117,Summit,18330,0,19,20,Other,96,19085,96%,96% reported,edison,2,some,,,,,12535,5275,348,59,39,16,14,13,6,0,3,1,4,3,4,2,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:32Z,39.6072,D+40,Biden +40,democrat,-39.6072,16174,-27.6,15312,-24.66,colorado,2020-11-10T19:32:37.064897Z
08119,Teller,16793,0,13,13,Other,99,17044,>98%,>98% reported,edison,2,unknown,,,,,5224,11158,261,24,35,28,10,10,18,6,2,1,7,2,0,0,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:33Z,35.33615,R+35,Trump +35,republican,35.33615,14444,42.5,13407,32.59,colorado,2020-11-10T19:32:37.064897Z
08121,Washington,2943,0,5,6,Other,98,2998,98%,98% reported,edison,2,unknown,,,,,363,2537,24,5,2,4,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:34Z,73.8702,R+74,Trump +74,republican,73.8702,2733,73.3,2591,62.06,colorado,2020-11-10T19:32:37.064897Z
08123,Weld,164791,0,156,156,Other,100,159805,>98%,>98% reported,edison,4,all,,,,,65169,94965,2839,333,436,355,161,117,113,51,43,37,43,31,26,13,17,14,12,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T21:50:41Z,18.08108,R+18,Trump +18,republican,18.08108,135430,22.2,115866,12.71,colorado,2020-11-10T19:32:37.064897Z
08125,Yuma,4885,0,12,14,Other,93,5255,93%,93% reported,edison,2,unknown,,,,,763,4037,52,2,9,6,2,5,0,2,0,0,3,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:35Z,67.02149,R+67,Trump +67,republican,67.02149,4791,65.2,4577,54.69,colorado,2020-11-10T19:32:37.064897Z
