fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
10001,Kent,86958,0,89,89,Released as a separate subtotal as first report of the night,99,88000,>98%,>98% reported,edison,2,unknown,,6274,,,44518,40976,1044,420,0,0,0,0,0,0,2020-11-06T03:34:21Z,4.07323,D+4,Biden +4,democrat,-4.07323,74729,4.9,68680,-4.94,delaware,2020-11-10T19:32:59.992107Z
10003,New Castle,286141,0,265,272,Released as a separate subtotal as first report of the night,97,293878,97%,97% reported,edison,2,unknown,,16274,,,194245,87687,2932,1277,0,0,0,0,0,0,2020-11-09T21:44:52Z,37.23968,D+37,Biden +37,democrat,-37.23968,262979,-29.4,252012,-34.07,delaware,2020-11-10T19:32:59.992107Z
10005,Sussex,129293,0,73,73,Released as a separate subtotal as first report of the night,100,125000,>98%,>98% reported,edison,2,unknown,,11440,,,56657,71196,1003,437,0,0,0,0,0,0,2020-11-04T22:46:41Z,11.245,R+11,Trump +11,republican,11.245,106106,21.9,93229,13.03,delaware,2020-11-10T19:32:59.992107Z
