fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
38001,Adams,1269,0,1,1,Released as a separate subtotal as first report of the night,87,1463,87%,87% reported,edison,2,some,,1677,,,981,258,30,0,0,0,0,0,2020-11-09T23:31:38Z,56.974,R+57,Trump +57,republican,56.974,1218,56.9,1286,45.88,north-dakota,2020-11-10T19:30:38.567340Z
38003,Barnes,5507,0,13,15,Merged into voters' home precincts and released with cumulative results,88,6255,88%,88% reported,edison,2,some,,3917,,,3532,1800,159,16,0,0,0,0,2020-11-04T11:06:48Z,31.45088,R+31,Trump +31,republican,31.45088,5344,29.2,5522,10.32,north-dakota,2020-11-10T19:30:38.567340Z
38005,Benson,1961,0,3,4,"As a subtotal in the FIRST cumulative report, along with regular precincts",80,2453,80%,80% reported,edison,2,some,,3273,,,1094,822,39,6,0,0,0,0,2020-11-09T19:10:38Z,13.87047,R+14,Trump +14,republican,13.87047,2011,4.3,2157,-17.01,north-dakota,2020-11-10T19:30:38.567340Z
38007,Billings,635,0,3,3,Merged into voters' home precincts and released with cumulative results,92,690,92%,92% reported,edison,2,some,,341,,,541,72,21,1,0,0,0,0,2020-11-09T18:55:44Z,73.85827,R+74,Trump +74,republican,73.85827,605,72.1,578,66.26,north-dakota,2020-11-10T19:30:38.567340Z
38009,Bottineau,3471,0,4,5,Merged into voters' home precincts and released with cumulative results,86,4034,86%,86% reported,edison,2,some,,4617,,,2575,821,65,10,0,0,0,0,2020-11-09T17:20:40Z,50.53299,R+51,Trump +51,republican,50.53299,3494,50.3,3555,30.86,north-dakota,2020-11-10T19:30:38.567340Z
38011,Bowman,1657,0,3,4,Merged into voters' home precincts and released with cumulative results,81,2037,81%,81% reported,edison,2,some,,764,,,1395,228,30,4,0,0,0,0,2020-11-09T21:20:39Z,70.42849,R+70,Trump +70,republican,70.42849,1787,68.2,1737,49.86,north-dakota,2020-11-10T19:30:38.567340Z
38013,Burke,1144,0,6,6,Merged into voters' home precincts and released with cumulative results,82,1400,82%,82% reported,edison,2,some,,1757,,,984,136,20,4,0,0,0,0,2020-11-10T17:56:23Z,74.12587,R+74,Trump +74,republican,74.12587,1052,73.8,1023,52.69,north-dakota,2020-11-10T19:30:38.567340Z
38015,Burleigh,50753,13955,33,36,Merged into voters' home precincts and released with cumulative results,92,55000,92%,92% reported,edison,2,some,,26229,,,34744,14348,1368,293,10581,2978,320,76,2020-11-09T22:25:36Z,40.18679,R+40,Trump +40,republican,40.18679,47979,45.1,43387,31.87,north-dakota,2020-11-10T19:30:38.567340Z
38017,Cass,86053,31659,35,38,Merged into voters' home precincts and released with cumulative results,93,92136,93%,93% reported,edison,4,all,,26127,,,42619,40311,2495,628,10639,19861,893,266,2020-11-09T20:20:40Z,2.68207,R+3,Trump +3,republican,2.68207,80821,10.5,73855,2.9,north-dakota,2020-11-10T19:30:38.567340Z
38019,Cavalier,2020,0,1,1,Merged into voters' home precincts and released with cumulative results,86,2346,86%,86% reported,edison,2,unknown,,3069,,,1499,474,40,7,0,0,0,0,2020-11-04T10:43:34Z,50.74257,R+51,Trump +51,republican,50.74257,2006,43.9,2069,18.22,north-dakota,2020-11-10T19:30:38.567340Z
38021,Dickey,2424,0,3,3,Merged into voters' home precincts and released with cumulative results,84,2880,84%,84% reported,edison,2,some,,1263,,,1742,608,63,11,0,0,0,0,2020-11-09T19:15:40Z,46.78218,R+47,Trump +47,republican,46.78218,2407,46.2,2535,29.86,north-dakota,2020-11-10T19:30:38.567340Z
38023,Divide,1202,0,3,4,Merged into voters' home precincts and released with cumulative results,86,1390,86%,86% reported,edison,2,some,,852,,,904,265,30,3,0,0,0,0,2020-11-09T16:40:39Z,53.1614,R+53,Trump +53,republican,53.1614,1219,51,1162,29.95,north-dakota,2020-11-10T19:30:38.567340Z
38025,Dunn,2338,0,11,12,Merged into voters' home precincts and released with cumulative results,91,2557,91%,91% reported,edison,2,some,,1484,,,1951,342,39,6,0,0,0,0,2020-11-09T21:10:39Z,68.8195,R+69,Trump +69,republican,68.8195,2243,63,2034,49.07,north-dakota,2020-11-10T19:30:38.567340Z
