fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
39001,Adams,11905,0,19,21,Merged into voters' home precincts and released with cumulative results,96,12400,96%,96% reported,edison,2,unknown,,5645,,,9660,2130,89,26,0,0,0,0,0,0,2020-11-04T10:43:43Z,63.25073,R+63,Trump +63,republican,63.25073,11412,55.5,11118,25.98,ohio,2020-11-10T19:31:29.451338Z
39003,Allen,46362,0,78,88,Merged into voters' home precincts and released with cumulative results,95,49000,95%,95% reported,edison,2,unknown,,21147,,,32052,13611,562,137,0,0,0,0,0,0,2020-11-04T10:43:43Z,39.77611,R+40,Trump +40,republican,39.77611,46234,37.2,48341,23.97,ohio,2020-11-10T19:31:29.451338Z
39005,Ashland,25883,16298,39,39,Released as a separate subtotal as first report of the night,100,25883,>98%,>98% reported,edison,6,all,,12763,,,19002,6448,330,103,0,10986,5093,157,62,0,2020-11-04T10:43:44Z,48.50288,R+49,Trump +49,republican,48.50288,24737,47.5,24340,29.74,ohio,2020-11-10T19:31:29.451338Z
39007,Ashtabula,43253,23058,104,104,Released as a separate subtotal as first report of the night,100,43253,>98%,>98% reported,edison,6,all,,17976,,,26225,16207,538,191,92,11458,11246,222,95,37,2020-11-04T10:43:44Z,23.1614,R+23,Trump +23,republican,23.1614,41180,18.8,43200,-12.74,ohio,2020-11-10T19:31:29.451338Z
39009,Athens,24876,15706,56,56,Merged into voters' home precincts and released with cumulative results,100,24809,>98%,>98% reported,edison,6,unknown,,15184,,,10386,14047,274,102,67,4256,11202,144,65,39,2020-11-04T10:43:45Z,14.717,D+15,Biden +15,democrat,-14.717,29709,-16.9,27728,-35.21,ohio,2020-11-10T19:31:29.451338Z
39011,Auglaize,25396,0,39,39,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,25396,>98%,>98% reported,edison,6,all,,9630,,,20451,4583,250,64,48,0,0,0,0,0,2020-11-04T10:43:45Z,62.48228,R+62,Trump +62,republican,62.48228,23794,61.7,23447,48.36,ohio,2020-11-10T19:31:29.451338Z
39013,Belmont,32534,0,70,70,Merged into voters' home precincts and released with cumulative results,98,33243,98%,98% reported,edison,4,some,,23979,,,23092,9007,279,97,59,0,0,0,0,0,2020-11-04T10:43:45Z,43.29317,R+43,Trump +43,republican,43.29317,31331,39.3,31688,8.21,ohio,2020-11-10T19:31:29.451338Z
39015,Brown,20586,0,29,32,Released as a separate subtotal as first report of the night,100,20326,>98%,>98% reported,edison,2,unknown,,7776,,,16032,4326,176,52,0,0,0,0,0,0,2020-11-04T10:43:45Z,56.86389,R+57,Trump +57,republican,56.86389,19682,51.9,19392,24.8,ohio,2020-11-10T19:31:29.451338Z
39017,Butler,182034,0,259,282,Merged into voters' home precincts and released with cumulative results,92,198176,92%,92% reported,edison,2,some,,78506,,,111722,67729,2107,476,0,0,0,0,0,0,2020-11-04T10:43:46Z,24.16746,R+24,Trump +24,republican,24.16746,174994,27.6,170530,25.09,ohio,2020-11-10T19:31:29.451338Z
39019,Carroll,13957,7672,22,23,Released as a separate subtotal as first report of the night,100,13748,>98%,>98% reported,edison,2,all,,5890,,,10525,3206,150,54,22,5216,2346,67,32,11,2020-11-04T10:43:46Z,52.43964,R+52,Trump +52,republican,52.43964,13148,46.4,13284,13.34,ohio,2020-11-10T19:31:29.451338Z
39021,Champaign,19369,0,26,28,Released as a separate subtotal as first report of the night,100,19369,>98%,>98% reported,edison,6,all,,9136,,,14086,4946,247,54,36,0,0,0,0,0,2020-11-04T10:43:46Z,47.18881,R+47,Trump +47,republican,47.18881,18243,44.1,18468,21.66,ohio,2020-11-10T19:31:29.451338Z
