fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_none_of_these_candidates,results_blankenshipd,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_none_of_these_candidates,results_absentee_blankenshipd,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
32510,Carson City,29126,0,22,24,Merged into voters' home precincts and released with cumulative results,94,31020,94%,94% reported,edison,4,some,,26427,,,12485,15771,419,347,104,0,0,0,0,0,2020-11-06T18:03:40Z,11.28202,R+11,Trump +11,republican,11.28202,25016,14.1,23319,9.02,nevada,2020-11-10T19:32:28.436257Z
32001,Churchill,12503,0,17,19,Merged into voters' home precincts and released with cumulative results,92,13563,92%,92% reported,edison,4,some,,11522,,,2966,9088,269,147,33,0,0,0,0,0,2020-11-06T16:53:40Z,48.96425,R+49,Trump +49,republican,48.96425,10938,51.4,10265,39.94,nevada,2020-11-10T19:32:28.436257Z
32003,Clark,912616,0,1103,1150,Merged into voters' home precincts and released with cumulative results,95,965000,95%,95% reported,edison,2,some,,781405,,,492528,401775,8087,8442,1784,0,0,0,0,0,2020-11-09T17:02:45Z,9.94427,D+10,Biden +10,democrat,-9.94427,767156,-10.7,691190,-14.6,nevada,2020-11-10T19:32:28.436257Z
32005,Douglas,33537,0,39,41,Merged into voters' home precincts and released with cumulative results,97,34577,97%,97% reported,edison,4,unknown,,27677,,,11390,21237,400,443,67,0,0,0,0,0,2020-11-06T16:55:39Z,29.3616,R+29,Trump +29,republican,29.3616,27885,32.1,26075,26.77,nevada,2020-11-10T19:32:28.436257Z
32007,Elko,21081,0,38,41,Merged into voters' home precincts and released with cumulative results,92,23013,92%,92% reported,edison,4,some,,16878,,,4381,16057,356,222,65,0,0,0,0,0,2020-11-10T17:07:53Z,55.38637,R+55,Trump +55,republican,55.38637,18559,54.7,15986,53.19,nevada,2020-11-10T19:32:28.436257Z
32009,Esmeralda,474,0,5,5,Merged into voters' home precincts and released with cumulative results,90,525,90%,90% reported,edison,4,some,,206,,,72,389,6,6,1,0,0,0,0,0,2020-11-04T10:43:51Z,66.87764,R+67,Trump +67,republican,66.87764,423,62.4,435,51.72,nevada,2020-11-10T19:32:28.436257Z
32011,Eureka,942,937,4,4,Merged into voters' home precincts and released with cumulative results,100,942,>98%,>98% reported,edison,6,some,,565,,,92,833,6,8,3,92,828,6,8,3,2020-11-04T10:43:52Z,78.66242,R+79,Trump +79,republican,78.66242,854,76,808,68.81,nevada,2020-11-10T19:32:28.436257Z
32013,Humboldt,7324,0,14,15,Merged into voters' home precincts and released with cumulative results,92,7977,92%,92% reported,edison,4,unknown,,5797,,,1608,5531,93,70,22,0,0,0,0,0,2020-11-04T10:43:52Z,53.56363,R+54,Trump +54,republican,53.56363,6433,48.7,5744,36.09,nevada,2020-11-10T19:32:28.436257Z
32015,Lander,2653,0,8,9,Merged into voters' home precincts and released with cumulative results,89,2992,89%,89% reported,edison,2,unknown,,2155,,,478,2110,34,26,5,0,0,0,0,0,2020-11-06T16:57:39Z,61.51527,R+62,Trump +62,republican,61.51527,2413,59.1,2165,48.31,nevada,2020-11-10T19:32:28.436257Z
32017,Lincoln,2312,0,5,6,Merged into voters' home precincts and released with cumulative results,87,2644,87%,87% reported,edison,4,some,,1603,,,318,1949,15,23,7,0,0,0,0,0,2020-11-05T18:15:55Z,70.54498,R+71,Trump +71,republican,70.54498,2132,65,2152,59.99,nevada,2020-11-10T19:32:28.436257Z
