fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_eshooa,results_kumarr,results_absentee_eshooa,results_absentee_kumarr,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
06081,San Mateo,59892,38115,67,75,Released as a separate subtotal as first report of the night,90,66422,90%,90% reported,edison,4,all,271008,41664,18228,28083,10032,2020-11-19T02:41:06Z,39.13043,D+39,Eshoo +39,democrat,CA-G-H-18-2020-11-03,ca-house-general-district-018-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california-house-district-18.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-california.html,house,general,2020-11-03,FALSE,U.S. House District 18,U.S. House,H,solid-dem,18,District 18,CA,california,California,Calif.,vertical,0.5,"",FALSE,TRUE,winner,AP,FALSE,"",343550,38115,1,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,290,325,89% reporting,89%,90,382000,edison,90%,90% reported,edison,democrat,FALSE,2020-11-20T14:24:09Z,TRUE,26.36006,90560,D+26,Eshoo +26,democrat,"All active registered voters were sent mail ballots, and late-arriving mail ballots and provisional ballots will be counted in the days and weeks after the election.","All active registered voters were sent mail ballots, and late-arriving mail ballots and provisional ballots will be counted in the days and weeks after the election.",17,0,1604472101181
06085,Santa Clara,254419,0,190,212,Released as a separate subtotal as first report of the night,90,282438,90%,90% reported,edison,4,some,732616,156869,97550,0,0,2020-11-19T02:41:06Z,23.31548,D+23,Eshoo +23,democrat,CA-G-H-18-2020-11-03,ca-house-general-district-018-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california-house-district-18.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-california.html,house,general,2020-11-03,FALSE,U.S. House District 18,U.S. House,H,solid-dem,18,District 18,CA,california,California,Calif.,vertical,0.5,"",FALSE,TRUE,winner,AP,FALSE,"",343550,38115,1,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,290,325,89% reporting,89%,90,382000,edison,90%,90% reported,edison,democrat,FALSE,2020-11-20T14:24:09Z,TRUE,26.36006,90560,D+26,Eshoo +26,democrat,"All active registered voters were sent mail ballots, and late-arriving mail ballots and provisional ballots will be counted in the days and weeks after the election.","All active registered voters were sent mail ballots, and late-arriving mail ballots and provisional ballots will be counted in the days and weeks after the election.",17,0,1604472101181
06087,Santa Cruz,29239,0,33,38,Released as a separate subtotal as first report of the night,88,33197,88%,88% reported,edison,4,some,102995,18522,10717,0,0,2020-11-16T23:35:11Z,26.6938,D+27,Eshoo +27,democrat,CA-G-H-18-2020-11-03,ca-house-general-district-018-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california-house-district-18.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-california.html,house,general,2020-11-03,FALSE,U.S. House District 18,U.S. House,H,solid-dem,18,District 18,CA,california,California,Calif.,vertical,0.5,"",FALSE,TRUE,winner,AP,FALSE,"",343550,38115,1,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,290,325,89% reporting,89%,90,382000,edison,90%,90% reported,edison,democrat,FALSE,2020-11-20T14:24:09Z,TRUE,26.36006,90560,D+26,Eshoo +26,democrat,"All active registered voters were sent mail ballots, and late-arriving mail ballots and provisional ballots will be counted in the days and weeks after the election.","All active registered voters were sent mail ballots, and late-arriving mail ballots and provisional ballots will be counted in the days and weeks after the election.",17,0,1604472101181
