fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_bourdeauxc,results_mccormickr,results_absentee_bourdeauxc,results_absentee_mccormickr,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,nyt_race_description_race,race_rating_race,nyt_key_race_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
13117,Forsyth,90523,81894,15,15,Released as a separate subtotal in the middle of the tabulation,100,90580,>98%,>98% reported,edison,4,unknown,77750,31596,58927,29211,52683,2020-11-20T01:32:38Z,30.19233,R+30,McCormick +30,republican,GA-G-H-7-2020-11-03,ga-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,"This district, once reliably Republican territory, includes an increasingly diverse section of metro Atlanta. In 2018, the Democratic candidate Carolyn Bourdeaux lost by fewer than 500 votes. With the incumbent, Republican Rob Woodall, retiring, she now faces Rich McCormick, a physician and former Marine helicopter pilot.",lean-dem,TRUE,7,District 7,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,TRUE,republican,371464,310943,2,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,123,123,100% reporting,100%,97,381000,edison,97%,97% reported,edison,republican,FALSE,2020-11-20T14:22:41Z,FALSE,2.7825,10336,D+3,Bourdeaux +3,democrat,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604689212913
13135,Gwinnett,280941,229049,108,108,Released with cumulative results periodically election night,97,289934,97%,97% reported,edison,2,unknown,177474,159304,121637,134078,94971,2020-11-20T21:46:04Z,13.40744,D+13,Bourdeaux +13,democrat,GA-G-H-7-2020-11-03,ga-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,"This district, once reliably Republican territory, includes an increasingly diverse section of metro Atlanta. In 2018, the Democratic candidate Carolyn Bourdeaux lost by fewer than 500 votes. With the incumbent, Republican Rob Woodall, retiring, she now faces Rich McCormick, a physician and former Marine helicopter pilot.",lean-dem,TRUE,7,District 7,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,TRUE,republican,371464,310943,2,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,123,123,100% reporting,100%,97,381000,edison,97%,97% reported,edison,republican,FALSE,2020-11-20T14:22:41Z,FALSE,2.7825,10336,D+3,Bourdeaux +3,democrat,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604689212913
