fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_hickenlooperj,results_gardnerc,results_doaner,results_doyled,results_evanss,results_write_ins,results_absentee_hickenlooperj,results_absentee_gardnerc,results_absentee_doaner,results_absentee_doyled,results_absentee_evanss,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
08001,Adams,235700,0,260,260,Other,100,228525,>98%,>98% reported,edison,4,all,,,,,130409,98341,4916,1071,963,,0,0,0,0,0,,2020-11-14T16:39:04Z,13.60543,D+14,Hickenlooper +14,democrat,colorado,2020-11-15T00:44:56.166798Z
08003,Alamosa,7707,0,8,8,Other,94,8188,94%,94% reported,edison,4,all,,,,,3734,3800,104,40,29,,0,0,0,0,0,,2020-11-14T16:39:05Z,0.85636,R+0.86,Gardner +0.86,republican,colorado,2020-11-15T00:44:56.166798Z
08005,Arapahoe,348741,0,380,390,Other,98,357594,98%,98% reported,edison,4,some,,,,,204112,136749,5695,1074,1111,,0,0,0,0,0,,2020-11-14T16:39:05Z,19.31605,D+19,Hickenlooper +19,democrat,colorado,2020-11-15T00:44:56.166798Z
08007,Archuleta,9019,0,8,8,Other,100,8577,>98%,>98% reported,edison,6,all,,,,,3591,5225,163,26,14,,0,0,0,0,0,,2020-11-14T16:39:06Z,18.11731,R+18,Gardner +18,republican,colorado,2020-11-15T00:44:56.166798Z
08009,Baca,2195,0,8,9,Other,100,2193,>98%,>98% reported,edison,6,all,,,,,329,1815,32,12,7,,0,0,0,0,0,,2020-11-14T16:39:07Z,67.69932,R+68,Gardner +68,republican,colorado,2020-11-15T00:44:56.166798Z
08011,Bent,2256,0,5,5,Other,100,2131,>98%,>98% reported,edison,2,unknown,,,,,702,1488,33,26,7,,0,0,0,0,0,,2020-11-14T16:39:08Z,34.84043,R+35,Gardner +35,republican,colorado,2020-11-15T00:44:56.166798Z
08013,Boulder,205516,0,222,240,Other,93,222008,93%,93% reported,edison,2,some,,,,,154552,47321,2869,317,457,,0,0,0,0,0,,2020-11-14T16:39:09Z,52.17647,D+52,Hickenlooper +52,democrat,colorado,2020-11-15T00:44:56.166798Z
08014,Broomfield,46196,0,37,37,Other,100,40958,>98%,>98% reported,edison,6,all,,,,,27447,17855,712,82,100,,0,0,0,0,0,,2020-11-14T16:38:41Z,20.7637,D+21,Hickenlooper +21,democrat,colorado,2020-11-15T00:44:56.166798Z
08015,Chaffee,13578,0,9,9,Other,100,13275,>98%,>98% reported,edison,2,unknown,,,,,6948,6344,232,32,22,,0,0,0,0,0,,2020-11-14T16:39:10Z,4.44837,D+4,Hickenlooper +4,democrat,colorado,2020-11-15T00:44:56.166798Z
08017,Cheyenne,1125,0,4,5,Other,93,1209,93%,93% reported,edison,4,some,,,,,119,995,7,2,2,,0,0,0,0,0,,2020-11-14T16:39:11Z,77.86667,R+78,Gardner +78,republican,colorado,2020-11-15T00:44:56.166798Z
