fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_sullivand,results_grossa,results_howej,results_absentee_sullivand,results_absentee_grossa,results_absentee_howej,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
02901,ED 1,7096,3498,8,9,Released as a separate subtotal as first report of the night,93,7634,93%,93% reported,edison,2,unknown,,4000,,,3438,3253,405,1374,1970,154,2020-11-14T16:39:15Z,2.6071,R+3,Sullivan +3,republican,alaska,2020-11-15T00:44:51.102089Z
02910,ED 10,10781,5367,11,11,Released as a separate subtotal as first report of the night,100,10396,>98%,>98% reported,edison,2,unknown,,4000,,,7499,2699,583,3325,1828,214,2020-11-14T16:39:31Z,44.52277,R+45,Sullivan +45,republican,alaska,2020-11-15T00:44:51.102089Z
02911,ED 11,10416,5771,8,9,Released as a separate subtotal as first report of the night,93,11142,93%,93% reported,edison,2,unknown,,4000,,,6944,3005,467,3412,2142,217,2020-11-14T16:39:32Z,37.81682,R+38,Sullivan +38,republican,alaska,2020-11-15T00:44:51.102089Z
02912,ED 12,10919,5483,7,7,Released as a separate subtotal as first report of the night,99,10974,>98%,>98% reported,edison,2,unknown,,4000,,,7730,2774,415,3335,1972,176,2020-11-14T16:39:33Z,45.38877,R+45,Sullivan +45,republican,alaska,2020-11-15T00:44:51.102089Z
02913,ED 13,6657,3561,5,6,Released as a separate subtotal as first report of the night,89,7513,89%,89% reported,edison,2,unknown,,4000,,,4169,2152,336,1905,1501,155,2020-11-14T16:39:34Z,30.29893,R+30,Sullivan +30,republican,alaska,2020-11-15T00:44:51.102089Z
02914,ED 14,10140,5898,6,7,Released as a separate subtotal as first report of the night,85,11983,85%,85% reported,edison,2,unknown,,4000,,,6284,3507,349,3121,2626,151,2020-11-14T16:39:36Z,27.38659,R+27,Sullivan +27,republican,alaska,2020-11-15T00:44:51.102089Z
02915,ED 15,4840,2616,4,5,Released as a separate subtotal as first report of the night,84,5729,84%,84% reported,edison,2,unknown,,4000,,,2376,2187,277,1133,1358,125,2020-11-14T16:39:38Z,3.90496,R+4,Sullivan +4,republican,alaska,2020-11-15T00:44:51.102089Z
02916,ED 16,7522,4062,6,7,Released as a separate subtotal as first report of the night,88,8551,88%,88% reported,edison,2,unknown,,4000,,,3325,3821,376,1355,2553,154,2020-11-14T16:39:39Z,6.59399,D+7,Gross +7,democrat,alaska,2020-11-15T00:44:51.102089Z
02917,ED 17,6575,3897,6,7,Released as a separate subtotal as first report of the night,84,7806,84%,84% reported,edison,2,unknown,,4000,,,2673,3628,274,1219,2576,102,2020-11-14T16:39:40Z,14.52471,D+15,Gross +15,democrat,alaska,2020-11-15T00:44:51.102089Z
02918,ED 18,7089,4533,8,10,Released as a separate subtotal as first report of the night,83,8512,83%,83% reported,edison,2,unknown,,4000,,,2578,4255,256,1301,3130,102,2020-11-14T16:39:41Z,23.65637,D+24,Gross +24,democrat,alaska,2020-11-15T00:44:51.102089Z
02919,ED 19,4867,2510,5,6,Released as a separate subtotal as first report of the night,88,5511,88%,88% reported,edison,2,unknown,,4000,,,1747,2827,293,644,1766,100,2020-11-14T16:39:42Z,22.19026,D+22,Gross +22,democrat,alaska,2020-11-15T00:44:51.102089Z
02902,ED 2,5564,2552,4,4,Released as a separate subtotal as first report of the night,88,6316,88%,88% reported,edison,2,unknown,,4000,,,3326,1871,367,1264,1168,120,2020-11-14T16:39:16Z,26.15025,R+26,Sullivan +26,republican,alaska,2020-11-15T00:44:51.102089Z
02920,ED 20,6850,4675,8,9,Released as a separate subtotal as first report of the night,83,8211,83%,83% reported,edison,2,unknown,,4000,,,2308,4325,217,1276,3296,103,2020-11-14T16:39:43Z,29.44526,D+29,Gross +29,democrat,alaska,2020-11-15T00:44:51.102089Z
02921,ED 21,8805,5182,7,8,Released as a separate subtotal as first report of the night,89,9944,89%,89% reported,edison,2,unknown,,4000,,,3742,4793,270,1620,3463,99,2020-11-14T16:39:45Z,11.9364,D+12,Gross +12,democrat,alaska,2020-11-15T00:44:51.102089Z
02922,ED 22,8892,4715,6,7,Released as a separate subtotal as first report of the night,92,9628,92%,92% reported,edison,2,unknown,,4000,,,4660,3929,303,1867,2728,120,2020-11-14T16:39:46Z,8.22087,R+8,Sullivan +8,republican,alaska,2020-11-15T00:44:51.102089Z
02923,ED 23,7159,3661,7,8,Released as a separate subtotal as first report of the night,90,7963,90%,90% reported,edison,2,unknown,,4000,,,3502,3349,308,1367,2188,106,2020-11-14T16:39:47Z,2.13717,R+2,Sullivan +2,republican,alaska,2020-11-15T00:44:51.102089Z
