fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_merkleyj,results_perkinsj,results_dyeg,results_taheri,results_write_ins,results_absentee_merkleyj,results_absentee_perkinsj,results_absentee_dyeg,results_absentee_taheri,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
41001,Baker,9700,0,16,17,Other,97,10008,97%,97% reported,edison,2,unknown,,,,,2618,6831,174,70,7,0,0,0,0,0,2020-11-16T15:47:51Z,43.43299,R+43,Perkins +43,republican,oregon,2020-11-18T00:47:58.494932Z
41003,Benton,51968,0,22,24,Other,94,55578,94%,94% reported,edison,2,some,,,,,34974,14789,1037,1116,52,0,0,0,0,0,2020-11-16T15:47:51Z,38.84121,D+39,Merkley +39,democrat,oregon,2020-11-18T00:47:58.494932Z
41005,Clackamas,250354,0,120,120,Other,100,244004,>98%,>98% reported,edison,2,some,,,,,134784,106811,4764,3995,,0,0,0,0,,2020-11-16T15:47:52Z,11.17338,D+11,Merkley +11,democrat,oregon,2020-11-18T00:47:58.494932Z
41007,Clatsop,23468,0,33,33,Other,100,22417,>98%,>98% reported,edison,2,some,,,,,13034,9608,437,389,,0,0,0,0,,2020-11-16T15:47:52Z,14.5986,D+15,Merkley +15,democrat,oregon,2020-11-18T00:47:58.494932Z
41009,Columbia,30954,0,33,33,Other,100,30345,>98%,>98% reported,edison,2,unknown,,,,,14076,15610,739,490,39,0,0,0,0,0,2020-11-16T15:47:53Z,4.95574,R+5,Perkins +5,republican,oregon,2020-11-18T00:47:58.494932Z
41011,Coos,35548,0,18,18,Other,100,35697,>98%,>98% reported,edison,2,some,,,,,14666,19757,655,449,21,0,0,0,0,0,2020-11-16T15:47:54Z,14.32148,R+14,Perkins +14,republican,oregon,2020-11-18T00:47:58.494932Z
41013,Crook,14875,0,17,17,Other,96,15500,96%,96% reported,edison,2,unknown,,,,,4046,10454,237,114,24,0,0,0,0,0,2020-11-16T15:47:55Z,43.07899,R+43,Perkins +43,republican,oregon,2020-11-18T00:47:58.494932Z
41015,Curry,14603,0,27,27,Other,100,14377,>98%,>98% reported,edison,2,unknown,,,,,6167,7991,268,170,7,0,0,0,0,0,2020-11-16T15:47:56Z,12.49058,R+12,Perkins +12,republican,oregon,2020-11-18T00:47:58.494932Z
41017,Deschutes,119378,0,50,50,Other,100,112355,>98%,>98% reported,edison,2,unknown,,,,,63512,51938,2129,1679,120,0,0,0,0,0,2020-11-16T15:47:57Z,9.69525,D+10,Merkley +10,democrat,oregon,2020-11-18T00:47:58.494932Z
41019,Douglas,61532,0,28,28,Other,100,61014,>98%,>98% reported,edison,2,some,,,,,20341,39316,1175,637,63,0,0,0,0,0,2020-11-16T15:47:57Z,30.83761,R+31,Perkins +31,republican,oregon,2020-11-18T00:47:58.494932Z
41021,Gilliam,1167,0,3,3,Other,98,1192,98%,98% reported,edison,2,unknown,,,,,373,765,18,8,3,0,0,0,0,0,2020-11-16T15:47:58Z,33.5904,R+34,Perkins +34,republican,oregon,2020-11-18T00:47:58.494932Z
41023,Grant,4510,0,5,5,Other,99,4574,>98%,>98% reported,edison,6,unknown,,,,,1117,3272,89,27,5,0,0,0,0,0,2020-11-16T15:47:58Z,47.78271,R+48,Perkins +48,republican,oregon,2020-11-18T00:47:58.494932Z
41025,Harney,4377,0,3,3,Other,97,4530,97%,97% reported,edison,2,unknown,,,,,1055,3213,65,38,6,0,0,0,0,0,2020-11-16T15:47:59Z,49.30318,R+49,Perkins +49,republican,oregon,2020-11-18T00:47:58.494932Z
