fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_markeye,results_oconnork,results_write_ins,results_absentee_markeye,results_absentee_oconnork,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
25001,Barnstable,146532,0,63,65,,,,,"",edison,,,,,,,88613,57368,551,0,0,0,2020-11-16T15:48:00Z,21.32299,D+21,Markey +21,democrat,massachusetts,2020-11-18T00:47:31.610100Z
25003,Berkshire,66945,0,54,59,,,,,"",edison,,,,,,,49659,16994,292,0,0,0,2020-11-16T15:47:51Z,48.79379,D+49,Markey +49,democrat,massachusetts,2020-11-18T00:47:31.610100Z
25005,Bristol,266474,15237,160,172,,,,,"",edison,,,,,,,152261,112269,1944,8686,6439,112,2020-11-16T15:47:45Z,15.00784,D+15,Markey +15,democrat,massachusetts,2020-11-18T00:47:31.610100Z
25007,Dukes,12408,0,6,7,,,,,"",edison,,,,,,,9605,2755,48,0,0,0,2020-11-16T15:47:46Z,55.20632,D+55,Markey +55,democrat,massachusetts,2020-11-18T00:47:31.610100Z
25009,Essex,406795,0,227,240,,,,,"",edison,,,,,,,262624,141338,2833,0,0,0,2020-11-16T15:47:47Z,29.81502,D+30,Markey +30,democrat,massachusetts,2020-11-18T00:47:31.610100Z
25011,Franklin,40302,848,37,40,,,,,"",edison,,,,,,,28926,10862,514,637,211,0,2020-11-16T15:47:47Z,44.8216,D+45,Markey +45,democrat,massachusetts,2020-11-18T00:47:31.610100Z
25013,Hampden,205395,5478,147,166,,,,,"",edison,,,,,,,120254,82569,2572,3459,2019,0,2020-11-16T15:47:51Z,18.34757,D+18,Markey +18,democrat,massachusetts,2020-11-18T00:47:31.610100Z
25015,Hampshire,84137,4853,52,56,,,,,"",edison,,,,,,,61291,22086,760,2409,2390,54,2020-11-16T15:47:49Z,46.59662,D+47,Markey +47,democrat,massachusetts,2020-11-18T00:47:31.610100Z
25017,Middlesex,813287,10596,436,474,,,,,"",edison,,,,,,,581405,226597,5285,7024,3522,50,2020-11-16T15:47:44Z,43.62642,D+44,Markey +44,democrat,massachusetts,2020-11-18T00:47:31.610100Z
25019,Nantucket,7185,4460,1,1,,,,,"",edison,,,,,,,5127,2030,28,3498,957,5,2020-11-16T15:47:58Z,43.10369,D+43,Markey +43,democrat,massachusetts,2020-11-18T00:47:31.610100Z
25021,Norfolk,354879,15760,184,211,,,,,"",edison,,,,,,,234340,118582,1957,12475,3253,32,2020-11-16T15:47:45Z,32.61901,D+33,Markey +33,democrat,massachusetts,2020-11-18T00:47:31.610100Z
25023,Plymouth,254135,40218,114,143,,,,,"",edison,,,,,,,137571,115017,1547,27167,12912,139,2020-11-16T15:47:54Z,8.87481,D+9,Markey +9,democrat,massachusetts,2020-11-18T00:47:31.610100Z
25025,Suffolk,305891,0,294,298,,,,,"",edison,,,,,,,248846,55552,1493,0,0,0,2020-11-16T15:47:44Z,63.19048,D+63,Markey +63,democrat,massachusetts,2020-11-18T00:47:31.610100Z
25027,Worcester,401858,14517,222,242,,,,,"",edison,,,,,,,234927,161886,5045,9390,5034,93,2020-11-16T15:47:46Z,18.17582,D+18,Markey +18,democrat,massachusetts,2020-11-18T00:47:31.610100Z
