fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_durbinr,results_curranm,results_maloufd,results_wilsonw,results_blackd,results_write_ins,results_absentee_durbinr,results_absentee_curranm,results_absentee_maloufd,results_absentee_wilsonw,results_absentee_blackd,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
17001,Adams,33113,18889,68,74,Released as a separate subtotal at the end of tabulation,100,32202,>98%,>98% reported,edison,2,some,,8885,,,8777,23531,389,239,164,13,6354,12115,194,119,97,10,2020-11-16T15:48:01Z,44.55652,R+45,Curran +45,republican,illinois,2020-11-18T00:47:17.129363Z
17003,Alexander,2550,0,11,11,None,85,3010,85%,85% reported,edison,6,unknown,,1150,,,1218,1284,23,18,7,0,0,0,0,0,0,0,2020-11-16T17:45:34Z,2.58824,R+3,Curran +3,republican,illinois,2020-11-18T00:47:17.129363Z
17005,Bond,5917,0,18,25,Released as a precinct at the end of tabulation,100,1160,>98%,>98% reported,edison,6,unknown,,2398,,,1971,3740,113,49,44,0,0,0,0,0,0,0,2020-11-16T15:48:01Z,29.89691,R+30,Curran +30,republican,illinois,2020-11-18T00:47:17.129363Z
17007,Boone,24365,0,36,38,Other,100,22910,>98%,>98% reported,edison,4,some,,4522,,,9939,13460,400,319,247,0,0,0,0,0,0,0,2020-11-16T15:48:02Z,14.45106,R+14,Curran +14,republican,illinois,2020-11-18T00:47:17.129363Z
17009,Brown,2486,0,13,14,None,95,2604,95%,95% reported,edison,4,some,,594,,,634,1786,33,16,16,1,0,0,0,0,0,0,2020-11-16T15:48:02Z,46.3395,R+46,Curran +46,republican,illinois,2020-11-18T00:47:17.129363Z
17011,Bureau,16994,7344,46,50,Merged into voters' home precincts and released with cumulative results,94,18093,94%,94% reported,edison,4,unknown,,3786,,,6960,9379,254,280,121,0,3923,3247,72,62,40,0,2020-11-16T15:48:03Z,14.23444,R+14,Curran +14,republican,illinois,2020-11-18T00:47:17.129363Z
17013,Calhoun,2686,0,7,7,Other,95,2827,95%,95% reported,edison,4,all,,710,,,928,1693,30,17,18,0,0,0,0,0,0,0,2020-11-16T15:48:03Z,28.48101,R+28,Curran +28,republican,illinois,2020-11-18T00:47:17.129363Z
17015,Carroll,7898,0,21,22,Merged into voters' home precincts and released with cumulative results,100,1062,>98%,>98% reported,edison,6,unknown,,1638,,,2827,4834,105,91,41,0,0,0,0,0,0,0,2020-11-16T15:48:03Z,25.4115,R+25,Curran +25,republican,illinois,2020-11-18T00:47:17.129363Z
17017,Cass,5231,0,19,21,Other,93,5603,93%,93% reported,edison,4,some,,1222,,,1862,3259,47,28,34,1,0,0,0,0,0,0,2020-11-16T15:48:04Z,26.70617,R+27,Curran +27,republican,illinois,2020-11-18T00:47:17.129363Z
17019,Champaign,94176,66603,110,118,None,93,101437,93%,93% reported,edison,4,some,,23782,,,54778,35114,1534,1466,1230,54,43440,20446,873,941,867,36,2020-11-16T15:48:04Z,20.88005,D+21,Durbin +21,democrat,illinois,2020-11-18T00:47:17.129363Z
17021,Christian,15866,0,28,30,Merged into voters' home precincts and released with cumulative results,94,16962,94%,94% reported,edison,2,unknown,,3022,,,4825,10461,217,228,135,0,0,0,0,0,0,0,2020-11-16T15:48:05Z,35.5225,R+36,Curran +36,republican,illinois,2020-11-18T00:47:17.129363Z
17023,Clark,8233,0,22,23,Released as a separate subtotal in the middle of the tabulation,95,8656,95%,95% reported,edison,4,some,,2598,,,2079,5928,107,68,51,0,0,0,0,0,0,0,2020-11-16T15:48:05Z,46.75088,R+47,Curran +47,republican,illinois,2020-11-18T00:47:17.129363Z
17025,Clay,6706,0,21,22,Merged into voters' home precincts and released with cumulative results,96,6971,96%,96% reported,edison,4,some,,965,,,1295,5251,78,37,38,7,0,0,0,0,0,0,2020-11-16T15:48:06Z,58.99195,R+59,Curran +59,republican,illinois,2020-11-18T00:47:17.129363Z
17027,Clinton,18931,0,39,40,Released as a precinct at the end of tabulation,100,17465,>98%,>98% reported,edison,4,unknown,,3803,,,5299,13126,275,114,106,11,0,0,0,0,0,0,2020-11-16T15:48:06Z,41.34488,R+41,Curran +41,republican,illinois,2020-11-18T00:47:17.129363Z
17029,Coles,20489,0,37,44,None,94,21851,94%,94% reported,edison,4,unknown,,6758,,,7735,12006,287,238,223,0,0,0,0,0,0,0,2020-11-16T15:48:07Z,20.84533,R+21,Curran +21,republican,illinois,2020-11-18T00:47:17.129363Z
17031,Cook,2211595,0,2878,3668,None,91,2417649,91%,91% reported,edison,2,some,,823434,,,1515945,486188,21877,163791,23794,0,0,0,0,0,0,0,2020-11-16T15:48:08Z,46.56173,D+47,Durbin +47,democrat,illinois,2020-11-18T00:47:17.129363Z
17033,Crawford,9299,0,23,24,None,97,9574,97%,97% reported,edison,4,some,,2307,,,2380,6666,122,77,50,4,0,0,0,0,0,0,2020-11-16T15:48:09Z,46.09098,R+46,Curran +46,republican,illinois,2020-11-18T00:47:17.129363Z
17035,Cumberland,5772,0,11,12,Released as a separate subtotal at the end of tabulation,95,6100,95%,95% reported,edison,2,unknown,,741,,,1356,4242,77,56,36,5,0,0,0,0,0,0,2020-11-16T15:48:09Z,50,R+50,Curran +50,republican,illinois,2020-11-18T00:47:17.129363Z
