fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
48001,Anderson,19155,14459,20,23,Released as a precinct as first report of the night,96,20048,96%,96% reported,edison,2,none,,15380,,,15062,3934,132,22,5,11103,3234,96,21,5,2020-11-04T10:44:02Z,58.09449,R+58,Trump +58,republican,58.09449,16977,57.9,16212,52.12,texas,2020-11-11T00:33:30.603488Z
48003,Andrews,5856,4776,5,5,Released as a precinct as first report of the night,100,5837,>98%,>98% reported,edison,2,unknown,,4805,,,4937,849,60,10,0,4025,700,45,6,0,2020-11-04T10:44:05Z,69.80874,R+70,Trump +70,republican,69.80874,4943,62.5,4482,63.45,texas,2020-11-11T00:33:30.603488Z
48005,Angelina,34628,28676,38,43,Released as a precinct as first report of the night,98,35322,98%,98% reported,edison,2,unknown,,28954,,,25070,9136,273,75,74,20655,7713,199,54,55,2020-11-04T10:44:07Z,46.01479,R+46,Trump +46,republican,46.01479,29911,47.2,28406,43.9,texas,2020-11-11T00:33:30.603488Z
48007,Aransas,12241,10983,5,6,Released as a precinct as first report of the night,99,12414,>98%,>98% reported,edison,2,unknown,,10783,,,9210,2896,103,31,1,8220,2653,84,26,0,2020-11-04T10:44:07Z,51.58075,R+52,Trump +52,republican,51.58075,10512,50.2,9648,42.77,texas,2020-11-11T00:33:30.603488Z
48009,Archer,4796,3623,10,12,Released as a precinct as first report of the night,91,5288,91%,91% reported,edison,2,unknown,,2737,,,4300,446,45,4,1,3236,356,28,2,1,2020-11-04T10:44:08Z,80.35863,R+80,Trump +80,republican,80.35863,4283,79.2,4164,73.85,texas,2020-11-11T00:33:30.603488Z
48011,Armstrong,1112,846,7,8,Released as a precinct as first report of the night,88,1260,88%,88% reported,edison,2,unknown,,777,,,1035,75,2,0,0,784,61,1,0,0,2020-11-04T10:44:09Z,86.33094,R+86,Trump +86,republican,86.33094,1021,83.6,935,78.07,texas,2020-11-11T00:33:30.603488Z
48013,Atascosa,18085,14759,25,25,Released as a precinct as first report of the night,100,17775,>98%,>98% reported,edison,2,unknown,,10647,,,12020,5865,142,58,0,9761,4842,112,44,0,2020-11-04T10:44:09Z,34.03373,R+34,Trump +34,republican,34.03373,13673,29,12721,18.3,texas,2020-11-11T00:33:30.603488Z
48015,Austin,14368,11550,16,18,Released as a precinct as first report of the night,95,15153,95%,95% reported,edison,2,some,,9966,,,11282,2931,122,33,0,8997,2436,91,26,0,2020-11-04T10:44:09Z,58.12222,R+58,Trump +58,republican,58.12222,12274,59.6,11649,60.2,texas,2020-11-11T00:33:30.603488Z
48017,Bailey,1854,1282,4,5,Released as a precinct as first report of the night,79,2361,79%,79% reported,edison,2,unknown,,1464,,,1430,407,14,2,1,1021,253,7,0,1,2020-11-04T10:44:10Z,55.17799,R+55,Trump +55,republican,55.17799,1793,52.8,1816,48.07,texas,2020-11-11T00:33:30.603488Z
48019,Bandera,12703,11074,11,11,Released as a precinct as first report of the night,100,12614,>98%,>98% reported,edison,2,unknown,,10011,,,10050,2503,120,30,0,8665,2295,92,22,0,2020-11-04T10:44:10Z,59.41116,R+59,Trump +59,republican,59.41116,10218,63,9448,58.87,texas,2020-11-11T00:33:30.603488Z
